ticket_id,issue_type,ticket_created_date_time,ticket_closed_date_time,ticket_status,neighborhood_district,city,state,case_title
101000803118,Trash/Garbage Pickup,05/03/2018 04:30:49 PM,05/04/2018 05:45:42 AM,Closed,GARDEN DISTRICT,NEW ORLEANS,LA,Missed Collection
101000670411,Tree Service,04/18/2017 11:17:00 AM,07/25/2018 02:32:44 PM,Closed,AUDUBON,NEW ORLEANS,LA,Tree Service
101000531583,Road Surface Marking,04/20/2016 02:47:00 PM,,Open,BAYOU ST. JOHN,NEW ORLEANS,LA,Pedestrian Crossing - Refresh
101000725079,Street Flooding/Drainage,08/29/2017 03:28:00 PM,,Open,LITTLE WOODS,NEW ORLEANS,LA,Ditch - Grade
101000247901,Tree Service,04/14/2014 01:29:13 PM,05/08/2014 07:29:10 AM,Closed,ST. CLAUDE,NEW ORLEANS,LA,Tree Service
101000575642,Abandoned Vehicle Reporting/Removal,08/05/2016 09:26:00 AM,08/18/2016 02:40:03 PM,Closed,MARLYVILLE - FONTAINBLEAU,NEW ORLEANS,LA,Vehicle Tires Chalked
101000476315,Large Item Trash/Garbage Pickup,11/12/2015 04:43:08 PM,11/17/2015 05:08:56 AM,Closed,UPTOWN,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000829065,Abandoned Vehicle Reporting/Removal,07/09/2018 02:20:33 PM,07/10/2018 02:38:20 PM,Closed,LITTLE WOODS,NEW ORLEANS,LA,Abandoned Vehicle Reporting/Removal
101000526271,Tree Service,04/06/2016 02:02:32 PM,04/15/2016 11:15:10 AM,Closed,MID-CITY,NEW ORLEANS,LA,Tree Service
101000196391,Large Item Trash/Garbage Pickup,10/21/2013 12:15:43 PM,10/25/2013 09:07:16 AM,Closed,BAYOU ST. JOHN,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000207187,Street Light,12/03/2013 08:15:04 AM,01/06/2015 04:13:06 PM,Closed,FRENCH QUARTER,NEW ORLEANS,LA,Streetlight - Wires Exposed
101000663093,Large Item Trash/Garbage Pickup,03/29/2017 09:40:56 AM,04/19/2017 11:45:29 AM,Closed,CITY PARK,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000742457,Traffic Sign,10/19/2017 02:59:00 PM,10/25/2017 11:39:43 AM,Closed,WEST RIVERSIDE,NEW ORLEANS,LA,Damaged Sign - Stop
101000818824,Street Light,06/14/2018 03:48:02 PM,06/22/2018 09:51:20 AM,Closed,PINES VILLAGE,NEW ORLEANS,LA,Streetlight - Outage Or Cycling
101000219813,Dead Animal Pickup,01/22/2014 09:05:51 AM,01/30/2014 02:04:29 PM,Closed,CENTRAL BUSINESS DISTRICT,NEW ORLEANS,LA,Dead Animal Pickup
101000892871,General Service Request,12/17/2018 03:21:05 PM,12/18/2018 08:15:36 AM,Closed,,,,Finance - Revenue
101000841696,Large Item Trash/Garbage Pickup,08/06/2018 04:23:00 PM,08/13/2018 12:09:02 PM,Closed,MARLYVILLE - FONTAINBLEAU,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
