HMRC OFFICIALS' MEETINGS WITH TOBACCO STAKEHOLDERS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
From 1 April 2015 to 30 June 2015  ,,,,
,,,,
Date of meeting,HMRC officials,Organisation,Industry officials titles,Issues discussed
27/05/2015,Tobacco Policy Officials,TMA,TMA officials,Preparatory meeting ahead of AIJWG Track and Trace meeting
12/06/2015,Tobacco Policy Officials,Tobacco Manufacturers Association ,Anti-Illicit Trade managers,AIJWG
,,British American Tobacco ,,FCTC / TPD Track and Trace and Security Feature
,,Japan Tobacco International ,,
,,Imperial Tobacco Limited ,,
,,Philip Morris International ,,
,,,,
25/06/2015,Tobacco policy officials,SICPA,SICPA Director,Track and Trace consultation response meeting
