HMRC OFFICIALS' MEETINGS WITH TOBACCO STAKEHOLDERS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
From 1 April 2017 to 30 June 2017,,,,
,,,,
Meetings with Tobacco Manufacturers/Importers and Trade Associations,,,,
,,,,
Date of meeting,HMRC officials,Organisation,Industry officials titles,Issues discussed
01/04/2017,Tobacco Policy Officials,"Tobacco Manufacturers Association, British American Tobacco, Japan Tobacco International, Imperial Tobacco Limited, Philip Morris International
",Anti-illicit trade managers,Anti-Illicit Joint Working Group Meeting (AIJWG)
,,,,
,,,,
Meetings with other Tobacco Stakeholders,,,,
,,,,
Date of meeting,HMRC officials,Organisation,Industry officials titles,Issues discussed
