COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
Unknown,Cattaraugus,Allegany,31009700000000,KC 882,UN,NL,-78.53984,42.003113
Alden Batavia Natural Gas Co.,Genesee,Alexander,31037000000000,Newton 1,UM,DW,-78.24731,42.88902
Unknown,Cattaraugus,Allegany,31009700000000,KC 459,UM,NL,-78.5223,42.002708
Unknown,Allegany,Bolivar,31003700000000,PG 16,UM,NL,-78.07542,42.060753000000005
Paulmar Gas & Oil,Erie,Hamburg,31029000000000,Irish 1,UL,DW,-78.9667,42.71409
Unknown,Allegany,Bolivar,31003700000000,PYR 115,UN,NL,-78.17958,42.086678000000006
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 109,UL,OD,-78.05289,42.079209999999996
Unknown,Allegany,Alma,31003700000000,Root F 139,UN,NL,-78.0585,42.060665
"Williams, Paul",Cattaraugus,Perrysburg,31009000000000,Fee 1,UN,GD,-79.01666,42.52302
Unknown,Allegany,Wirt,31003700000000,Jakima S 17,UN,NL,-78.14323,42.093262
Tug Hill Natural Gas,Lewis,Harrisburg,31049000000000,Berrus 1,UL,GD,-75.60476,43.78632
New York Natural Gas Co.,Livingston,Geneseo,31051000000000,Wadsworth 2,UM,DW,-77.8137,42.8368
Eason Oil Co.,Livingston,Lima,31051000000000,Krebecke 1,UL,DW,-77.62196,42.88033
Unknown,Chautauqua,Hanover,31013000000000,Clothier F B 1,UM,GD,-79.15269,42.520140000000005
Unknown,Allegany,Bolivar,31003700000000,Root K 25,UN,NL,-78.0761,42.058334
Unknown,Chautauqua,Sheridan,31013000000000,Brown Charles 1,UN,GD,-79.22375,42.52632
Universal Delta Drilling,Chautauqua,Harmony,31013000000000,Morse Kyle 1,UN,GD,-79.41533000000001,42.06827
"Dougherty, F.L.",Cattaraugus,Persia,31009000000000,Wilder 2,UM,GD,-78.89378,42.38592
Syracuse Alliance Co.,Seneca,Seneca Falls,31099000000000,Well 1,UM,GD,-76.7949,42.912620000000004
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 849(G),UL,OD,-78.17761,42.0736
Norris Oil Co.,Cattaraugus,Olean,31009700000000,Barnum Weston - L,UL,OD,,
Unknown,Cattaraugus,Allegany,31009700000000,KC 91,UN,NL,-78.49095,42.02264
Unknown,Allegany,Alma,31003700000000,Fisher J 16,UN,NL,-78.06052,42.066288
Unknown,Cattaraugus,Allegany,31009700000000,KC 211,UN,NL,-78.5068,42.003231
Unknown,Cattaraugus,Allegany,31009700000000,KC 168,UN,NL,-78.49995,42.012051
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Barney 4,UL,OD,-77.70922,42.09245
Unknown,Allegany,Wirt,31003700000000,Schamberger J 8,UM,NL,-78.18459,42.088528000000004
Unknown,Allegany,Bolivar,31003700000000,Root K 38,UM,NL,-78.07768,42.059779999999996
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 53,UL,OD,-78.59506999999999,42.072815999999996
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-34,UL,IW,-77.70196999999999,42.098279999999995
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 539(G),UL,IW,-78.18759,42.083940000000005
Unknown,Allegany,Wirt,31003700000000,Webb E 19,UM,NL,-78.14735,42.097584000000005
Unknown,Allegany,Wirt,31003700000000,Webb E 17,UM,NL,-78.14686,42.098053
Unknown,Allegany,Bolivar,31003700000000,Dunn P 87,UM,NL,-78.15614000000001,42.055465999999996
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run 32g,UL,IW,-78.56453,42.0182
Pittsburgh Gas & Oil,Genesee,Pavilion,31037000000000,Hutchinson 1,UM,GD,-77.99432,42.894040000000004
Unknown,Allegany,Wirt,31003700000000,Reiman L 21,UN,NL,-78.14746,42.096298
Unknown,Allegany,Wirt,31003700000000,Schamberger J 31,UM,NL,-78.1863,42.088260999999996
