COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Alden Batavia Natural Gas Co.,Genesee,Alexander,31037000000000,Kelsey 1,UM,DW
Oneida Products,Oneida,Camden,31065000000000,Griffin Joseph,UL,GD
Unknown,Allegany,Alma,31003700000000,Root F 120,UM,NL
"Fields, McCorkle et al",Steuben,Rathbone,31101000000000,McCorkle 1,UL,DH
Unknown,Allegany,Bolivar,31003700000000,Dunn P 16,UN,NL
Unknown,Monroe,Riga,31055100000000,Sheridan,UM,DW
"Lee Oil Company, Inc.",Steuben,West Union,31101200000000,Young P-46,UL,OD
Unknown,Cattaraugus,Allegany,31009700000000,KC 672,UN,NL
Unknown,Allegany,Wirt,31003700000000,PYR 54,UN,NL
Finance Oil & Gas,Erie,Brant,31029100000000,John Winnie R-24,UN,GD
Merchant,Chautauqua,Chautauqua,31013000000000,Waugaman L A 1,UN,GD
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 125,UN,NL
Kendall Refining Co.,Cattaraugus,Allegany,31009100000000,Nichols Run 2,UM,OD
Unknown,Cattaraugus,Allegany,31009700000000,KC 258,UN,NL
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-25,UL,IW
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 50,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 280,UN,NL
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Hw-30,UN,IW
Unknown,Allegany,Wirt,31003700000000,Crockett D 84,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 75,UN,NL
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 39,UM,IW
Unknown,Allegany,Genesee,31003600000000,Oconnor 31,UL,IW
Unknown,Allegany,Bolivar,31003700000000,DF 96,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 527,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 69,UN,NL
Case Oil Corp.,Allegany,Bolivar,31003700000000,Case 03o,UL,OD
Unknown,Genesee,Pavilion,31037000000000,Stuart 2,UM,GD
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Lot 86 115,UL,OD
Unknown,Allegany,Wirt,31003700000000,Reiman L 33,UN,NL
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Ho-202,UL,OD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-11,UL,IW
South Penn Oil Co.,Cattaraugus,Carrollton,31009100000000,Allegany State Park 136,UN,GD
Unknown,Allegany,Bolivar,31003700000000,Dunn J 101,UM,NL
Test Oil Co.,Cattaraugus,Red House,31009100000000,Allegany State Park 57,UN,OD
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 078,UL,IW
Carey Oil,Cattaraugus,Allegany,31009700000000,Carey 282(G),UN,OD
"Property Shares, Inc.",Oneida,Florence,31065000000000,Williams Elmer 1,UN,DW
Unknown,Cattaraugus,Allegany,31009700000000,KC 203,UN,NL
Unknown,Allegany,Wirt,31003700000000,Reiman L 65,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PFG 90,UL,NL
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-22,UL,IW
Page,Ontario,Gorham,31069000000000,Fisher Norman 0,UM,GD
Unknown,Allegany,Bolivar,31003700000000,OR 8,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 368,UN,NL
