DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints Rc School,2014,178,165,154,10,1,0,0,0,5,0,18,21,0,0,96,25,0,165
8164500,Archbishop Holgates CE School,2014,183,183,169,12,2,0,0,0,4,108,46,25,0,0,0,0,0,183
8164500,Archbishop Holgates CE School,2014,33,33,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33
8164003,Canon Lee School,2014,190,120,104,4,1,1,0,10,1,104,2,3,0,0,0,0,0,120
8164153,Fulford School,2014,208,220,218,2,0,0,0,0,5,213,2,0,0,0,0,0,0,220
8164063,Huntington School,2014,239,239,236,3,0,0,0,0,3,173,32,31,0,0,0,0,0,239
8164508,Joseph Rowntree School,2014,220,220,215,5,0,0,0,0,5,168,17,30,0,0,0,0,0,220
8164602,Manor CE Academy,2014,90,90,90,0,0,0,0,0,7,0,0,0,0,83,0,0,0,90
8164602,Manor CE Academy,2014,110,110,109,1,0,0,0,0,0,0,0,0,0,0,110,0,0,110
8164229,Millthorpe School,2014,204,204,170,24,2,1,0,7,3,122,20,52,0,0,0,0,0,204
8164703,York High School,2014,180,175,154,11,0,0,0,10,4,147,7,7,0,0,0,0,0,175
