artist,title,album
james taylor,something in the way she moves,greatest hits (james taylor)
natalie merchant,kind &amp; generous,ophelia
george michael,faith,faith
they might be giants,damn good times,the spine
smashing pumpkins,thru the eyes of ruby,mellon collie and the infinite sadness - twilight to starlight
u2,hold me thrill me kiss me kill me,batman forever soundtrack
enya,lazy days,a day without rain
ray charles,i got a woman,ray charles at newport
tracy chapman,baby can i hold you,tracy chapman
weird al yankovic,the night santa went crazy,bad hair day
sheryl crow,c'mon c'mon,c'mon c'mon
michael mclean,let him in (the innkeeper),the forgotten carols
phil collins,one more night,no jacket required
jerry goldsmith,red alert,star trek first contact soundtrack
survivor,eye of the tiger,eye of the tiger
weezer,pork &amp; beans,weezer (2008)
aquabats,the baker!,myths legends and other amazing adventures vol. 2
eric clapton,i shot the sheriff,461 ocean boulevard
paulina rubio,tal vez quiz&aacute;s,paulina
cake,alpha beta parking lot,prolonging the magic
collective soul,turn around,blender
grant lee buffalo,in my room,friends soundtrack
weird al yankovic,you're pitiful,straight outta lynwood
andrew lloyd webber,think of me,phantom of the opera
bobby mcferrin,don't worry be happy,simple pleasures
counting crows,1492,saturday nights &amp; sunday mornings
cake,commissioning a symphony in c,comfort eagle
simon and garfunkel,the sounds of silence,sounds of silence
hootie and the blowfish,get out of my mind,looking for lucky
cyndi lauper,time after time,she's so unusual
andrew lloyd webber,masquerade,phantom of the opera
brooks and dunn,boot scootin' boogie,brand new man
u2,i still haven't found what i'm looking for,the joshua tree
collective soul,bleed,collective soul
shawn colvin,suicide alley,a few small repairs
sublime,what i got (clean),sublime
squirrel nut zippers,stop drop and roll,bedlam ballroom
michael johns,a day in the life,
phil collins,something happened on the way to heaven,but seriously
debussy,la fille aux cheveux de lin,
jewel,the new wild west,this way
ugly kid joe,everything about you (clean),america's least wanted
moby,find my baby,play
tracy chapman,happy,let it rain
sheryl crow,love is free,detours
sugar ray,falls apart,14:59
soul asylum,runaway train,grave dancers union
aquabats,anti-matter,the floating eye of death
weird al yankovic,the brady bunch,in 3-d
van halen,humans being,twister soundtrack
reel big fish,she has a girlfriend now,turn the radio off
deep blue something,breakfast at tiffany's,home
jack johnson,sitting waiting wishing,in between dreams
adam sandler,the chanukah song,what the hell happened to me!
dido,here with me,no angel
my best friend's wedding,i say a little prayer,my best friend's wedding soundtrack
aquabats,martian girl!,the fury of the aquabats
les mis&eacute;rables,abc cafe - red and black,les mis&eacute;rables soundtrack
weezer,take control,maladroit
jeff goodrich,i heard him come,i heard him come
genesis,that's all,genesis
the simpsons,meet the flintstones,go simpsonic with the simpsons
eve 6,here's to the night,horrorscope
they might be giants,stand on your own head,lincoln
they might be giants,absolutely bill's mood,they might be giants
weird al yankovic,mr. popeil,in 3-d
sheryl crow,wildflower,wildflower
jann arden,insensitive,living under june
jack johnson,staple it together,in between dreams
the simpsons,the monorail song,songs in the key of springfield
huey lewis and the news,if this is it,sports
coldplay,yellow,parachutes
live,stage (clean),throwing copper
diomedes diaz,si te vas te vas,
presidents of the united states of america,lump,the presidents of the united states of america
our lady peace,somewhere out there,gravity
citizen king,better days (and the bottom drops out),mobile estates
huey lewis and the news,i want a new drug,sports
dashboard confessional,rapid hope loss,a mark a mission a brand a scar
sheryl crow,maybe that's something,globe sessions
they might be giants,we want a rock,flood
norah jones,cold cold heart,come away with me
shakira,que vuelvas,&iquest;d&oacute;nde est&aacute;n los ladrones?
james taylor,fire and rain,sweet baby james
weezer,the other way,make believe
savage garden,santa monica,savage garden
weird al yankovic,the saga begins,running with scissors
the simpsons,do the bartman,sing the blues
syesha mercado,vanishing,
dashboard confessional,bend and not break,a mark a mission a brand a scar
escape club,i'll be there,dollars &amp; sex
michael mclean,the dance,the forgotten carols
alison krauss &amp; union station,the lucky one,new favorite
michael mclean,stay with me,stay with me
jewel,innocence maintained,spirit
weezer,possibilities,maladroit
the simpsons,dancing workers' song (unaired bonus track),testify
they might be giants,the bells are ringing,factory showroom
information society,what's on your mind (pure energy),information society
green day,welcome to paradise,dookie
hippos,always something there to remind me,heads are gonna roll
andy williams,it's the most wonderful time of the year,the andy williams christmas album
bryan adams,do i have to say the words,waking up the neighbours
eric clapton,swing low sweet chariot,there's one in every crowd
mozart,romance,
madonna,borderline,madonna
jerry goldsmith,fully functional,star trek first contact soundtrack
dashboard confessional,screaming infidelities,the places you have come to fear the most
shawn colvin,never saw blue like that,the runaway bride soundtrack
rem,shiny happy people,out of time
savage garden,the animal song,affirmation
killers,read my mind,sam's town
weezer,getchoo,pinkerton
corey hart,sunglasses at night,first offense
n sync,it's gonna be me,no strings attached
fiona apple,criminal,tidal
billy joel,a matter of trust,the bridge
huey lewis and the news,the power of love,back to the future soundtrack
weird al yankovic,pancreas,straight outta lynwood
third eye blind,burning man,third eye blind
rem,the one i love,document
the simpsons,send in the clowns,songs in the key of springfield
john mellencamp,hurts so good,american fool
jack johnson,do you remember,in between dreams
kenny loggins,i'm alright,caddyshack soundtrack
modest mouse,the good times are killing me,good news for people who love bad news
metallica,all nightmare long,death magnetic
charlie daniels band,the devil went down to georgia,urban cowboy soundtrack
joshua kadison,beautiful in my eyes,painted desert serenade
aquabats,the ballad of mr. bonkers,the floating eye of death
offspring,original prankster,conspiracy of one
sheryl crow,there goes the neighborhood,globe sessions
counting crows,if i could give all my love (richard manuel is dead),hard candy
train,meet virginia,train
counting crows,new frontier,hard candy
garth brooks,the thunder rolls,no fences
n sync,god must have spent a little more time on you,n sync
killers,for reasons unknown,sam's town
third eye blind,i want you,third eye blind
dvorak,new world symphony 1st movement,
les mis&eacute;rables,encore 2 - one day more,les mis&eacute;rables soundtrack
metallica,nothing else matters,metallica
billy joel,we didn't start the fire,storm front
reel big fish,i'll never be,turn the radio off
jack johnson,it's all understood,brushfire fairytales
forever plaid,scotland the brave,forever plaid soundtrack
barenaked ladies,wind it up,are me
bill medley and jennifer warnes,(i've had) the time of my life,dirty dancing soundtrack
barenaked ladies,helicopters,maroon
jimmy buffett,changes in latitude,changes in latitudes changes in attitudes
romantics,what i like about you,the romantics
marc anthony,you sang to me,marc anthony
sarah mclachlan,ice cream,mirrorball
james taylor,up er mei,hourglass
seal,don't cry,seal (1994)
corrs,breathless,in blue
sheryl crow,i know why,wildflower
the simpsons,springfield blows,testify
they might be giants,how can i sing like a girl?,factory showroom
rod stewart,rhythm of my heart,vagabond heart
3 doors down,going down in flames,away from the sun
barenaked ladies,if i had $1000000,gordon
collective soul,scream,hints allegations and things left unsaid
john williams,summon the heroes (1996 olympic theme),summon the heroes
motet o mitissima,virgo - haec dies,
three dog night,black and white,seven separate fools
robbie williams,rock dj,sing when you're winning
barenaked ladies,in the car,stunt
juanes,podemos hacernos da&ntilde;o,fijate bien
they might be giants,youth culture killed my dog,they might be giants
jewel,amen,pieces of you
jewel,deep water,spirit
michael mclean,will he ever come?,a new kind of love song
hootie and the blowfish,leaving,looking for lucky
metallica,enter sandman (s&amp;m),s&amp;m
sophie b. hawkins,as i lay me down,whaler
elemeno-p,sing and shout,no more lonely people
everclear,wonderful,songs from an american movie vol. 1: learning how to smile
squirrel nut zippers,it's over,perennial favorites
they might be giants,another first kiss,mink car
plain white t's,hey there delilah,all that we needed
u2,mysterious ways,achtung baby
enya,wild child,a day without rain
wallflowers,heroes,godzilla soundtrack
rob thomas,streetcorner symphony,something to be
hootie and the blowfish,tucker's town,fairweather johnson
mike + the mechanics,the living years,the living years
chipmunks,the chipmunk song,let's all sing with the chipmunks
andrew lloyd webber,learn to be lonely,phantom of the opera
madonna,ray of light,ray of light
les mis&eacute;rables,the bargain - waltz of treachery,les mis&eacute;rables soundtrack
norah jones,the prettiest thing,feels like home
green day,when i come around,dookie
run dmc,walk this way (clean),raising hell
goo goo dolls,here is gone,gutterflower
