artist,title,album
queen,another one bites the dust,the game
calle ciega,que tu quieres,no pares de sudar
amy grant,the power,house of love
b.j. thomas,raindrops keep falling on my head,butch cassidy &amp; the sundance kid soundtrack
smashing pumpkins,tonight tonight,mellon collie and the infinite sadness - dawn to dusk
john mellencamp,small town,scarecrow
counting crows,mr. jones,august and everything after
they might be giants,istanbul (not constantinople),severe tire damage
mike myers,this poem sucks,so i married an axe murderer soundtrack
barenaked ladies,bull in a china shop,are me
deep blue something,josey,home
cake,alpha beta parking lot,prolonging the magic
hootie and the blowfish,one by one,musical chairs
firehouse,when i look into your eyes,hold your fire
10000 maniacs,because the night,mtv unplugged (10000 maniacs)
my man friday,monkey business,monkey business
they might be giants,turn around,apollo 18
bush,machine head,sixteen stone
moby,inside,play
dashboard confessional,vindicated,spiderman 2 soundtrack
gnarls barkley,crazy,st. elsewhere
michael mclean,share the joy,a new kind of love song
bryan adams,(everything i do) i do it for you,waking up the neighbours
killers,midnight show,hot fuss
enrique iglesias,h&eacute;roe,escape
counting crows,hard candy,hard candy
live,the dolphin's cry,the distance to here
they might be giants,mr. xcitement,mink car
collective soul,all,hints allegations and things left unsaid
russ freeman,jesu joy of man's desiring,
norah jones,painter song,come away with me
king chang&oacute;,sin ti,the return of el santo
christina aguilera,pero me acuerdo de t&iacute;,mi reflejo
red hot chili peppers,on mercury,by the way
alejandro sanz,lo que fui es lo que soy,mtv unplugged (alejandro sanz)
john mayer,daughters,heavier things
no doubt,don't speak,tragic kingdom
they might be giants,piece of dirt,lincoln
robbie williams,millenium,the ego has landed
eric clapton,blue eyes blue,the runaway bride soundtrack
brooke white,you must love me,
dvorak,humoresque no. 7,
weird al yankovic,a complicated song,poodle hat
forever plaid,love is a many splendored thing,forever plaid soundtrack
amy grant,children of the world,house of love
no doubt,ob-la-di ob-la-da,live in the tragic kingdom
dashboard confessional,carry this picture,a mark a mission a brand a scar
natalie merchant,build a levee,motherland
kenny loggins,conviction of the heart,leap of faith
sheryl crow,make it go away (radiation song),detours
weird al yankovic,couch potato,poodle hat
alabama,song of the south,southern star
they might be giants,robot parade,no!
bush,everything zen,sixteen stone
rolling stones,(i can't get no) satisfaction,out of our heads
beethoven,ode to joy,
moby,if things were perfect,play
elton john,benny and the jets,goodbye yellow brick road
james taylor,how sweet it is (to be loved by you),gorilla
right said fred,i'm too sexy,up
enya,caribbean blue,paint the sky with stars:  the best of enya
haydn,'surprise' symphony no. 94,
weird al yankovic,the alternative polka,bad hair day
enya,china roses,paint the sky with stars:  the best of enya
andy williams,the first noel,the andy williams christmas album
king chang&oacute;,el santo,the return of el santo
shakira,antolog&iacute;a,pies descalzos
nena,99 red balloons,99 luftballons
ned's atomic dustbin,saturday night,so i married an axe murderer soundtrack
tommy tutone,867-5309/jenny,tommy tutone 2
cake,it's coming down,fashion nugget
dashboard confessional,carve your heart out yourself,a mark a mission a brand a scar
forever plaid,crazy 'bout ya baby,forever plaid soundtrack
jack johnson,upside down,sing-a-longs &amp; lullabies for the film curious george
alejandro sanz,quisiera ser,mtv unplugged (alejandro sanz)
hootie and the blowfish,tears fall down,hootie and the blowfish
hootie and the blowfish,let it breathe,fairweather johnson
gershwin,rhapsody in blue,
smashing pumpkins,here is no why,mellon collie and the infinite sadness - dawn to dusk
sting,englishman in new york,nothing like the sun
norah jones,love me tender,princess diaries 2 soundtrack
john williams,superman theme,superman soundtrack
the simpsons,flaming moe's,songs in the key of springfield
aquabats,fight song!,the fury of the aquabats
squirrel nut zippers,soon,perennial favorites
cranberries,empty,no need to argue
northern voices,when your heart says go,faithful
collective soul,she gathers rain,collective soul
michelle branch,are you happy now,hotel paper
u2,new york,all that you can't leave behind
jewel,1000 miles away,goodbye alice in wonderland
syesha mercado,got to get you into my life,
information society,what's on your mind (pure energy),information society
weird al yankovic,the night santa went crazy,bad hair day
ben folds five,smoke,whatever and ever amen
r. kelly and celine dion,i'm your angel,these are special times
enrique iglesias,don't turn off the lights,escape
offspring,why don't you get a job?,americana
dave matthews band,hunger for the great light,stand up
modest mouse,dig your grave,good news for people who love bad news
van morrison,brown eyed girl,blowin' your mind
madonna,like a virgin,like a virgin
new order,bizarre love triangle,brotherhood
everlast,what it's like (clean),whitey ford sings the blues
madonna,like a prayer,like a prayer
destiny's child,independent women pt. 1,charlie's angels soundtrack
nirvana,stay away,nevermind
ben folds,still fighting it,rockin' the suburbs
billy joel,the river of dreams,river of dreams
les mis&eacute;rables,building the barricade - on my own,les mis&eacute;rables soundtrack
kenny loggins,neverland medley (somewhere out there - never never land - pure imagination),return to pooh corner
wallflowers,the difference,bringing down the horse
no doubt,underneath it all,rock steady
natalie merchant,cowboy romance,tigerlily
schubert,moment musical in a flat major d 780 no. 2,
coldplay,parachutes,parachutes
u2,walk to the water,with or without you
michael mclean,one heart in the right place,one heart in the right place
dashboard confessional,don't wait,dusk and summer
hootie and the blowfish,only wanna be with you,cracked rear view
genesis,i can't dance,we can't dance
len,steal my sunshine,you can't stop the bum rush
the simpsons,happy birthday mr. smithers,go simpsonic with the simpsons
weird al yankovic,the plumbing song,off the deep end
sheryl crow,good is good,wildflower
robbie williams,angels,the ego has landed
red hot chili peppers,throw away your television,by the way
derek and the dominos,layla,layla and other assorted love songs
weird al yankovic,good old days,even worse
garth brooks (as chris gaines),lost in you,the life of chris gaines
norah jones,above ground,feels like home
paulina rubio,tal vez quiz&aacute;s,paulina
violent femmes,blister in the sun,violent femmes
smashing pumpkins,disarm,siamese dream
sheryl crow,perfect lie,wildflower
kenny loggins,footloose,footloose soundtrack
santana,why don't you &amp; i,shaman
wonders,that thing you do!,that thing you do soundtrack
tracy chapman,i'm ready,new beginning
the simpsons,a fish called selma,songs in the key of springfield
miguel morales,donde estar&aacute;s,
soul asylum,the break,so i married an axe murderer soundtrack
olga ta&ntilde;&oacute;n,mi eterno amor secreto,nuevos senderos
andrew lloyd webber,overture,phantom of the opera
corrs,breathless,in blue
enya,only time,a day without rain
metallica,all nightmare long,death magnetic
benny mardones,into the night,benny mardones
celine dion,beauty and the beast,beauty and the beast soundtrack
john mayer,why georgia,room for squares
3 doors down,be like that,the better life
barenaked ladies,shoe box,born on a pirate ship
smashing pumpkins,muzzle,mellon collie and the infinite sadness - dawn to dusk
green day,warning,warning
they might be giants,lucky ball and chain,flood
aquabats,theme song!,the fury of the aquabats
chantal kreviazuk,leaving on a jet plane,armageddon soundtrack
simon and garfunkel,the dangling conversation,parsley sage rosemary and thyme
modern english,i melt with you,after the snow
james taylor,enough to be on your way,hourglass
james horner,assault on ryan's house,patriot games soundtrack
stone temple pilots,interstate love song,purple
squirrel nut zippers,stop drop and roll,bedlam ballroom
coolio,gangsta's paradise,gangsta's paradise
they might be giants,she's actual size,apollo 18
carly smithson,total eclipse of the heart,
counting crows,mercury,recovering the satellites
elemeno-p,a quest for souls of men,no more lonely people
james taylor,boatman,hourglass
chicago,hard to say i'm sorry,chicago 16
shakira,quiero,pies descalzos
pearl jam,better man,vitalogy
billie myers,kiss the rain,growing pains
the simpsons,cut every corner,go simpsonic with the simpsons
madonna,santa baby,a very special christmas
311,prisoner,transistor
rem,it's a free world baby,friends soundtrack
shawn colvin,sunny came home,a few small repairs
backstreet boys,drowning,the hits chapter one
everclear,brown eyed girl,songs from an american movie vol. 1: learning how to smile
madonna,don't cry for me argentina,evita soundtrack
shawn colvin,diamond in the rough,steady on
weird al yankovic,i love rocky road,weird al yankovic
the simpsons,send in the clowns,songs in the key of springfield
the simpsons,in marge we trust,go simpsonic with the simpsons
smashing pumpkins,thirty-three,mellon collie and the infinite sadness - twilight to starlight
fine young cannibals,she drives me crazy,the raw &amp; the cooked
blink 182,adam's song,enema of the state
aladdin,a whole new world,aladdin soundtrack
mormon tabernacle choir,i stand all amazed,
mannheim steamroller,god rest ye merry gentlemen,mannheim steamroller christmas
weezer,american gigolo,maladroit
cake,comanche,motorcade of generosity
calling,wherever you will go,camino palmero
ritchie valens,la bamba,ritchie valens
j. geils band,love stinks,love stinks
carpenters,(they long to be) close to you,close to you
soundgarden,black hole sun,superunknown
weezer,in the garage,weezer (1994)
harry nilsson,everybody's talkin',aerial ballet
man&aacute;,oye mi amor,donde jugaran los ni&ntilde;os?
cake,shadow stabbing,comfort eagle
weezer,cold dark world,weezer (2008)
pretenders,i'll stand by you,last of the independents
beatles,let it be,let it be
my best friend's wedding,i say a little prayer,my best friend's wedding soundtrack
erasure,a little respect,the innocents
sheryl crow,light in your eyes,the very best of sheryl crow
third eye blind,semi-charmed life,third eye blind
sarah mclachlan,hold on,mirrorball
michael bolton,go the distance,hercules soundtrack
james taylor,jump up behind me,hourglass
norah jones,cold cold heart,come away with me
naughty by nature,o.p.p.,naughty by nature
three dog night,black and white,seven separate fools
beatles,a hard day's night,a hard day's night
u2,the refugee,war
sublime,santeria,sublime
john williams,theme from close encounters of the third kind,close encounters of the third kind soundtrack
aquabats,aquabat march,the return of the aquabats!
rascal flatts,love you out loud,melt
sixpence none the richer,kiss me,sixpence none the richer
tokens,the lion sleeps tonight,the lion sleeps tonight
weird al yankovic,living with a hernia,polka party!
ben folds,carrying cathy,rockin' the suburbs
weezer,automatic,weezer (2008)
they might be giants,sapphire bullets of pure love,flood
michael johns,across the universe,
linkin park,shadow of the day,minutes to midnight
paul mccartney,wonderful christmastime,back to the egg
mormon tabernacle choir,for the beauty of the earth,consider the lilies
weird al yankovic,my bologna,weird al yankovic
coldplay,we never change,parachutes
hootie and the blowfish,free to everyone,looking for lucky
daniel powter,bad day,daniel powter
johnny mathis,it's beginning to look a lot like christmas,
athenaeum,what i didn't know,radiance
color me badd,all 4 love,cmb
david barrus,not while i'm around,on stage
blackout allstars,i like it (like that),i like it like that soundtrack
pat benatar,love is a battlefield,live from earth
squirrel nut zippers,missing link,bedlam ballroom
green day,boulevard of broken dreams (clean),american idiot
killers,bones,sam's town
green day,holiday,american idiot
amy grant,big yellow taxi,house of love
twisted sister,we're not gonna take it,stay hungry
weird al yankovic,lasagna,even worse
joan osborne,one of us,relish
tag team,whoomp! (there it is),whoomp! (there it is)
they might be giants,sleepwalkers,no!
moniot d'arras,ce fut en mai,
aquabats,pool party,myths legends and other amazing adventures vol. 2
bing crosby,it's beginning to look a lot like christmas,
they might be giants,everything right is wrong again,they might be giants
ray parker jr.,ghostbusters,ghostbusters soundtrack
michael jackson,the way you make me feel,bad
hootie and the blowfish,deeper side,hootie and the blowfish
u2,discotheque,pop
andrew lloyd webber,masquerade,phantom of the opera
shania twain,that don't impress me much,come on over
hootie and the blowfish,alright,hootie and the blowfish
divinyls,i touch myself,divinyls
weird al yankovic,pancreas,straight outta lynwood
alanis morissette,all i really want,jagged little pill
counting crows,insignificant,saturday nights &amp; sunday mornings
barenaked ladies,it's all been done,stunt
keane,somewhere only we know,hopes and fears
hootie and the blowfish,earth stopped cold at dawn,fairweather johnson
jerry goldsmith,first contact,star trek first contact soundtrack
big bad voodoo daddy,go daddy-o,big bad voodoo daddy
cake,pentagram,motorcade of generosity
collective soul,boast,blender
squirrel nut zippers,suits are picking up the bill,perennial favorites
the simpsons,they'll never stop the simpsons,testify
sister sledge,we are family,we are family
collin raye,little red rodeo,direct hits
cranberries,ode to my family,no need to argue
they might be giants,working undercover for the man,mink car
collective soul,run,dosage
aquabats,adventure today!,myths legends and other amazing adventures vol. 2
britney spears,lucky,oops! i did it again
sheryl crow,diamond ring,detours
they might be giants,put your hand inside the puppet head,they might be giants
weezer,love explosion,maladroit
man&aacute;,como un perro enloquecido,cuando los angeles lloran
beastie boys,body movin',hello nasty
wallflowers,god don't make lonely girls,bringing down the horse
avril lavigne,complicated,let go
squirrel nut zippers,twilight,hot
natasha bedingfield,love like this,pocketful of sunshine
natasha bedingfield,unwritten,unwritten
five for fighting,superman (it's not easy),america town
jack johnson,losing hope,brushfire fairytales
counting crows,carriage,hard candy
mariah carey,sweetheart,#1's
smashing pumpkins,love,mellon collie and the infinite sadness - dawn to dusk
u2,mission impossible theme,mission impossible soundtrack
hootie and the blowfish,autumn jones,looking for lucky
glenn frey,the heat is on,beverly hills cop soundtrack
man&aacute;,c&oacute;mo te deseo (vivo),en vivo
man&aacute;,d&oacute;nde jugar&aacute;n los ni&ntilde;os,donde jugaran los ni&ntilde;os?
jos&eacute; luis carrascal,como duele el frio,
andy williams,it's the most wonderful time of the year,the andy williams christmas album
ray charles,what'd i say,what'd i say
man&aacute;,vivir sin aire (vivo),en vivo
cake,short skirt/long jacket,comfort eagle
cake,the distance,fashion nugget
pm dawn,set adrift on memory bliss,of the heart of the soul and of the cross
bobby mcferrin,don't worry be happy,simple pleasures
goo goo dolls,listen,let love in
dave matthews band,old dirt hill (bring that beat back),stand up
hootie and the blowfish,las vegas nights,musical chairs
itayp&uacute;,candombe para jos&eacute;,folklore latinamericano vol. ii
sarah mclachlan,fear,mirrorball
elgar,pomp and circumstance,
they might be giants,they'll need a crane,lincoln
soul asylum,runaway train,grave dancers union
mulan,a girl worth fighting for,mulan soundtrack
rem,superman,life's rich pageant
moby,down slow,play
natalie merchant,beloved wife,tigerlily
they might be giants,whistling in the dark,flood
cake,waiting,pressure chief
rammstein,du hast,sehnsucht
david cook,the truth,analog heart
dave matthews band,the space between,everyday
barenaked ladies,rule the world with love,are me
david barrus,worlds apart,on stage 2: more broadway favorites
tlc,baby-baby-baby,ooooooohhh...on the tlc tip
kenneth cope,go with me,my servant joseph
vanessa williams,the sweetest days,sweetest days
the simpsons,we love to smoke,go simpsonic with the simpsons
byu men's chorus,lead kindly light,shout with glory
green day,she's a rebel,american idiot
jann arden,insensitive,living under june
aquabats,throw away the trash!,yo check out this ride!
del amitri,roll to me,twisted
joan osborne,right hand man,relish
joan osborne,st. teresa,relish
john mellencamp,teardrops will fall,trouble no more
rem,everybody hurts,automatic for the people
john mellencamp,wild night,dance naked
elemeno-p,children's medley,no more lonely people
george michael,faith,faith
metallica,through the never,metallica
jewel,standing still,this way
voice male,it's all been done,hooked
backstreet boys,show me the meaning of being lonely,millenium
eiffel 65,move your body,europop
diablitos,y yo ni se diga,
eminem,cleaning out my closet (clean),the eminem show
searchers,love potion no. 9,meet the searchers
sheryl crow,the first cut is the deepest,the very best of sheryl crow
the simpsons,song of shelbyville,testify
peter schilling,major tom (coming home),error in the system
weird al yankovic,i remember larry,bad hair day
the simpsons,trash of the titans (medley),go simpsonic with the simpsons
