ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques
Tout; Film;887;15
Tout; Roman Sentimental;750;6
Tout; Nintendo Switch;693;43
Tout; Roman Sentimental Anglais;640;5
Tout; Harry Potter;622;90
Livres; VIETNAMIENS;551;3
Livres; Trains;505;3
Tout; Couture;469;14
Jeux VidÃ©o; Switch;443;27
Tout; Roman Historique QuÃ©bÃ©coise;433;4
Tout; Parchemin;410;223
Tout; Netendances;406;102
Livres; Hotel;378;1
Tout; Constantine;371;2
Tout; Noel;343;20
Tout; Roman Moyen Ages;331;1
Tout; Star Wars;329;36
Tout; Jeux VidÃ©o PlayStation 4;328;20
Tout; France;323;7
Accessibles en Ligne; Cuisine;319;4
Tout; Playstation 4;312;11
Livres; Campagne;309;1
Tout; Marie Bernadette Dupuy;308;9
Tout; Films D'horreur;294;7
All; Magazines;292;6
Musique; Wagner;286;1
Tout; Xbox One;281;12
Tout; Roberts Nora;280;6
Livres; Tintin;276;8
Jeux VidÃ©o; Nintendo Switch;274;20
Tout; Nora Roberts;274;33
Tout; Louise Penny;268;58
Tout; Romans Sentimental;268;2
Tout; Julia Quinn;267;50
Jeux VidÃ©o; Xbox One;257;10
Tout; Bande DessinÃ©e;256;11
Tout; QuÃ©bec (Province). MinistÃ¨re Des Affaires Culturelles;253;3
Tout; Romans Homosexuels;251;2
All; Nintendo Switch;248;18
Tout; John Le CarrÃ©;245;29
Tout; Bandes DessinÃ©es;243;7
Tout; Peter May;239;9
Tout; Tintin;238;25
Tout; Michael Connelly;236;26
Tout; Histoire D'amour;233;3
Tout; James Patterson;229;23
Tout; NoÃ«l;228;21
Livres; Les Petits Hommes;226;2
Tout; Switch;225;29
Livres; Un Rien;225;1
Tout; Ãditions Du Cerf;224;4
Tout; Roman Histoire D'amour;224;3
All; DVD;223;15
Tout; Blu-Ray;222;17
Tout; BorÃ©al;222;11
Tout; Jardinage;221;4
Tout; Tricot;214;19
Tout; Ken Follett;213;29
Tout; Cuisine;212;8
Tout; Van Gogh;209;6
Tout; Stephen King;207;19
Tout; Disney;206;6
Livres; James Patterson;205;11
Tout; Ken Follet;205;30
Tout; Livre Audio;204;28
Tout; Les Belles Lettres;203;8
Tout; Joliette;201;7
Tout; Agatha Christie;200;21
Tout; Cirque;200;3
Tout; Naruto;197;15
All; Blu-Ray;195;13
Tout; Michel Tremblay;195;31
Livres; Ami;191;1
Tout; Yoga;191;27
Livres; Camilleri;189;5
Tout; Mangas;188;5
Tout; Roman;188;21
Livres; Noel;186;8
Tout; Danielle Steel;184;18
Livres; Michael Connelly;184;20
Tout; Christmas;183;10
Tout; Piano;182;9
Tout; Asterix;179;24
Livres; Lettre;175;1
Tout; Connelly;174;19
Tout; Dessin Technique;172;2
Tout; David Goudreault;171;46
Tout; Guillaume Musso;171;27
Tout; Stendhal;171;4
Tout; Jeux VidÃ©o PlayStation 3;170;3
Tout; Andara;169;19
Tout; Roman Historique QuÃ©bÃ©cois;169;3
Tout; Foenkinos David;168;7
Tout; Kim Thuy;167;42
Video Games; Switch;167;12
Tout; Obama;166;23
Tout; Roman Historique Quebecois;166;2
Livres; Champ;165;1
Tout; Presses Universitaires De Rennes;160;2
Tout; Beatles;158;14
Tout; Roman Dramatique;158;3
Tout; Tarot;158;20
Tout; Quinn Julia 1970-;157;24
Tout; Criterion Dvd;155;2
Livres; Chanson;153;1
Tout; La DÃ©couverte;151;6
Tout; Histoire;151;21
Livres; Margaret Atwood;148;11
Tout; Fanny Britt;147;34
Tout; Pokemon;147;20
Musique; AndrÃ© Gagnon;146;15
Tout; Secret;144;1
All; DVD Movie;143;1
Tout; Dessin IdÃ©e;142;1
Tout; Nintendo of America Inc.;141;13
Tout; Christine Barbaste;141;1
Livres; Couture Patron;141;1
Tout; Marie Laberge;141;21
Tout; Musique Jazz NoÃ«l;141;1
Tout; Prostitution;141;3
Tout; Lucky Luke;140;19
All; Organized Crime;139;2
Livres; Roman Historique;139;2
Tout; Sapiens;138;46
Tout; Elena Ferrante;137;28
Tout; Harlan Coben;137;19
Tout; Editions Du Cerf;136;1
All; Design;136;4
Tout; Islam;136;10
Tout; Roman Gros CaractÃ¨res;135;1
Tout; Sylvain Tesson;135;19
Tout; Tallandier;133;5
Tout; Biographie;133;18
All; Harry Potter;132;28
Tout; Ãditions GID;131;3
Tout; Roman Historique;131;7
Tout; Cherche Et Trouve;130;6
Jeux VidÃ©o; Playstation 4;130;2
Tout; Astrologie;128;7
Tout; Lucinda Riley;128;21
Tout; Canada (Province). Commissaire Sous l'Acte Seigneurial Refondu;127;4
Tout; Bd;127;5
Tout; Guerre;127;5
Tout; Roman Sur Les Femmes;127;2
Tout; John Le Carre;126;18
Livres; Louise Penny;125;25
All; Garden;124;1
Musique; Harmonium;124;20
Tout; Yasmina Khadra;124;24
Tout; Zweig Stefan 1881-1942;123;9
Tout; LÃ©onard;123;16
Livres; Tricot;123;3
Livres; Harry Potter;122;13
Tout; Jules Verne;122;9
Livres; AbÃ©cÃ©daire;120;1
Livres; CÃ´tÃ©;120;1
Tout; La Ville Livre Jeunesse;119;1
Tout; PensÃ©e;119;2
Tout; Les HumanoÃ¯des AssociÃ©s;117;4
Tout; Gabriel FaurÃ©;117;4
Tout; Game of Thrones;117;21
Livres; Le Silence D'is;117;1
Tout; Roman Histoire Feminine;117;1
Tout; The Beatles;116;3
Tout; Assimil;115;7
Tout; Jeux De Pouvoir;114;1
Tout; Charles De Gaulle;113;4
Livres; Belle;112;1
Tout; Romans Policiers;112;7
All; Max Et Lili;111;3
Musique; David Bowie;110;9
Tout; Manga;110;12
