ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques;;
Tout; Serge Bouchard;825;92;;
Tout; Nintendo Switch;591;47;;
Jeux VidÃ©o; Switch;501;32;;
Tout; Nora Roberts;481;31;;
Tout; Analyse Textuelle;439;1;;
Tout; Stephen King;439;47;;
Tout; Lucky Luke;430;52;;
Tout; Livre Audio;421;37;;
Tout; Marc Levy;412;51;;
Tout; Romans Sentimentaux;408;9;;
"Tout;"" Que Sais-Je? ;"";388;3;;"
Tout; Harry Potter;385;76;;
Tout; Lonely Planet Publications (Firme);376;3;;
Tout; Films D'horreur;375;3;;
Tout; Yoga;339;33;;
Jeux VidÃ©o; Nintendo Switch;329;31;;
Tout; Suicide Jeunes;329;1;;
Tout; James Patterson;320;26;;
Tout; Monstres Anglais;298;48;;
Tout; Europe;279;2;;
Tout; InterprÃ©tation RÃªves;275;1;;
Musique; Bach;273;1;;
Tout; Broderie;263;10;;
Livres; Serge Bouchard;258;26;;
Tout; Vampire;249;6;;
Tout; Partitions Piano;247;2;;
Tout; DVD;246;14;;
Livres; Michael Connelly;241;48;;
Tout; Switch;241;36;;
Livres; Monsters;233;1;;
Tout; Films D'horreur;232;10;;
Tout; Films Britanniques;227;3;;
Tout; Michael Connelly;227;40;;
Tout; Manga;225;32;;
Tout; Jeux VidÃ©o PlayStation 3;223;3;;
Tout; Histoire;219;8;;
Tout; Boris Cyrulnik;217;28;;
Musique; Wagner;211;2;;
Tout; Gestion Du Stress;210;15;;
Livres; Roman Fantasy;206;1;;
Tout; OcÃ©ans;205;3;;
Tout; Audiobook;203;3;;
Tout; Policier;198;4;;
Livres; The Art Of;196;2;;
Tout; PoÃ¨me;189;3;;
Tout; Ukulele;186;18;;
Tout; Louise Penny;184;28;;
Tout; Salinger;183;14;;
Tout; Lucky;181;30;;
Musique; Pink Floyd;180;17;;
Tout; Michel Tremblay;180;26;;
Tout; Patrick Senecal;179;35;;
Tout; Julia Quinn;178;35;;
Tout; Virginia Woolf;178;17;;
Tout; CathÃ©drales;176;1;;
Tout; Francois Hebert;168;1;;
Tout; Dictionnaire;167;5;;
All; James Patterson;163;7;;
Tout; William;162;1;;
Tout; Tarot;161;16;;
Tout; Les SoviÃ©tiques;160;3;;
Tout; La RÃ©vÃ©lation;159;1;;
Tout; Bertrand Tavernier;159;31;;
Tout;1984;157;42;;
Tout; MÃ©ditation;157;7;;
Tout; Harlan Coben;148;23;;
Tout; Ian Rankin;148;28;;
Tout; Arsene Lupin;146;14;;
Tout; Carte Topographique;144;3;;
Tout; Lisa Gardner;144;20;;
Tout; Agatha Christie;142;22;;
Tout; Tolkien;141;33;;
Musique; String Quartets;139;5;;
Musique; Scars;138;69;;
Tout; Pirates;138;7;;
Tout; Hal Leonard Guitar;137;1;;
Tout; Histoire De Chine;137;2;;
Tout; Python;137;16;;
Tout; Livres D'images;136;3;;
Tout; Frank Zappa;136;14;;
Tout; Romans QuÃ©bÃ©cois -- 20e SiÃ¨cle;135;2;;
Tout; Cookie;135;1;;
Tout; Criterion;135;9;;
Tout; Terrorisme;134;3;;
Tout; American Illustration;133;1;;
Tout; Couture;133;18;;
