ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
harry potter,221,1.54,3.17%,42.35%,243.35,7.57
game of thrones,139,1.45,8.63%,33.17%,160.37,6.32
modern family,119,1.1,8.40%,68.70%,75.24,2.29
la fille du train,112,1.66,7.14%,30.65%,205.3,7.38
american horror story,104,1.33,2.88%,55.07%,176.87,5.78
outlander,101,1.33,5.94%,41.79%,186.87,4.61
big bang theory,96,1.2,2.08%,52.17%,139.63,4.89
guy delisle,94,1.11,6.38%,62.50%,168.39,5.44
shameless,90,1.22,3.33%,59.09%,86.39,4.72
elena ferrante,89,1.26,0.00%,37.50%,261.07,8.43
homeland,85,1.18,5.88%,62.00%,138.71,2.78
bat for lashes,84,1.02,2.38%,94.19%,21.82,1.74
stephen king,84,1.08,1.19%,76.92%,135.35,6.1
nick cave skeleton,80,1.14,5.00%,90.11%,28.94,0.13
chairlift,76,1.0,0.00%,100.00%,16.46,1.0
la femme qui fuit,76,1.25,5.26%,48.42%,150.32,4.78
captain america,75,1.13,4.00%,75.29%,94.27,3.36
blood orange,74,1.11,0.00%,96.34%,49.86,1.45
walking dead,74,1.2,2.70%,44.94%,193.82,6.41
kathy reichs,73,1.05,6.85%,66.23%,129.71,3.59
leonard cohen,73,1.27,12.33%,41.94%,219.86,6.34
Figaro magazine,72,1.1,0.00%,0.00%,82.96,2.17
house of cards,71,1.31,0.00%,44.09%,170.44,5.15
bon iver 22,70,1.19,8.57%,80.72%,20.59,0.51
elle,65,1.05,3.08%,29.41%,48.4,6.37
halloween,65,1.54,0.00%,54.00%,518.54,17.55
lisa leblanc,65,1.09,4.62%,77.46%,143.65,2.94
good wife,64,1.03,0.00%,98.48%,47.33,1.63
avec pas casque effets,63,1.03,0.00%,90.77%,25.63,2.54
bon iver,60,1.45,3.33%,51.72%,324.15,5.9
preoccupations,60,1.0,10.00%,86.67%,10.3,0.9
badbadnotgood,59,1.0,1.69%,94.92%,44.07,1.39
vikings,59,1.37,3.39%,50.62%,152.0,6.46
supernatural,57,1.3,3.51%,39.19%,417.56,9.14
ghostbusters,55,1.18,5.45%,64.62%,142.47,2.49
danny brown exhibition,54,1.09,1.85%,94.92%,10.7,0.0
jenny hval,54,1.0,5.56%,90.74%,16.7,1.8
warcraft,54,1.24,18.52%,70.15%,126.87,2.33
james patterson,53,1.04,3.77%,47.27%,166.96,8.45
pharmaceutique,53,1.21,54.72%,6.25%,92.21,1.34
star wars,53,1.28,1.89%,58.82%,169.04,5.32
annie blanchard,52,1.77,3.85%,47.83%,25.69,3.06
hamilton leithauser,52,1.0,0.00%,96.15%,53.73,1.63
La fille du train,52,1.63,3.85%,18.82%,271.38,7.29
young thug,52,1.0,0.00%,100.00%,28.29,1.13
ian caldwell,51,1.06,19.61%,50.00%,29.92,1.31
marissa nadler,51,1.0,0.00%,100.00%,15.25,1.0
the girl on the train,51,1.49,3.92%,42.11%,180.57,4.92
eleanor friedberger,50,1.0,0.00%,100.00%,16.36,1.06
how to dress well care,50,1.02,0.00%,98.04%,6.68,0.08
classixx,49,1.0,0.00%,100.00%,11.22,1.0
frank ocean,49,1.06,0.00%,86.54%,59.67,2.88
leon vynehall,49,1.06,0.00%,94.23%,6.33,0.0
money monster,49,1.18,4.08%,70.69%,102.41,4.57
mutual benefit,49,1.0,0.00%,100.00%,9.22,1.0
the walking dead,49,1.37,0.00%,37.31%,218.86,6.1
field follower,48,1.02,0.00%,97.96%,12.79,1.06
harry potter et l'enfant maudit,47,1.13,10.64%,45.28%,93.87,3.15
nick cave,47,1.13,2.13%,73.58%,184.0,5.32
caty bÃ©rubÃ©,46,1.02,0.00%,38.30%,39.59,2.48
devendra banhart ape,46,1.02,2.17%,93.62%,20.93,0.15
ray donovan,46,1.43,13.04%,51.52%,138.87,2.13
the good wife,46,1.11,19.57%,60.78%,102.41,2.35
better call saul,45,1.04,42.22%,46.81%,70.13,1.22
bob dylan,45,1.51,2.22%,50.00%,278.71,10.78
en as-tu vraiment besoin,45,1.29,2.22%,29.31%,191.33,4.4
frankie cosmos next,45,1.07,2.22%,87.50%,39.51,2.2
le petit robert,45,1.0,2.22%,8.89%,90.4,2.11
nora roberts,45,1.31,4.44%,22.03%,318.44,9.16
s'enfuir,45,1.2,20.00%,37.04%,89.33,2.13
grimm,44,1.27,6.82%,64.29%,194.36,6.91
guide de la route,44,1.64,4.55%,51.39%,371.45,10.34
ima femme,44,1.27,2.27%,83.93%,89.07,1.98
josÃ©e blanchette,44,1.14,2.27%,40.00%,204.66,5.07
avec pas d'casque,43,1.19,2.33%,50.98%,136.56,7.16
daniel lavoie,43,1.07,11.63%,78.26%,113.65,3.51
elza soares,43,1.0,0.00%,100.00%,15.23,1.02
the americans,43,1.14,0.00%,65.31%,413.05,11.09
x-men,43,1.05,2.33%,64.44%,66.63,4.09
age transparency,42,1.02,2.38%,95.35%,17.19,1.07
luc mercure,42,1.0,0.00%,7.14%,64.55,4.81
moodymann,42,1.02,0.00%,100.00%,10.21,1.05
revenge trans,42,1.05,0.00%,97.73%,8.5,0.0
sunergy,42,1.1,0.00%,91.30%,25.67,0.0
carly rae jepsen side,41,1.02,0.00%,97.62%,20.85,1.07
Harry potter,41,1.24,9.76%,39.22%,87.05,3.63
hotelier goodness,41,1.02,0.00%,97.62%,8.71,0.0
nao for all we know,41,1.02,0.00%,97.62%,6.54,0.0
narcos,41,1.2,7.32%,69.39%,155.59,1.41
norah jones,41,1.12,2.44%,60.87%,114.12,3.12
sheer mag,41,1.0,0.00%,100.00%,7.37,1.0
kevin morby,40,1.05,2.50%,97.62%,9.2,1.2
Outlander,40,1.55,15.00%,20.97%,210.08,4.48
the affair,40,1.2,2.50%,58.33%,101.7,4.35
arrow,39,1.15,2.56%,64.44%,162.87,6.64
bruce springsteen,39,1.67,7.69%,38.46%,150.1,7.54
la route infinie,39,1.31,5.13%,72.55%,194.85,2.62
naruto,39,1.13,5.13%,72.73%,368.36,7.36
star trek,39,1.51,10.26%,42.37%,214.74,10.1
the shallows,39,1.08,10.26%,71.43%,99.1,1.41
wild beasts boy king,39,1.0,0.00%,100.00%,9.28,1.05
a bigger splash,38,1.03,5.26%,87.18%,18.05,0.61
banks,38,1.08,2.63%,82.93%,28.61,2.74
batman,38,1.61,0.00%,45.90%,209.61,7.66
dany bedar,38,1.08,0.00%,58.54%,28.34,1.92
La femme qui fuit,38,1.11,10.53%,38.10%,187.39,4.55
mike molly,38,1.03,5.26%,89.74%,26.71,1.61
star trek beyond,38,1.03,7.89%,84.62%,35.42,1.55
the 100,38,1.21,0.00%,54.35%,104.89,3.89
maxwell black,37,1.0,0.00%,97.30%,26.0,1.89
michael connelly,37,1.19,0.00%,50.00%,341.43,8.14
plume latraverse,37,1.41,5.41%,42.31%,265.22,5.89
woody allen,37,1.3,8.11%,52.08%,161.41,5.89
downton abbey,36,1.33,5.56%,25.00%,210.72,6.53
lynda lemay,36,1.14,2.78%,70.73%,120.42,2.97
the jungle book,36,1.06,2.78%,76.32%,52.75,2.36
breaking bad,35,1.66,2.86%,39.66%,262.17,7.4
criterion blu ray,35,1.09,17.14%,47.37%,204.46,4.57
mafia 3,35,1.37,17.14%,35.42%,105.6,5.31
martin michaud,35,1.09,2.86%,42.11%,89.43,4.34
nicolas jaar sirens,35,1.03,2.86%,97.22%,11.09,0.0
normand baillargeon,35,1.4,11.43%,12.24%,239.34,4.91
once upon a time,35,1.43,0.00%,54.00%,252.71,7.97
Shameless,35,1.09,2.86%,73.68%,60.09,2.2
1984,34,1.41,0.00%,56.25%,339.82,11.5
bine,34,1.21,8.82%,12.20%,248.03,7.32
groenland,34,1.15,2.94%,76.92%,64.0,2.79
minecraft,34,1.91,0.00%,40.00%,434.74,14.76
Narcos,34,1.18,11.76%,77.50%,95.06,1.5
sunset song,34,1.06,29.41%,61.11%,29.24,1.21
yoga,34,1.35,2.94%,47.83%,297.65,11.53
3 fois par jour,33,1.12,36.36%,29.73%,205.09,4.06
central intelligence,33,1.06,0.00%,85.71%,76.36,1.88
cuisine,33,1.21,3.03%,55.00%,385.45,12.24
Harry Potter,33,1.3,3.03%,34.88%,323.7,9.15
ima,33,1.21,3.03%,70.00%,123.15,3.58
inferno,33,1.45,0.00%,37.50%,186.85,6.85
kim thuy,33,1.33,0.00%,50.00%,347.85,8.09
