ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
game of thrones,115,1.82,0.00%,30.62%,231.57,7.13
harry potter,107,1.48,0.00%,51.27%,461.36,9.57
lion,105,1.1,2.86%,74.78%,171.18,4.82
house of cards,99,1.22,5.05%,55.37%,197.41,5.45
hidden figures,91,1.2,10.99%,64.22%,159.62,2.44
elena ferrante,78,1.29,1.28%,45.54%,271.77,9.38
the americans,72,1.14,4.17%,67.07%,88.81,3.22
outlander,71,1.38,2.82%,30.61%,328.1,7.11
homeland,70,1.36,1.43%,45.26%,196.51,8.29
elle,69,1.2,0.00%,43.37%,152.0,7.71
guillaume musso,69,1.48,8.70%,49.02%,165.96,5.32
la la land,67,1.28,4.48%,52.33%,193.16,6.34
13 reasons why,61,1.2,3.28%,54.79%,212.34,4.07
stephen king,60,1.2,5.00%,55.56%,199.83,8.17
1984,59,1.17,3.39%,68.12%,198.44,6.46
rogue one,59,1.39,5.08%,37.80%,222.31,8.03
thundercat,59,1.02,1.69%,96.67%,25.76,1.31
julie byrne,58,1.02,5.17%,93.22%,19.4,1.03
la femme qui fuit,58,1.62,5.17%,39.36%,236.93,6.26
arrival,55,1.13,1.82%,64.52%,173.55,7.62
drake more life,55,1.05,9.09%,89.66%,8.89,0.98
foxygen,55,1.04,1.82%,96.49%,10.35,1.05
bluray,53,1.23,11.32%,27.69%,243.81,7.42
dirty projectors,53,1.02,0.00%,100.00%,8.91,1.04
migos,52,1.08,0.00%,94.64%,25.54,1.19
crimes au musÃ©e,51,1.18,0.00%,45.00%,121.51,3.82
vagabon,51,1.02,0.00%,98.08%,9.12,1.08
bat for lashes bride,50,1.02,0.00%,96.08%,11.46,1.36
priests nothing feels,50,1.04,0.00%,98.08%,9.06,1.04
real estate mind,50,1.1,0.00%,94.55%,36.4,0.46
leon rojus,49,1.04,0.00%,100.00%,6.29,0.14
vikings,49,1.24,8.16%,45.90%,387.49,9.29
walking dead,49,1.39,0.00%,41.18%,302.71,6.9
ghost in the shell,48,1.4,2.08%,47.76%,207.71,6.63
jay som everybody works,48,1.08,0.00%,96.15%,22.75,0.52
marissa nadler,48,1.02,0.00%,95.92%,17.17,1.44
mono no aware,48,1.02,0.00%,100.00%,17.21,1.29
moonlight,48,1.25,2.08%,55.00%,129.73,5.67
young thug jeffery,48,1.04,0.00%,98.00%,9.48,1.1
nora roberts,47,1.23,4.26%,39.66%,212.3,8.38
father john misty,46,1.07,19.57%,69.39%,127.39,1.43
mutual benefit,46,1.02,2.17%,93.62%,47.41,1.3
Planet Earth II,46,1.02,4.35%,91.49%,14.8,1.13
spoon hot thoughts,46,1.04,19.57%,62.50%,76.26,1.74
44 facettes du bonheur,45,1.04,0.00%,95.74%,21.98,2.13
arca,45,1.11,2.22%,88.00%,33.51,1.27
la femme du gardien de zoo,45,1.02,13.33%,60.87%,21.31,0.84
passengers,45,1.42,0.00%,53.13%,134.18,5.64
python,45,1.44,2.22%,41.54%,361.22,9.16
yoga,45,1.42,2.22%,50.00%,524.91,15.96
le jardin de PÃ©tronille,44,1.0,0.00%,97.73%,18.68,1.0
moana,44,1.61,0.00%,54.93%,190.95,6.91
naruto,44,1.68,0.00%,54.05%,275.45,8.36
janine sutto,43,1.63,0.00%,30.00%,193.21,6.79
michel tremblay,43,1.35,4.65%,62.07%,355.0,8.81
musso,43,1.07,2.33%,54.35%,161.26,8.42
normand baillargeon,43,1.4,9.30%,20.00%,219.58,4.93
pour l'amour de Mathilde,43,1.0,0.00%,100.00%,24.33,1.02
devendra ape,42,1.02,0.00%,95.35%,27.52,1.98
ilhareguy,42,1.0,0.00%,0.00%,4.12,1.07
