ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
logan,217,1.09,8.76%,71.73%,93.43,4.37
game of thrones,108,1.44,3.70%,36.13%,200.29,5.89
mac demarco,95,1.36,7.37%,90.70%,104.58,1.46
gorillaz humanz,94,1.39,4.26%,93.89%,63.77,0.33
john wick,92,1.1,22.83%,56.44%,118.17,3.25
house of cards,90,1.21,2.22%,60.55%,152.23,3.93
elle,89,1.21,2.25%,47.22%,137.81,6.45
perfume genius,88,1.19,4.55%,93.33%,94.74,1.45
drake more life,87,1.1,1.15%,94.79%,13.82,1.17
harry potter,82,1.44,3.66%,54.24%,274.48,7.76
dirty projectors,80,1.08,1.25%,98.84%,10.89,1.06
fleet foxes,79,1.16,11.39%,82.61%,150.16,1.82
forest swords,78,1.01,2.56%,94.94%,13.58,1.27
la la land,78,1.29,2.56%,59.41%,120.51,5.91
hidden figures,77,1.13,5.19%,75.86%,169.79,3.86
julie byrne,77,1.04,3.90%,96.25%,20.0,1.0
jlin,75,1.03,1.33%,97.40%,18.55,1.01
vagabon,75,1.04,0.00%,97.44%,24.48,1.05
alex rocket,74,1.01,1.35%,98.67%,26.88,1.05
migos culture,74,1.01,0.00%,100.00%,11.03,1.01
mono no aware,74,1.01,0.00%,100.00%,7.01,1.01
narkopop,74,1.01,0.00%,100.00%,6.47,0.0
guillaume musso,71,1.68,7.04%,40.34%,305.03,8.48
bat for lashes bride,70,1.03,0.00%,98.61%,7.79,1.03
leon rojus,70,1.04,0.00%,98.63%,9.79,0.0
beauty and the beast,69,1.41,0.00%,52.58%,137.38,7.43
young thug jeffery,69,1.03,0.00%,98.59%,47.54,1.09
elena ferrante,68,1.44,1.47%,42.86%,305.75,9.88
homeland,67,1.27,4.48%,44.71%,155.7,5.54
nxworries,62,1.0,1.61%,80.65%,84.66,3.97
outlander,62,1.34,6.45%,36.14%,209.65,5.84
twin peaks,60,1.92,1.67%,28.70%,396.07,12.5
lion,58,1.33,0.00%,63.64%,230.21,8.43
la femme qui fuit,57,2.19,10.53%,29.60%,197.12,6.12
slowdive,56,1.36,1.79%,92.11%,121.09,2.09
stephen king,56,1.27,1.79%,64.79%,249.07,8.73
Logan,55,1.09,10.91%,73.33%,86.98,2.18
arrival,54,1.19,0.00%,59.38%,69.06,3.78
paula hawkins,53,1.4,3.77%,47.30%,170.58,4.92
suits,53,1.32,1.89%,54.29%,147.6,4.55
fred vargas,52,1.08,5.77%,58.93%,130.83,5.08
kevin morby,52,1.04,3.85%,90.74%,18.65,1.4
james patterson,51,1.2,7.84%,42.62%,307.98,10.37
big thief capacity,50,1.28,0.00%,79.69%,5.8,0.0
the americans,50,1.16,4.00%,67.24%,144.32,5.76
thundercat drunk,49,1.0,0.00%,100.00%,7.06,1.0
vikings,49,1.24,6.12%,60.66%,236.41,7.41
Game of thrones,48,1.5,12.50%,12.50%,150.54,4.06
priests nothing feels,48,1.06,0.00%,100.00%,5.9,1.06
sza,48,1.0,2.08%,97.92%,7.44,0.98
le plongeur,47,1.34,0.00%,53.97%,276.43,4.43
the affair,47,1.19,10.64%,62.50%,167.38,6.0
nelly,46,1.11,0.00%,64.71%,134.61,5.28
beatles,45,1.22,6.67%,36.36%,234.31,7.24
fiona barton,45,1.11,26.67%,50.00%,85.2,1.6
hurray riff,44,1.02,0.00%,100.00%,16.98,1.02
veronique labbe,44,1.0,20.45%,27.27%,117.75,2.75
