ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
walking dead,150,1.13,2.67%,44.71%,137.63,5.09
game of thrones,137,1.36,5.84%,31.55%,142.72,5.61
ken follett,89,1.08,4.49%,48.96%,156.3,4.3
blade runner,82,1.67,3.66%,21.17%,250.91,8.5
the walking dead,79,1.39,11.39%,21.82%,80.18,5.2
elle,74,1.07,2.70%,29.11%,49.55,6.16
stephen king,73,1.27,2.74%,47.31%,347.32,12.32
the mummy,73,1.1,0.00%,73.75%,109.15,2.7
harry potter,70,1.37,7.14%,41.67%,266.89,8.13
homeland,70,1.16,1.43%,43.21%,120.51,4.04
sapiens,68,1.26,1.47%,38.37%,189.25,5.28
house of cards,60,1.13,5.00%,58.82%,70.98,2.23
fleet foxes,59,1.05,3.39%,88.71%,49.25,1.69
Sapiens,58,1.21,3.45%,31.43%,199.41,3.84
wonder woman,58,1.31,5.17%,47.37%,156.55,8.47
big little lies,56,1.52,7.14%,31.76%,150.16,5.96
computer network,52,1.17,0.00%,11.48%,91.81,1.88
fargo,49,1.12,12.24%,54.55%,151.2,2.88
millenium,47,1.32,4.26%,51.61%,260.15,6.62
bluray,46,1.17,2.17%,24.07%,518.65,25.04
james patterson,46,1.2,0.00%,54.55%,220.26,6.8
louise penny,46,1.37,0.00%,38.10%,240.28,8.11
le plongeur,45,1.4,4.44%,39.68%,170.4,3.93
David Lagercrantz,44,1.23,9.09%,22.22%,143.89,4.05
outlander,44,1.52,2.27%,40.30%,155.43,5.59
grizzly bear painted,43,1.05,0.00%,93.33%,112.65,0.6
elena ferrante,42,1.38,7.14%,37.93%,230.33,7.19
homo deus,42,1.19,11.90%,42.00%,155.38,2.52
gotham,41,1.12,17.07%,56.52%,75.66,2.0
margaret atwood,41,1.24,2.44%,50.98%,323.68,8.88
war on drugs deeper,41,1.15,2.44%,91.49%,15.8,0.22
arrow,40,1.05,20.00%,54.76%,153.85,4.23
megan leavey,40,1.1,12.50%,75.00%,36.55,0.4
arcade fire,39,1.82,0.00%,33.80%,109.59,5.64
game of throne,39,1.26,5.13%,42.86%,210.72,6.59
Game of thrones,39,1.62,10.26%,17.46%,101.1,6.44
Louise penny,39,1.41,2.56%,40.00%,346.92,7.1
national sleep well,39,1.1,2.56%,88.37%,48.54,1.69
nora roberts,38,1.29,5.26%,36.73%,254.82,8.34
une colonne de feu,38,1.24,13.16%,63.83%,113.29,2.63
millenium 5,37,1.19,8.11%,56.82%,107.43,3.16
this is us,37,1.05,8.11%,61.54%,76.62,1.73
la femme qui fuit,36,2.22,5.56%,26.25%,282.11,6.97
elementary,34,1.0,20.59%,47.06%,74.38,1.24
it,34,1.24,0.00%,64.29%,91.53,5.21
