ï»¿Terme de recherche;Nombre total de recherches;Nombre total de recherches uniques
 la presse;557;472
 eureka;509;467
 pressreader;493;464
 dÃ©cÃ¨s;425;329
 actes dâÃ©tat civil;352;268
 Pressreader;317;278
 La Presse;309;247
 jstor;293;267
 multidictionnaire;275;248
 naissances;269;216
 press reader;259;243
 cairn;251;228
 mariages;239;183
 Press reader;234;199
 lynda;204;190
 reperes;200;189
 repÃ¨res;199;187
 montreal;198;153
 La presse;197;160
 prdh;194;180
 le devoir;185;155
 le soleil;162;140
 lovell;160;132
 montrÃ©al;151;105
 repere;132;124
 PressReader;123;112
 genealogie;122;84
 gÃ©nÃ©alogie;122;95
 kanopy;122;109
 1055-82;121;83
 chicoutimi;121;80
 notaires;121;109
 grand robert;118;117
 Le Devoir;114;87
 sherbrooke;113;89
 journaux quÃ©bÃ©cois;112;93
 Eureka;111;98
 Le Soleil;110;81
 rÃ¨glement sur les aliments;109;71
 2282-75;101;79
 journaux rÃ©gionaux;101;84
 QuÃ©bec;101;90
 petit robert;100;94
 ancestry;99;88
 Le sablier;97;76
 MontrÃ©al;94;55
 rosetta stone;92;82
 le nouvelliste;91;83
 la patrie;90;79
 Milliardaire;87;77
 Ã©rudit;86;85
 erudit;85;78
 overdrive;85;76
 La Patrie;83;61
 prÃªt numÃ©rique;83;67
 JSTOR;82;75
 Berne drapeau;81;12
 cinÃ©ma;81;72
 RÃ¨glement sur les aliments;80;53
 mes aieux;79;65
 parchemin;77;61
 revues et journaux;76;55
 verdun;76;50
 rbdigital;75;63
 value line;75;69
 saguenay;74;47
 397-88;72;55
 Lovell;72;61
 naxos;71;65
 Scotstown;71;31
 academic search complete;70;62
 Le soleil;70;58
 ProtÃ©gez-vous;69;54
 harry potter;68;45
 Berne pavillon;66;15
 quebec;66;33
 repÃ¨re;66;64
 le petit robert;64;62
 aliments;63;45
 le droit;63;54
 Loi sur les produits agricoles et les aliments;63;42
 Montreal;63;46
 Overdrive;63;61
 universalis;63;56
 Le devoir;62;50
 hull;61;46
 Louise penny;61;47
 dictionnaire;60;51
 Chicoutimi;59;36
 joliette;59;46
 PRDH;59;53
 la tribune;58;44
 lapresse;57;34
 Lynda;57;49
 laval;56;40
 musique;56;53
 Nouvelle-France;56;52
 Berne;55;9
 le sablier;55;42
 montmagny;55;31
 port;55;51
 consumer reports;54;42
 longueuil;54;46
 produits alimentaires;54;38
 rimouski;54;40
 terrebonne;54;45
 louise penny;53;41
 journal de montreal;51;50
 PrÃªt numÃ©rique;51;43
 tout apprendre;51;45
 protÃ©gez-vous;50;42
 RepÃ¨res;50;43
 romans;50;41
 documentaires;48;44
 novelist plus;48;41
 seance lutte;48;47
 worldcat;48;43
 Beauport;47;30
 loi sur les produits agricoles et les aliments;47;32
 proquest;47;35
 Arthur Bellefeuille;46;8
 eastman;46;29
 notaire;46;39
 Pretnumerique.ca;46;43
 rachel hollis;46;42
 victoriaville;46;35
 La patrie;45;32
 eureka.cc;44;40
 le quotidien;44;41
 Livre audio;44;32
 nicolet;44;34
 Parchemin;44;37
 arthabaska;43;21
 automobile;43;33
 bms2000;43;38
 mariage;43;34
 Sherbrooke;43;28
 annuaires lovell;42;35
 EurÃªka;42;38
 lovells;42;26
 new york times;42;39
 pelissier;42;13
 Rbdigital;42;31
 yamaska;42;23
 academic search;41;35
 le canadien;41;34
 quÃ©bec;41;37
 rosetta;41;37
 annuaire lovell;40;37
 canac marquis;40;31
 Le Nouvelliste;40;28
 mackay;40;37
 montreal gazette;40;30
 novelist;40;39
 action catholique;39;35
 drummondville;39;33
 lynda.com;39;37
 mesaieux;39;39
 New York Times;39;36
 pret numerique;39;37
 saint-jean-baptiste;39;30
 sorel;39;31
 boucherville;38;29
 gare;38;16
 Multidictionnaire;38;21
 books in print;37;36
 gazette;37;36
 granby;37;27
 hoopla;37;34
 le grand robert;37;34
 Longueuil;37;29
 warwick;37;22
 avod;36;34
 Edith Blais;36;28
 journaux;36;34
 valleyfield;36;29
1974;35;26
 Berne fleurdel;35;6
 edumedia;35;34
 Fritz Pereira;35;13
 Montmagny;35;28
 Naxos;35;29
 oxford art online;35;30
 vaudreuil;35;28
 Consumer reports;34;30
 lachine;34;24
 le monde;34;23
 nouvelliste;34;28
 Sainte-Brigitte-de-Laval;34;6
 Vaudreuil;34;26
 annuaire;33;29
 bulletin agriculteurs;33;21
 Carleton;33;14
 chambly;33;21
 duquet;33;23
 edith blais;33;29
 GÃ©nÃ©alogie;33;28
 Havre-aux-Maisons;33;22
 Jean de gagnÃ©;33;10
 Le nouvelliste;33;23
 Rimouski;33;27
 Rosetta stone;33;28
 Saguenay;33;27
 the gazette;33;27
 15 juillet 1975;32;25
 Drummondville;32;26
 photographies;32;24
 pret numÃ©rique;32;31
 pretnumerique;32;30
 Reperes;32;30
 revues quÃ©bÃ©coises;32;30
 roman;32;25
 saint-hyacinthe;32;23
 Ultramar;32;13
 vachon;32;25
1975;31;25
 coaticook;31;26
 la plus grosse poutine du monde;31;27
 livre audio;31;28
 medici;31;27
 plans de villes et villages;31;27
 arbour;30;28
 Journal de MontrÃ©al;30;27
 Petit Robert;30;30
 Robert Collins;30;30
 Roman;30;24
 safari;30;20
 shawinigan;30;22
 yamachiche;30;23
 15 avril 1967;29;24
 academic;29;27
 Baie-Saint-Paul;29;17
 fortier;29;21
 grippe espagnole;29;21
 James Patterson;29;21
 journal de montrÃ©al;29;28
 la nativitÃ©;29;23
 La tribune;29;20
 le multidictionnaire;29;29
 Louise Penny;29;23
 produits agricoles;29;20
 reglement sur les aliments;29;18
 saint-nazaire;29;21
 The Gazette;29;25
 toutapprendre;29;26
 annuaire marcotte;28;24
 archives des notaires;28;24
 armagh;28;17
 auto repair;28;24
