animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A600583,DOG,TAN,WHITE,MASTIFF,515490.0,2Y,2 YEARS,,,
A571404,DOG,WHITE,,SHEPHERD,486347.0,3Y,3 YEARS,L17-010398,LIC ALTERED,
A584470,DOG,BLACK,WHITE,TOY,499429.0,3Y,3 YEARS,R16-3125,RAB VAC CERT.,LMAS
A625698,CAT,ORG TABBY,,LONGHAIR,540433.0,8M,8 MONTHS,985113001191377,MICROCHIP ADO,
A591877,DOG,WHITE,,TOY,506793.0,3Y,3 YEARS,L16-045383,LIC ALTERED,
A626752,DOG,BROWN,,TERRIER,541466.0,,NO AGE,L17-027535,LIC ALTERED,
A623372,CAT,BLUE,,SHORTHAIR,538102.0,1Y 3M,1 YEAR 3 MONTHS,,,
A553909,DOG,TAN,WHITE,MASTIFF,468824.0,6Y,6 YEARS,L15-026034,LIC UNALTERED,
A244012,DOG,TAN,,TOY,153290.0,13Y,13 YEARS,D08-016680,LIC ALTERED,SIMS
A629022,DOG,UNKNOWN,,COLLIE,543661.0,,NO AGE,,,
A579683,DOG,BROWN,,TOY,494635.0,6Y,6 YEARS,L16-011834,LIC ALTERED,
A571714,DOG,WHITE,,TOY,486657.0,7Y,7 YEARS,985121008512283,MICROCHIP,
A595263,CAT,UNKNOWN,,LONGHAIR,510159.0,,NO AGE,,,
A633007,CAT,BRN TABBY,WHITE,SHORTHAIR,547631.0,13W,13 WEEKS,,,
A566782,CAT,TORTIE,,SHORTHAIR,481718.0,7Y,7 YEARS,L16-001692,LIC ALTERED,
A553470,DOG,,,TOY,468384.0,,NO AGE,L15-011004,LIC ALTERED,
A567078,CAT,ORG TABBY,,SHORTHAIR,482015.0,5Y,5 YEARS,L15-005150,LIC ALTERED,
A583979,DOG,BLACK,,SPITZ,498937.0,2Y,2 YEARS,L16-026031,LIC ALTERED,AUDUBON
A571675,DOG,BLACK,,TOY,486618.0,8Y,8 YEARS,4A34692622,MICROCHIP,
A571217,DOG,BR BRINDLE,,HOUND,486160.0,3Y,3 YEARS,L15-006430,LIC ALTERED,
A406140,DOG,BLACK,TAN,TOY,319220.0,11Y,11 YEARS,L16-043248,LIC 3Y,
A625347,DOG,UNKNOWN,,TOY,540082.0,,NO AGE,,,
A591052,DOG,UNKNOWN,,MASTIFF,505969.0,,NO AGE,,,
A570229,DOG,CHOCOLATE,WHITE,MASTIFF,485172.0,,NO AGE,L17-013298,LIC ALTERED,BANNON WOO
A584434,DOG,GOLD,,SETTER/RETRIEVE,499393.0,13Y,13 YEARS,L15-035348,LIC UNALTERED,GAILOR
A618786,DOG,BROWN,,SPANIEL,533535.0,13Y,13 YEARS,L17-036769,LIC 3Y,
A579548,CAT,WHITE,BUFF,SHORTHAIR,494500.0,2Y,2 YEARS,985112006926049,MICROCHIP ADO,
A563866,DOG,RED MERLE,,MIX,478792.0,5Y,5 YEARS,L15-024231,LIC ALTERED,
A608980,DOG,BLACK,WHITE,TOY,523815.0,1Y 5M,1 YEAR 5 MONTHS,985112008437270,MICROCHIP,BANFIELD
A556442,DOG,GRAY,WHITE,TERRIER,471355.0,3Y,3 YEARS,985112005139547,MICROCHIP ADO,MAS
A628318,DOG,TRICOLOR,,HOUND,542993.0,1Y,1 YEAR,985113001199624,MICROCHIP ADO,
A566508,CAT,WHITE,BROWN,SHORTHAIR,481443.0,4Y,4 YEARS,L15-019338,LIC ALTERED,KHS
A574078,DOG,BLACK,GOLD,TOY,489022.0,7Y,7 YEARS,L15-050007,LIC ALTERED,
A611429,CAT,BLUE,,SHORTHAIR,526212.0,1Y 7M,1 YEAR 7 MONTHS,,,
A568029,DOG,UNKNOWN,,,482969.0,,NO AGE,L16-057782,LIC ALTERED,
A380289,DOG,BROWN,BLACK,HOUND,292927.0,13Y,13 YEARS,D13-011344,LIC ALTERED,EAST LOUIS
A602019,DOG,BLACK,WHITE,SETTER/RETRIEVE,516933.0,2Y,2 YEARS,,,
A583165,DOG,BLACK,,SETTER/RETRIEVE,498122.0,4Y,4 YEARS,RAB-45302,RAB VAC CERT.,SENECA
A560786,DOG,GRAY,,SPITZ,475706.0,4Y,4 YEARS,L16-001503,LIC SR,
A622456,DOG,BLACK,BROWN,HOUND,537181.0,3Y,3 YEARS,,,
A610573,DOG,BROWN,WHITE,HOUND,525382.0,8Y,8 YEARS,L17-040784,LIC ALTERED,DIXIE
A596465,DOG,BLACK,TAN,SHEPHERD,511388.0,1Y 9M,1 YEAR 9 MONTHS,956000009823977,MICROCHIP,
A602541,DOG,TRICOLOR,BLACK,HOUND,517443.0,5Y,5 YEARS,,,
A478124,DOG,BR BRINDLE,,MASTIFF,392523.0,6Y,6 YEARS,D14-047931,LIC ALTERED,SHEPHERDSV
A579494,DOG,BLACK,,MIX,494446.0,5Y,5 YEARS,L16-047380,LIC ALTERED,
A621252,CAT,GRAY,,SHORTHAIR,535974.0,7M,7 MONTHS,,,
A616264,CAT,BLACK,WHITE,SHORTHAIR,531016.0,1Y 9M,1 YEAR 9 MONTHS,R17-5582,RAB VAC CERT.,LMAS
A587332,DOG,WHITE,,TOY,502289.0,10Y,10 YEARS,U16-007367,RABIES CERT,
A592977,CAT,UNKNOWN,,SHORTHAIR,507899.0,,NO AGE,,,
A627963,CAT,BLACK,,SHORTHAIR,542636.0,4M,4 MONTHS,L17-053130,LIC ALTERED,LMAS
A555696,CAT,UNKNOWN,,SHORTHAIR,470608.0,,NO AGE,,,
A585499,CAT,BRN TABBY,,SHORTHAIR,500444.0,3Y,3 YEARS,L17-037524,LIC ALTERED,
A578196,DOG,BLACK,WHITE,SPITZ,493148.0,2Y,2 YEARS,L16-039831,LIC ALTERED,
A579072,CAT,GRAY,,SHORTHAIR,494023.0,17Y,17 YEARS,U15-005810,RABIES CERT,
A550795,DOG,TAN,,SETTER/RETRIEVE,465690.0,12Y,12 YEARS,985112004690927,MICROCHIP RTO,
A581939,DOG,BLACK,WHITE,POODLE,496896.0,2Y,2 YEARS,L15-039123,LIC SR,KHS
A566927,DOG,WHITE,,TOY,481863.0,6Y,6 YEARS,L15-055706,LIC ALTERED,
A583605,DOG,UNKNOWN,,TERRIER,498570.0,,NO AGE,,,
A315917,DOG,WHITE,BLACK,COLLIE,142604.0,12Y,12 YEARS,D14-006709,LIC SR,DERBY CITY
A433278,DOG,BLACK,WHITE,POINTER,347016.0,6Y,6 YEARS,3Y14-006879,LIC 3Y,FAIRDALE
A612915,DOG,YELLOW,WHITE,MASTIFF,527681.0,7Y,7 YEARS,L17-016735,LIC ALTERED,
A581697,DOG,GRAY,,MASTIFF,496653.0,3Y,3 YEARS,L15-027263,LIC 3Y,
A624870,DOG,BLACK,WHITE,SETTER/RETRIEVE,539604.0,10M,10 MONTHS,985113001207983,MICROCHIP ADO,
A624829,DOG,WHITE,BLACK,TERRIER,539563.0,2Y,2 YEARS,L17-009712,LIC ALTERED,LMAS
A587399,DOG,BR BRINDLE,,SHEPHERD,502355.0,2Y,2 YEARS,985112006406848,MICROCHIP,
A552709,DOG,BLACK,RED,HOUND,467621.0,,NO AGE,L14-007777,LIC ALTERED,KHS
A598165,OTHER,BROWN,,MAMMAL,513087.0,2Y,2 YEARS,,,
A536188,DOG,BLACK,,POODLE,451034.0,10Y,10 YEARS,L17-013552,LIC SR,
A572274,DOG,WHITE,,POODLE,487217.0,9Y,9 YEARS,U15-004642,RABIES CERT,
A327302,DOG,BLACK,,SETTER/RETRIEVE,159192.0,14Y,14 YEARS,L14-047804,LIC SR,CHEROKEE
A628134,DOG,WHITE,BLACK,MASTIFF,542809.0,3Y,3 YEARS,,,
A622477,DOG,BROWN,WHITE,SIGHTHOUND,537202.0,1Y 6M,1 YEAR 6 MONTHS,L16-023279,LIC ALTERED,
A571666,CAT,BLACK,,SHORTHAIR,486609.0,,NO AGE,L15-026683,LIC ALTERED,
A558269,CAT,BLK TABBY,,SHORTHAIR,473187.0,4Y,4 YEARS,L15-001964,LIC ALTERED,DIXIE
A586092,DOG,TRICOLOR,,TOY,501047.0,2Y,2 YEARS,,,
A554054,DOG,BLACK,WHITE,SPITZ,468968.0,5Y,5 YEARS,L16-035910,LIC UNALTERED,
A482520,DOG,BLACK,,SETTER/RETRIEVE,397035.0,6Y,6 YEARS,L15-036188,LIC ALTERED,
A618947,DOG,BLACK,,HOUND,533688.0,,NO AGE,L17-042333,LIC ALTERED,
A625413,DOG,BROWN,WHITE,MASTIFF,540148.0,1Y 4M,1 YEAR 4 MONTHS,985113001194038,MICROCHIP ADO,
A562484,DOG,TRICOLOR,,HOUND,477409.0,7Y,7 YEARS,L15-033716,LIC ALTERED,
A429678,DOG,BLACK,,SETTER/RETRIEVE,343296.0,12Y,12 YEARS,D14-052031,LIC ALTERED,SHIVELY
A615068,DOG,BLACK,WHITE,POODLE,529813.0,4Y,4 YEARS,,,
A606120,DOG,TAN,,COLLIE,520971.0,4Y,4 YEARS,L17-022250,LIC ALTERED,
A612941,DOG,TRICOLOR,,TOY,527707.0,8Y,8 YEARS,L17-042549,LIC 3YSR,AUBURNDALE
A602004,DOG,BR BRINDLE,WHITE,MASTIFF,516918.0,2Y,2 YEARS,985112007909921,MICROCHIP ADO,
A611899,CAT,BLACK,,SHORTHAIR,526682.0,2Y,2 YEARS,,,
A598854,DOG,TAN,WHITE,TOY,513768.0,5Y,5 YEARS,RAB9124178,RABIES CERT,BANFIELD
A586130,CAT,BLACK,,SHORTHAIR,501085.0,2Y,2 YEARS,L16-049125,LIC ALTERED,LMAS
A599200,DOG,WHITE,,SPITZ,514107.0,2Y,2 YEARS,L16-018681,LIC ALTERED,
A604657,DOG,BROWN,WHITE,HOUND,519506.0,1Y 6M,1 YEAR 6 MONTHS,L16-023689,LIC ALTERED,
A370180,DOG,BLACK,,TOY,282663.0,9Y,9 YEARS,985112008454510,MICROCHIP ADO,MAS
A611376,DOG,WHITE,APRICOT,TOY,526159.0,10Y,10 YEARS,L16-053354,LIC ALTERED,SHELDEN
A563249,DOG,WHITE,BLACK,POODLE,478175.0,3Y,3 YEARS,,,
A457929,DOG,BLACK,TAN,TERRIER,372074.0,,NO AGE,3Y14-10715,LIC 3Y,AUD
A558202,DOG,TAN,WHITE,HOUND,473120.0,3Y,3 YEARS,L15-0059820,LIC ALTERED,
A603121,DOG,RED,WHITE,COLLIE,518024.0,3Y,3 YEARS,U16-46221,RAB VAC CERT.,
