animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A584133,DOG,TOY,YORKSHIRE TERR,L16-036677,LIC ALTERED,HLP WEB,10.5,2016-02-26 00:00:00,2017-02-25 00:00:00,RENEWED
A571957,DOG,TERRIER,TERRIER,454A28263A,MICROCHIP,HLP IMPORT,0.0,2015-09-23 00:00:00,,CURRENT
A535008,DOG,TERRIER,RAT TERRIER,L17-019936,LIC ALTERED,HLP WEB,10.5,2017-07-15 00:00:00,2018-07-17 00:00:00,CURRENT
A609698,CAT,LONGHAIR,DOMESTIC LH,L17-043171,LIC SR,MAIL,5.0,2017-02-07 00:00:00,2018-01-24 00:00:00,CURRENT
A602083,DOG,TOY,DACHSHUND,,,,,,,
A598068,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-041905,LIC ALTERED,HLP WEB,10.5,2016-08-24 00:00:00,2017-06-29 00:00:00,RENEWED
A601201,DOG,SETTER/RETRIEVE,GOLDEN RETR,985112006360794,MICROCHIP,HLP WEB,0.0,2017-08-15 00:00:00,,CURRENT
A613531,CAT,SHORTHAIR,DOMESTIC SH,4918037B50,MICROCHIP,HOME AGAIN,0.0,2020-03-13 00:00:00,2023-03-13 00:00:00,CURRENT
A570216,DOG,TERRIER,BULL TERRIER,985112006149458,MICROCHIP,HLP WEB,0.0,2015-09-04 00:00:00,,CURRENT
A568490,DOG,SETTER/RETRIEVE,GOLDEN RETR,U16-008423,RABIES CERT,HLP SCAN,,2016-08-02 00:00:00,2017-06-22 00:00:00,CURRENT
A587328,DOG,TERRIER,WEST HIGHLAND,U16-007362,RABIES CERT,HLP IMPORT,,2016-04-15 00:00:00,2019-03-26 00:00:00,CURRENT
A568732,OTHER,MAMMAL,BAT,,,,,,,
A548983,CAT,SHORTHAIR,DOMESTIC SH,985112004469427,MICROCHIP ADO,ADOPT,25.0,2015-01-16 00:00:00,2016-01-16 00:00:00,CURRENT
A605322,DOG,SETTER/RETRIEVE,GOLDEN RETR,985113000301734,MICROCHIP,HLP SCAN,0.0,2016-11-19 00:00:00,,CURRENT
A581752,DOG,MIX,MIX,L15-035295,LIC ALTERED,HLP SCAN,9.0,2016-01-25 00:00:00,2016-09-04 00:00:00,RENEWED
A422347,DOG,HOUND,BLOODHOUND,L15-006973,LIC SR,HLP WEB,5.0,2015-10-06 00:00:00,2016-09-26 00:00:00,RENEWED
A573220,DOG,SETTER/RETRIEVE,LABRADOR RETR,U15-004748,RABIES CERT,HLP SCAN,,2015-10-05 00:00:00,2016-08-15 00:00:00,RENEWED
A501045,DOG,TOY,CHIHUAHUA SH,985112002701007,MICROCHIP ADO,HOME AGAIN,25.0,2015-12-01 00:00:00,2016-12-01 00:00:00,CURRENT
A609246,DOG,SETTER/RETRIEVE,GOLDEN RETR,L16-053177,LIC ALTERED,MAIL,10.0,2017-02-09 00:00:00,2017-12-19 00:00:00,CURRENT
A591890,CAT,SHORTHAIR,DOMESTIC SH,L15-009943,LIC ALTERED,COUNTER,10.0,2016-06-10 00:00:00,2016-07-30 00:00:00,CURRENT
A529362,DOG,MASTIFF,BOXER,U14-001983,RABIES CERT,HLP SCAN,,2014-06-20 00:00:00,2015-05-13 00:00:00,CURRENT
A489513,DOG,MASTIFF,PIT BULL,D14-014532,LIC ALTERED,VET,9.0,2013-04-16 00:00:00,2014-01-21 00:00:00,RENEWED
A561630,DOG,SPANIEL,COCKER SPAN,L16-041545,LIC ALTERED,HLP WEB,10.5,2016-08-07 00:00:00,2017-08-01 00:00:00,RENEWED
A573977,DOG,TOY,YORKSHIRE TERR,L14-019224,LIC ALTERED,VET,9.0,2015-10-14 00:00:00,2015-11-01 00:00:00,CURRENT
A571765,OTHER,REPTILE,SNAKE,,,,,,,
A630609,DOG,TERRIER,AIREDALE TERR,,,,,,,
A574647,CAT,SHORTHAIR,DOMESTIC SH,U15-004900,RABIES CERT,HLP IMPORT,,2015-10-21 00:00:00,2016-09-10 00:00:00,RENEWED
A614895,DOG,MASTIFF,PIT BULL,,,,,,,
A622610,CAT,SHORTHAIR,AMER SH,,,,,,,
A630033,DOG,TERRIER,MIN PINSCHER,L17-048308,LIC ALTERED,COUNTER,10.0,2017-11-08 00:00:00,2018-09-06 00:00:00,CURRENT
A558890,DOG,MASTIFF,BOXER,985112000464060,MICROCHIP,HOME AGAIN,0.0,2018-03-17 00:00:00,2019-03-17 00:00:00,CURRENT
A579299,DOG,MIX,MIX,U17-008937,RABIES CERT,HLP SCAN,,2017-02-22 00:00:00,2018-01-03 00:00:00,CURRENT
A500275,DOG,TERRIER,JACK RUSS TER,L14-057773,LIC ALTERED,HLP SCAN,9.5,2015-02-28 00:00:00,2015-12-05 00:00:00,RENEWED
