animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A618294,DOG,OO,UNKNOWN,MASTIFF,PIT BULL,2017-05-30 00:00:00,WEB,533055.0,,,
A412138,DOG,BR,RED,TOY,YORKSHIRE TERR,2010-05-21 00:00:00,SHELTER,325382.0,D13-005408,LIC UNALTERED,VET
A589832,CAT,BR,BRN TIGER,SHORTHAIR,DOMESTIC SH,2016-06-14 00:00:00,SHELTER,504751.0,,,
A598929,DOG,B,BLACK,COLLIE,AUST SHEPHERD,2016-08-31 00:00:00,LOCKBOX,513843.0,L16-018711,LIC 3Y,HLP SCAN
A584979,DOG,B,BLACK,TOY,MALTESE,2016-03-09 00:00:00,LOCKBOX,499935.0,U16-007006,RABIES CERT,HLP IMPORT
A623458,DOG,OO,UNKNOWN,TERRIER,SCOT TERRIER,2017-08-14 00:00:00,WEB,538188.0,,,
A584889,DOG,BR,TAN,SETTER/RETRIEVE,LABRADOR RETR,2016-03-09 00:00:00,LOCKBOX,499845.0,U16-006878,RABIES CERT,HLP IMPORT
A609071,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2017-01-28 00:00:00,SHELTER,523906.0,L17-0143151VOID,LIC MULTIPLE,COUNTER
A556948,DOG,OO,WHITE,COLLIE,BORDER COLLIE,2015-04-02 00:00:00,SHELTER,471861.0,022302787,MICROCHIP,PET WATCH
A577620,DOG,B,BLACK,MASTIFF,ROTTWEILER,2015-12-04 00:00:00,SHELTER,492572.0,L15-072913,LIC 3Y,COUNTER
A561041,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-05-21 00:00:00,SHELTER,475961.0,L15-012839,LIC ALTERED,MAIL
A631679,DOG,OO,BLACK,HOUND,BEAGLE,2017-12-04 00:00:00,LICENSE,546301.0,L17-027182,LIC ALTERED,VET
A492429,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2013-05-23 00:00:00,SHELTER,407040.0,985112000641618,MICROCHIP,HLP WEB
A584534,DOG,BR,BROWN,MASTIFF,MASTIFF,2016-03-07 00:00:00,LOCKBOX,499493.0,L15-009824,LIC ALTERED,HLP WEB
A582782,DOG,BR,BROWN,SETTER/RETRIEVE,LABRADOR RETR,2016-02-08 00:00:00,SHELTER,497739.0,L17-036019,LIC ALTERED,VET
A617853,DOG,OO,BLACK,COLLIE,BORDER COLLIE,2017-05-24 00:00:00,SHELTER,532612.0,L17-006159,LIC ALTERED,MAIL
A600872,DOG,OO,WHITE,SETTER/RETRIEVE,LABRADOR RETR,2016-09-22 00:00:00,SHELTER,515780.0,L16-003472,LIC ALTERED,VET
A577624,CAT,B,BLK TABBY,SHORTHAIR,DOMESTIC SH,2015-12-04 00:00:00,SHELTER,492576.0,L15-053420,LIC ALTERED,ADOPT
A568741,DOG,W,WHITE,TOY,MALTESE,2015-08-17 00:00:00,SHELTER,483682.0,,,
A590599,CAT,OO,WHITE,LONGHAIR,DOMESTIC MH,2016-05-19 00:00:00,SHELTER,505513.0,L16-011385,LIC 3Y,MAIL
A123959,DOG,OO,WHITE,SPITZ,AMER ESKIMO,2016-06-24 00:00:00,SHELTER,98605.0,D14-005830,LIC SR,VET
A594342,DOG,,,HOUND,BEAGLE,2016-07-11 00:00:00,LOCKBOX,509266.0,982000405506287,MICROCHIP,HLP SCAN
A578752,DOG,BR,TAN,SPANIEL,COCKER SPAN,2015-12-14 00:00:00,SHELTER,493704.0,L17-023237,LIC ALTERED,HLP WEB
A576177,DOG,BR,TAN,SETTER/RETRIEVE,LABRADOR RETR,2015-11-11 00:00:00,SHELTER,491126.0,L15-050075,LIC ALTERED,ADOPT
A612482,DOG,BR,BROWN,POODLE,POODLE MIN,2017-03-08 00:00:00,SHELTER,527246.0,,,
A589976,DOG,B,TRICOLOR,HOUND,BEAGLE,2016-05-11 00:00:00,LOCKBOX,504893.0,L17-037601,LIC ALTERED,HLP SCAN
