animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A269670,DOG,WHITE,TERRIER,PARSON RUSS TER,L16-020717,LIC ALTERED,HLP IMPORT,,4042141,G000372,LOCKBOX
A579391,DOG,,SETTER/RETRIEVE,NEWFOUNDLAND,L15-035310,LIC ALTERED,HLP SCAN,,4389007,G000069,LOCKBOX
A580049,DOG,,MIX,MIX,L17-051561,LIC SR,HLP SCAN,,6578665,G000064,LOCKBOX
A553976,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L15-000826,LIC ALTERED,HLP WEB,,3292796,G000338,LOCKBOX
A574184,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A467999,DOG,,SPANIEL,CAVALIER SPAN,D13-0013749,LIC ALTERED,VET,BARBOUR,TM,G000059,SHELTER
A563403,CAT,,SHORTHAIR,DOMESTIC SH,L14-018567,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A571297,DOG,,TERRIER,TIBETAN TERR,L15-053225,LIC ALTERED,MAIL,SHIVELY,ARL,G000338,SHELTER
A566137,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-004913,LIC UNALTERED,HLP WEB,,3693386,G000082,LOCKBOX
A506533,DOG,,COLLIE,AUST SHEPHERD,L14-057197,LIC ALTERED,MAIL,COUNTRY,ARL,G000340,SHELTER
A566661,OTHER,,MAMMAL,DEER,,,,,,,
A622362,DOG,BLACK,TOY,SHIH TZU,L17-003360,LIC ALTERED,COUNTER,,ARL,G000053,LICENSE
A490867,DOG,,TERRIER,JACK RUSS TER,L15-024024,LIC ALTERED,HLP SCAN,,3550301,G000067,SHELTER
A568822,DOG,BROWN,COLLIE,BORDER COLLIE,L16-014453,LIC ALTERED,COUNTER,,AMC,G000053,SHELTER
A586902,DOG,WHITE,MASTIFF,AMERICAN STAFF,R16-3066,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A572462,DOG,TAN,MASTIFF,PIT BULL,L15-050490,LIC MULTIPLE,COUNTER,HEATHER,,G000372,SHELTER
