animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A484756,DOG,MASTIFF,AM PIT BULL TER,L14-022818,LIC ALTERED,VET,9.0,2014-03-06 00:00:00,2015-02-05 00:00:00,RENEWED
A624604,DOG,TERRIER,WEST HIGHLAND,L17-021101,LIC UNALTERED,HLP WEB,60.5,2017-08-31 00:00:00,2018-07-28 00:00:00,CURRENT
A404452,CAT,SHORTHAIR,DOMESTIC SH,L14-036549,LIC ALTERED,MAIL,9.0,2014-10-21 00:00:00,2015-10-18 00:00:00,RENEWED
A600531,DOG,MASTIFF,PIT BULL,985112007786819,MICROCHIP RTO,HOME AGAIN,25.0,2016-09-27 00:00:00,2017-09-27 00:00:00,CURRENT
A559417,DOG,SHEPHERD,GERM SHEPHERD,L15-012654VOID,LIC ALTERED,HLP SCAN,9.0,2015-05-08 00:00:00,2016-02-03 00:00:00,CURRENT
A630014,DOG,TOY,DACHSHUND,,,,,,,
A585747,DOG,HOUND,BEAGLE,L17-040100,LIC ALTERED,VET,10.0,2017-03-24 00:00:00,2018-02-10 00:00:00,CURRENT
A591010,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-039471,LIC ALTERED,HLP WEB,10.5,2016-05-26 00:00:00,2017-04-26 00:00:00,RENEWED
A632993,DOG,TOY,SHIH TZU,,,,,,,
A569019,DOG,MASTIFF,PIT BULL,985112005219104,MICROCHIP ADO,HOME AGAIN,25.0,2015-10-18 00:00:00,2016-10-18 00:00:00,CURRENT
A590088,DOG,TERRIER,SCHNAUZER STAND,L15-046030,LIC SR,HLP SCAN,5.0,2016-05-11 00:00:00,2016-10-11 00:00:00,RENEWED
A605962,DOG,MASTIFF,PIT BULL,985113000777574,MICROCHIP ADO,HOME AGAIN,25.0,2017-01-20 00:00:00,2018-01-20 00:00:00,CURRENT
A555058,DOG,TOY,PUG,U15-001077,RABIES CERT,HLP IMPORT,,2015-03-16 00:00:00,2016-02-05 00:00:00,CURRENT
A615764,DOG,TOY,CHIHUAHUA SH,L16-023305,LIC ALTERED,VET,10.0,2017-04-21 00:00:00,2017-10-30 00:00:00,CURRENT
A603531,DOG,TOY,DACHSHUND,RAB9573832,RABIES CERT,VET,0.0,2016-11-03 00:00:00,2016-09-21 00:00:00,CURRENT
A611900,DOG,MASTIFF,BOXER,L17-026469,LIC UNALTERED,COUNTER,60.0,2017-03-20 00:00:00,2018-03-03 00:00:00,CURRENT
A579350,DOG,SETTER/RETRIEVE,GOLDEN RETR,L15-026723,LIC ALTERED,HLP SCAN,9.0,2015-12-20 00:00:00,2016-02-28 00:00:00,RENEWED
A550154,DOG,,,U15-000414,RABIES CERT,HLP SCAN,,2015-01-09 00:00:00,2015-11-05 00:00:00,CURRENT
A611560,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A628091,CAT,SHORTHAIR,DOMESTIC SH,985113001194290,MICROCHIP ADO,HOME AGAIN,25.0,2017-10-22 00:00:00,2018-10-22 00:00:00,CURRENT
A575648,DOG,MASTIFF,STAFFORDSHIRE,L15-007646,LIC ALTERED,HLP WEB,9.5,2015-11-02 00:00:00,2016-10-06 00:00:00,CURRENT
A558936,DOG,SPITZ,SIBERIAN HUSKY,985112005211874,MICROCHIP ADO,HOME AGAIN,25.0,2015-05-20 00:00:00,2016-05-20 00:00:00,CURRENT
A582848,DOG,SETTER/RETRIEVE,LABRADOR RETR,4666366837,MICROCHIP,HLP WEB,0.0,2016-02-09 00:00:00,,CURRENT
A534558,CAT,SHORTHAIR,DOMESTIC SH,L14-013268,LIC ALTERED,ADOPT,9.0,2014-10-08 00:00:00,2015-09-10 00:00:00,CURRENT
A561910,DOG,HOUND,PLOTT HOUND,R15-2178,RAB VAC CERT.,RESQ,0.0,2015-06-04 00:00:00,2016-06-04 00:00:00,CURRENT
A408215,DOG,HOUND,BEAGLE,3Y15-08640,LIC 3Y,VET,24.0,2013-09-28 00:00:00,2015-05-12 00:00:00,RENEWED
A551299,CAT,SHORTHAIR,DOMESTIC SH,U15-000447,RABIES CERT,HLP SCAN,,2015-01-27 00:00:00,2015-12-17 00:00:00,CURRENT
A630109,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A509125,DOG,POINTER,POINTER,D14-002839,LIC ALTERED,VET,9.0,2013-10-26 00:00:00,2014-03-14 00:00:00,RENEWED
A585525,DOG,HOUND,BEAGLE,L17-017351,LIC SR,HLP WEB,5.5,2017-04-06 00:00:00,2018-04-06 00:00:00,CURRENT
A555537,DOG,MASTIFF,AMERICAN STAFF,L15-001095,LIC ALTERED,HLP WEB,9.5,2015-03-08 00:00:00,2016-01-19 00:00:00,RENEWED
A254596,DOG,TOY,SHIH TZU,D09-052679,LIC ALTERED,,9.0,2009-01-27 00:00:00,2009-11-18 00:00:00,RENEWED
A572436,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A227067,DOG,HOUND,BEAGLE,3Y12-006874,LIC 3Y,,24.0,2010-01-04 00:00:00,2012-11-16 00:00:00,RENEWED
A565147,DOG,SETTER/RETRIEVE,GOLDEN RETR,L15-004532,LIC ALTERED,HLP WEB,9.5,2015-07-02 00:00:00,2016-06-08 00:00:00,CURRENT
A608920,DOG,MASTIFF,AMERICAN STAFF,L17-023567,LIC ALTERED,HLP WEB,10.5,2017-12-26 00:00:00,2018-12-31 00:00:00,CURRENT
A613408,DOG,TOY,PEKINGESE,L16-013275,LIC ALTERED,VET,10.0,2017-03-23 00:00:00,2017-03-24 00:00:00,CURRENT
A507517,DOG,MASTIFF,AMER BULLDOG,R14-1287,RAB VAC CERT.,ADOPT,0.0,2014-05-24 00:00:00,2015-04-02 00:00:00,CURRENT
A624627,OTHER,REPTILE,TURTLE,,,,,,,
A632557,CAT,SHORTHAIR,DOMESTIC SH,U17-009723,RABIES CERT,HLP SCAN,,2017-12-19 00:00:00,2018-11-14 00:00:00,CURRENT
A551577,DOG,TOY,CHIHUAHUA SH,L15-000293,LIC ALTERED,COUNTER,9.0,2015-01-29 00:00:00,2016-01-29 00:00:00,CURRENT
A622184,DOG,POODLE,POODLE MIN,,,,,,,
A554776,DOG,TOY,CHIHUAHUA SH,L16-057184,LIC ALTERED,HLP SCAN,10.0,2016-05-11 00:00:00,2017-03-18 00:00:00,RENEWED
A607796,DOG,HOUND,BEAGLE,L17-026018,LIC UNALTERED,COUNTER,60.0,2017-03-11 00:00:00,2018-02-24 00:00:00,CURRENT
A607632,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A623875,DOG,SETTER/RETRIEVE,LABRADOR RETR,L17-010310,LIC ALTERED,HLP SCAN,10.0,2017-08-18 00:00:00,2018-03-20 00:00:00,CURRENT
A605798,DOG,SHEPHERD,GERM SHEPHERD,L16-033082,LIC 3Y,VET,27.0,2016-11-30 00:00:00,2019-06-24 00:00:00,RENEWED
A569905,DOG,TERRIER,SCHNAUZER GIANT,L15-016511,LIC ALTERED,VET,9.0,2015-09-01 00:00:00,2016-01-09 00:00:00,RENEWED
A573826,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A619239,DOG,MASTIFF,PIT BULL,L17-006628,LIC UNALTERED,COUNTER,60.0,2017-06-05 00:00:00,2018-02-11 00:00:00,CURRENT
A569366,CAT,SHORTHAIR,SIAMESE,L15-019206,LIC ALTERED,VET,9.0,2015-08-25 00:00:00,2016-05-27 00:00:00,CURRENT
A558084,DOG,SETTER/RETRIEVE,LABRADOR RETR,4A0F5E3119,MICROCHIP,HLP WEB,0.0,2015-04-18 00:00:00,,CURRENT
A552825,DOG,SETTER/RETRIEVE,GOLDEN RETR,L16-017492,LIC SR,MAIL,5.0,2016-07-26 00:00:00,2017-07-21 00:00:00,RENEWED
A503301,DOG,POODLE,POODLE MIN,L16-022580,LIC ALTERED,HLP SCAN,10.0,2017-02-13 00:00:00,2017-10-01 00:00:00,CURRENT
A633143,DOG,COLLIE,AUST CATTLE DOG,,,,,,,
A615736,DOG,SHEPHERD,GERM SHEPHERD,L17-041036,LIC ALTERED,VET,10.0,2017-04-21 00:00:00,2018-03-08 00:00:00,CURRENT
A520668,DOG,COLLIE,SHETLD SHEEPDOG,L15-043568,LIC ALTERED,HLP SCAN,9.5,2015-02-13 00:00:00,2016-01-17 00:00:00,RENEWED
A622659,DOG,TERRIER,CAIRN TERRIER,985113001063862,MICROCHIP RTO,HOME AGAIN,25.0,2018-08-05 00:00:00,2019-08-05 00:00:00,CURRENT
A575024,DOG,SETTER/RETRIEVE,LABRADOR RETR,985112006515294,MICROCHIPSPOT,HOME AGAIN,15.0,2015-10-24 00:00:00,2016-10-24 00:00:00,CURRENT
A581885,DOG,TERRIER,JACK RUSS TER,985112006925837,MICROCHIP ADO,HOME AGAIN,25.0,2016-01-31 00:00:00,2017-01-31 00:00:00,CURRENT
A552234,CAT,SHORTHAIR,DOMESTIC SH,U15-104187,RAB VAC CERT.,VET,0.0,2015-02-04 00:00:00,2016-01-06 00:00:00,CURRENT
A623510,DOG,MASTIFF,PIT BULL,L17-046597,LIC ALTERED,COUNTER,10.0,2017-08-15 00:00:00,2018-04-20 00:00:00,CURRENT
A551136,DOG,TOY,SHIH TZU,,,,,,,
A577986,CAT,SHORTHAIR,DOMESTIC SH,L15-019499,LIC ALTERED,VET,9.0,2015-12-09 00:00:00,2016-02-06 00:00:00,CURRENT
A550354,DOG,SETTER/RETRIEVE,LABRADOR RETR,L17-015400,LIC SR,COUNTER,5.0,2018-01-27 00:00:00,2018-01-28 00:00:00,CURRENT
A472259,DOG,COLLIE,AUST CATTLE DOG,D14-049306,LIC ALTERED,COUNTER,9.0,2013-08-12 00:00:00,2014-08-03 00:00:00,RENEWED
A558849,DOG,COLLIE,BORDER COLLIE,985112004692594,MICROCHIP ADO,HOME AGAIN,25.0,2015-05-06 00:00:00,2016-05-06 00:00:00,CURRENT
A286382,DOG,COLLIE,BORDER COLLIE,L14-005717,LIC ALTERED,HLP SCAN,9.5,2015-01-20 00:00:00,2015-11-21 00:00:00,RENEWED
A595701,DOG,TERRIER,MIN PINSCHER,L16-017308,LIC ALTERED,COUNTER,10.0,2016-08-02 00:00:00,2017-08-02 00:00:00,CURRENT
A577955,DOG,COLLIE,BORDER COLLIE,985112005225305,MICROCHIP,HOME AGAIN,0.0,2015-12-08 00:00:00,2016-12-08 00:00:00,CURRENT
A615629,DOG,TERRIER,SC WHEAT TERR,U17-46728,RAB VAC CERT.,VET,0.0,2017-04-19 00:00:00,2018-03-22 00:00:00,CURRENT
A555633,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-002314,LIC ALTERED,HLP SCAN,10.0,2016-09-01 00:00:00,2017-07-15 00:00:00,RENEWED
A609058,DOG,HOUND,BEAGLE,L17-026410,LIC UNALTERED,COUNTER,60.0,2017-03-14 00:00:00,2018-03-14 00:00:00,CURRENT
A590176,DOG,TERRIER,MIN PINSCHER,467D555F7D,MICROCHIP,HLP SCAN,0.0,2016-05-11 00:00:00,,CURRENT
A215253,DOG,SETTER/RETRIEVE,ENG SETTER,D12-016614,LIC ALTERED,VET,9.0,2012-05-08 00:00:00,2012-09-20 00:00:00,RENEWED
A530328,CAT,SHORTHAIR,DOMESTIC SH,L14-015374,LIC MULTIPLE,COUNTER,7.0,2014-06-27 00:00:00,2015-06-27 00:00:00,RENEWED
A617013,DOG,TOY,BOSTON TERRIER,,,,,,,
A551648,DOG,SETTER/RETRIEVE,LABRADOR RETR,986112005777625,MICROCHIP,HLP WEB,0.0,2015-12-21 00:00:00,,CURRENT
A594679,DOG,MASTIFF,PIT BULL,,,,,,,
A628836,CAT,LONGHAIR,DOMESTIC MH,985113001276024,MICROCHIP ADO,HOME AGAIN,25.0,2017-11-11 00:00:00,2018-11-11 00:00:00,CURRENT
A602864,DOG,TERRIER,JACK RUSS TER,L16-004249,LIC ALTERED,VET,10.0,2016-10-26 00:00:00,2017-08-25 00:00:00,RENEWED
A626858,DOG,MIX,MIX,L17-013674,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-07-07 00:00:00,CURRENT
A582231,DOG,SHEPHERD,GERM SHEPHERD,L17-014002,LIC ALTERED,VET,10.0,2017-04-13 00:00:00,2018-03-02 00:00:00,CURRENT
A586464,DOG,SETTER/RETRIEVE,LABRADOR RETR,,,,,,,
A621083,DOG,SETTER/RETRIEVE,FLAT COAT RETR,,,,,,,
A617269,DOG,HOUND,BEAGLE,,,,,,,
A514063,DOG,COLLIE,COLLIE ROUGH,L16-040723,LIC 3Y,HLP WEB,27.5,2016-07-10 00:00:00,2019-06-08 00:00:00,CURRENT
A561286,DOG,TOY,DACHSHUND,L14-027232,LIC ALTERED,HLP SCAN,9.0,2015-05-21 00:00:00,2015-11-06 00:00:00,TEMPORARY
A559771,DOG,TOY,LHASA APSO,RAB8724529,RABIES CERT,VET,0.0,2016-11-02 00:00:00,2016-08-20 00:00:00,CURRENT
A551656,DOG,,,U15-000580,RABIES CERT,HLP SCAN,,2015-01-29 00:00:00,2015-12-18 00:00:00,CURRENT
A542437,CAT,SHORTHAIR,DOMESTIC SH,L14-006158,LIC ALTERED,ADOPT,9.0,2014-12-28 00:00:00,2015-11-23 00:00:00,CURRENT
A195257,DOG,SPITZ,SIBERIAN HUSKY,L15-008817,LIC ALTERED,HLP WEB,9.5,2015-12-19 00:00:00,2016-11-10 00:00:00,DEAD
A628723,CAT,SHORTHAIR,DOMESTIC SH,L17-009979,LIC ALTERED,ADOPT,10.0,2017-10-28 00:00:00,2018-10-25 00:00:00,CURRENT
