"ï»¿""Species""",EspÃ¨ces,Infection,Infection.1,Date Confirmed/Date de confirmation,Location,Lieu,Animal type infected,Type d'animal infectÃ©,Scientific Name,Nom scientifique,Note,Note.1
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2018-07-04,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2018-06-07,Nova Scotia,Nouvelle-Ãcosse,Brook trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-11-21,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-11-09,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-10-03,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-09-11,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-08-30,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-08-28,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-08-24,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-07-27,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-07-24,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-06-20,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-06-20,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-05-03,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-05-02,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-03-26,Nova Scotia,Nouvelle-Ãcosse,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-03-13,Nova Scotia,Nouvelle-Ãcosse,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-03-09,Nova Scotia,Nouvelle-Ãcosse,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-02-13,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2018-12-05,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious haematopoietic necrosis,Infectious haematopoietic necrosis,2018-05-07,British Columbia,Colombie-Britannique,Chum salmon,Saunmon kÃ©ta,Oncorhynchus keta,Oncorhynchus keta,,
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2018-10-09,British Columbia,Colombie-Britannique,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2018-09-24,British Columbia,Colombie-Britannique,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2018-08-27,Alberta,Alberta,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2018-08-02,British Columbia,Colombie-Britannique,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2018-07-12,Pacific Ocean,OcÃ©an Pacifique,Pacific herring,Hareng du Pacifique,Clupea pallasii,Clupea pallasii,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2018-03-05,Alberta,Alberta,Brown trout,Truite brune,Salmo trutta,Salmo trutta,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2018-03-05,Alberta,Alberta,Brook trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2017-06-08,New Brunswick,Nouveau-Brunswick,Brook trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-11-28,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-10-31,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-10-13,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-06-29,Nova Scotia,Nouvelle-Ãcosse,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-06-09,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-05-19,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-05-05,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-04-25,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-04-25,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-04-04,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-03-13,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-02-10,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-01-31,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-01-31,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-01-24,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2017-12-09,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2017-08-14,British Columbia,Colombie-Britannique,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-07-11,Pacific Ocean,OcÃ©an Pacifique,North Pacific hake,Merlu du Pacifique nord,Merluccius productus,Merluccius productus,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-05-26,Ontario,Ontario,American gizzard shad,Alose Ã  gÃ©sier,Dorosoma cepedianum,Dorosoma cepedianum,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-05-26,Ontario,Ontario,American yellow perch,Perchaude,Perca flavescens,Perca flavescens,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-05-26,Ontario,Ontario,Largemouth black bass,Achigan Ã  grande bouche,Micropterus salmoides,Micropterus salmoides,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-05-26,Ontario,Ontario,Pumpkinseed,Crapet-soleil,Lepomis gibbosus,Lepomis gibbosus,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-01-20,Quebec,QuÃ©bec,Atlantic herring,Hareng de l'Atlantique,Clupea harengus ,Clupea harengus ,,
Finfish,Poissons,Viral haemorrhagic septicaemia,SepticÃ©mie hÃ©morragique virale,2017-01-20,Atlantic Ocean South,Sud de l'OcÃ©an Atlantique,Atlantic herring,Hareng de l'Atlantique,Clupea harengus,Clupea harengus,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-09-29,Alberta,Alberta,Rocky-mountain whitefish,Poisson blanc des Rocheuses,Prosopium williamsoni,Prosopium williamsoni,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-06-13,Alberta,Alberta,Brown trout,Truite brune,Salmo trutta,Salmo trutta,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-06-13,Alberta,Alberta,Brook trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-04-04,Alberta,Alberta,Brown trout,Truite brune,Salmo trutta,Salmo trutta,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-04-04,Alberta,Alberta,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Whirling disease (Myxobolus cerebralis),Tournis des truites (Myxobolus cerebralis),2017-04-04,Alberta,Alberta,Rocky-mountain whitefish,Poisson blanc des Rocheuses,Prosopium williamsoni,Prosopium williamsoni,,
Molluscs,Mollusques,Haplosporidium nelsoni,Haplosporidium nelsoni,2016-05-03,Nova Scotia,Nouvelle-Ãcosse,American oyster,HuÃ®tre amÃ©ricaine,Crassostrea virginica,Crassostrea virginica,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2016-01-06,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2016-12-09,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
