Taxonomic_Serial_Numbers,Scientific_Names,English_Names,French_Names,Family_Scientific_Names,English_Species_Risk_Groups,French_Species_Risk_Groups
163666,Abramis brama,Common Bream,Brème Commune,Cyprinidae,,
163666,Abramis brama,Bream,Brème,Cyprinidae,,
172451,Acanthocybium solandri,Wahoo,Thazard,Scombridae,Subject to Histamine,Sujet à la production d'histamine
172451,Acanthocybium solandri,Wahoo,Thazard,Scombridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
171882,Acanthogobius flavimanus,Goby,Gobie,Gobiidae,,
95897,Acetes chinensis,Northern Mauxia Shrimp,Chevrette mauxia nordique,Sergestidae,,
95899,Acetes indicus,Shrimp,Crevette,Sergestidae,,
161066,Acipenser baerii,Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161069,Acipenser brevirostrum,Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161069,Acipenser brevirostrum,Shortnose Sturgeon,Esturgeon à museau court,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161071,Acipenser fulvescens,Sturgeon,Esturgeon Jaune,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161071,Acipenser fulvescens,Lake Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161073,Acipenser gueldenstaedtii,Osetr,,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161073,Acipenser gueldenstaedtii,Russian Sturgeon,,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161073,Acipenser gueldenstaedtii,Danube Sturgeon,Esturgeon Du Danube,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161067,Acipenser medirostris,Sturgeon,Esturgeon Vert,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161067,Acipenser medirostris,Green Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
553269,Acipenser oxyrinchus,,Esturgeon Noir D'amérique,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
553269,Acipenser oxyrinchus,Sturgeon,Esturgeon Noir,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
553269,Acipenser oxyrinchus,Atlantic Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161072,Acipenser sturio,European Sturgeon,,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161072,Acipenser sturio,Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161068,Acipenser transmontanus,Sturgeon,Esturgeon,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
161068,Acipenser transmontanus,White Sturgeon,Esturgeon Blanc,Acipenseridae,Subject to Environmental Contaminants,Sujet aux contaminants environmentaux
158337,Actinopyga mauritiana,,Holothurie,Holothuriidae,,
158337,Actinopyga mauritiana,White Spotted Sea Cucumber,Concombre De Mer,Holothuriidae,,
