Data_Field_EN_Champ_de_la_donnée,Data_Field_FR_Champ_de_la_donnée,Data_Value_Valeur_de_la_donnée,Value_Description_EN_Description_de_la_valeur,Value_Description_FR_Description_de_la_valeur
Park,Parc,GNP,Glacier National Park,Parc national des glaciers
Park,Parc,MRNP,Mount Revelstoke National Park,Parc national du mont Revelstoke
Ecoregion,Écorégion,Upper Subalpine,Upper Subalpine,Subalpine supérieure
Ecoregion,Écorégion,Alpine,Alpine,Alpine
Ecoregion,Écorégion,Lower Subalpine,Lower Subalpine,Subalpine inférieur
Ecoregion,Écorégion,Interior Cedar-hemlock,Interior Cedar-hemlock,l'écozone intérieure du thuya et de la pruche
Sky Condition,Condition du ciel,Scattered,Partially cloudy; 2/8 to 4/8 of the sky is covered with clouds,Partiellement couvert; de 2/8 à 4/8 du ciel est couvert de nuages
Sky Condition,Condition du ciel,Clear,No clouds,Aucun nuage
Sky Condition,Condition du ciel,Broken,Cloudy; more than half but not all of the sky is covered with clouds ( more than 4/8 but less than 8/8 cover).,"Nuageux; plus de la moitié du ciel, mais pas la totalité, est couverte de nuages (couvert de plus de 4/8 mais de moins de 8/8)."
Sky Condition,Condition du ciel,Overcast,The sky is completely covered (8/8 cover).,Le ciel est complètement couvert (couvert de 8/8).
Sky Condition,Condition du ciel,Partly Cloudy,Few clouds; less than 2/8 of the sky is covered with clouds.,Peu de nuages; moins de 2/8 du ciel est couvert de nuages.
Sky Condition,Condition du ciel,Mostly Overcast,Cloudy; more than half but not all of the sky is covered with clouds ( more than 4/8 but less than 8/8 cover).,"Couvert; Plus de la moitié du ciel, mais pas la totalité, est couverte de nuages (couvert de plus de 4/8 mais de moins de 8/8)."
Sky Condition,Condition du ciel,25% cloud,25% of the sky is covered with clouds,25 % du ciel est couvert de nuages
Sky Condition,Condition du ciel,75% cloud,75% of the sky is covered with clouds,75 % du ciel est couvert de nuages
