County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Nassau,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,S2B,G5
Cattaraugus,Animal,Fish,"Minnows, Shiners, Suckers",Erimystax x-punctatus,Gravel Chub,SH,G4
Westchester,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Eupatorium pubescens,Serrate Round-leaf Boneset,S1,G5T5
Steuben,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,S5,G5
Monroe,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,S5B,G5
Onondaga,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Niagara,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,S3,G4
St. Lawrence,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,S5B,G5
Erie,Plant,Flowering Plants,Grasses,Poa sylvestris,Forest Blue Grass,S1,G5
Herkimer,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,"S3S4B,S3N",G5
Ontario,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Franklin,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,S3B,G5
Cattaraugus,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,S5B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Rubus chamaemorus,Cloudberry,SX,G5
Wyoming,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,S1,G2G3
Broome,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,S5B,G5
Suffolk,Plant,Flowering Plants,Sedges,Rhynchospora nitens,Short-beaked Beak Sedge,S2,G4?
Niagara,Plant,Flowering Plants,Other Flowering Plants,Draba arabisans,Rock Whitlow Grass,S2,G4
Greene,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Ontario,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,SH,G5
Tioga,Plant,Flowering Plants,Grasses,Dichanthelium scoparium,Velvet Panic Grass,S1,G5
Albany,Plant,Flowering Plants,Other Flowering Plants,Eriocaulon parkeri,Estuary Hatpins,SX,G3
Schuyler,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,SNA,G5
Orange,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,S3,G5
Chemung,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,S5B,G5
Franklin,Animal,Birds,Shrikes,Lanius ludovicianus,Loggerhead Shrike,S1B,G4
Nassau,Plant,Flowering Plants,Other Flowering Plants,Ranunculus pusillus,Spearwort,SX,G5
Orange,Animal,Butterflies and Moths,Moths,Hemileuca maia maia,Inland Barrens Buckmoth,S1S2,G5T5
Ulster,Plant,Flowering Plants,Sedges,Carex reznicekii,Reznicek's Sedge,S1S2,G5
Oswego,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,S5B,G5
Saratoga,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Kings,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Egretta caerulea,Little Blue Heron,S2,G5
