PlaceRef,PropDesc,RateableVal,AccountName,LiabStart,PropAddress1,PropAddress2,PropAddress3,PropAddress4,PropAddress5,PropPostCode,Address1,Address2,Address3,Address4,Address5,PostCode,MandRlfCd,DiscRlfCd,AddRlfCd,MandRlf,DiscRlf,AdditionalRlf,SBRRlf,TRDisc/SSBCd,TRDisc/SSBAmt
3983019009,OFFICES CAR SPACE AND PREMISES,60000,NATIONAL OFFENDER MANAGEMENT SERVICE (NORTH),01/04/1990,19-37 HIGH STREET,STOCKPORT,,,,SK1 1EG,NATIONAL OFFENDER MANAGEMENT SERVICES,C/O CUSHMAN & WAKEFIELD,NATIONAL RATING TEAM,1 COLMORE SQUARE,BIRMINGHAM,B4 6AJ,,,,0.0,0.0,0.0,0.0,,0.0
2857001649,CAR PARKING SPACES,4000,LIGHTHOUSE GROUP PLC T/A LIGHTHOUSE CARR,25/04/2017,CAR SPACES (10),APPLICON/HIGHBANK HOUSE,EXCHANGE STREET,DAW BANK,STOCKPORT,SK3 0EY,FOA - FINANCE DEPARTMENT,LIGHTHOUSE GROUP PLC,FAIRWAY HOUSE,1 HUNNS MERE WAY,BRIGHTON,BN2 6AH,,,,0.0,0.0,0.0,0.0,,0.0
2857011019,OFFICES AND PREMISES,45250,LIGHTHOUSE GROUP PLC T/A LIGHTHOUSE CARR,26/01/2010,3RD FLOOR,HIGHBANK HOUSE,EXCHANGE STREET,DAW BANK,STOCKPORT,SK3 0ET,FOA - FINANCE DEPARTMENT,LIGHTHOUSE GROUP PLC,FAIRWAY HOUSE,1 HUNNS MERE WAY,BRIGHTON,BN2 6AH,,,,0.0,0.0,0.0,0.0,,0.0
8358002729,CAR PARKING SPACE,500,WEEN SEMICONDUCTORS (UK) LTD,01/05/2019,CAR SPACE 4,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,0.0,,0.0
8358002749,CAR PARKING SPACE,500,WEEN SEMICONDUCTORS (UK) LTD,01/05/2019,CAR SPACE 5,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,0.0,,0.0
8358002889,OFFICE AND PREMISES,7400,WEEN SEMICONDUCTORS (UK) LTD,01/05/2019,SUITE D PT 6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,0.0,,0.0
8358002919,OFFICE AND PREMISES,1700,WEEN SEMICONDUCTORS (UK) LTD,01/05/2019,SUITE G PT 6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,6TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,0.0,,0.0
8358002369,CAR PARKING SPACE,500,RUSH INSURANCE SERVICES LTD,01/11/2018,CAR SPACE 36,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,PART 8TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,0.0,,0.0
8358003019,OFFICES AND PREMISES,5600,RUSH INSURANCE SERVICES LTD,02/01/2018,SUITE D PART 8TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,,SK4 1AH,SUITE D,PART 8TH FLOOR,BECKWITH HOUSE,1 WELLINGTON ROAD NORTH,STOCKPORT,SK4 1AH,,,,0.0,0.0,0.0,2794.4,,0.0
8853040009,WAREHOUSE OFFICES AND PREMISES,86500,GENERAL HEALTHCARE GROUP T/A B M I HEALTHCARE,02/06/2003,UNIT E,STOCKPORT TRADING ESTATE,YEW STREET,BRINKSWAY,STOCKPORT,SK4 2JZ,BMI BUSINESS SERVICES,DIRECT DEBIT PAYMENT TEAM,ALEXANDER HOSPITAL,10 EDEN PLACE,CHEADLE,SK8 1AT,,,,0.0,0.0,0.0,0.0,,0.0
