Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,New York,Physical Activity,"Parks, Recreation and Trails",Community,Governors Council on Physical Fitness,LEG,034PRT
2009,1,New York,Nutrition,Appropriations,Community,Additional Taxes,LEG,002APP
2009,1,Washington,Obesity,Appropriations,School/After School,Supplemental Transportation Appropriations,LEG,002APP
2011,1,California,Physical Activity,Public Transportation,Community,Low-Income Housing Tax Credit Programs,REG,040TRS
2009,1,Illinois,Obesity,Food Restrictions,Community,Fiscal Year 2010 Budget,LEG,020FOR
2009,1,Florida,Obesity,Appropriations,Work Place,Healthy and Fit Florida Act,LEG,002APP
2005,1,Vermont,Obesity,Food Restrictions,School/After School,Vermont Products,LEG,020FOR
2011,1,Idaho,Obesity,Appropriations,Community,Encroachments,LEG,002APP
2015,1,New York,Obesity,Access to Drinking Water,Community,Sweetened Beverage Tax Law,LEG,014ADW
2010,1,New Jersey,Obesity,Appropriations,Community,Crosswalks,LEG,002APP
2009,1,Ohio,Nutrition,Agriculture and Farming,School/After School,Healthy Farms and Healthy Schools Grant Program,LEG,017AGF
2009,1,Massachusetts,Obesity,Body Mass Index (BMI),Community,Land Use,LEG,006BMI
2013,1,Montana,Nutrition,Appropriations,Community,An Act Clarifying Funding Recipients of the Montana Food and Agricultural Development Program,LEG,002APP
2009,1,Connecticut,Obesity,Appropriations,Community,Preservation and Development,LEG,002APP
2011,1,Montana,Nutrition,Correctional Facilities Farms Programs,Medical and/or Hospital,Healthy Choices by Medicaid Recipients,LEG,018CFP
2010,1,Arkansas,Obesity,Appropriations,Community,Disaster Program Policy and Procedure Manual,REG,002APP
2011,1,Hawaii,Nutrition,Agriculture and Farming,Community,"Kalo, Taro Farms, School Meals",LEG,017AGF
2011,1,Connecticut,Nutrition,Appropriations,Work Place,Employees Who Breastfeed Or Express Breast Milk,LEG,002APP
2010,1,Maryland,Nutrition,Breastfeeding,Community,Local Agency,REG,007BFD
2011,1,Mississippi,Obesity,Health Insurance Coverage,Community,Medicaid,LEG,028HIC
2010,1,Tennessee,Physical Activity,Task Forces/Councils,School/After School,Education,LEG,047TFC
