LocationDesc,HealthTopic,PolicyTopic,Title,Status,GeoLocation,DisplayOrder,PolicyTypeID
Oregon,Nutrition,Media Campaigns,Healthy Lifestyles for Children,Dead,"(44.567449424, -120.155031326)",19,LEG
Florida,Nutrition,Food Security,Public Food Service Establishments,Dead,"(28.932040377, -81.928960539)",14,LEG
Ohio,Nutrition,Healthier Food Retail and Food Deserts,Nutritional Standards,Dead,"(40.060210141, -82.404260056)",12,LEG
Maine,Nutrition,Trans Fats,Tax Increment Financing,Enacted,"(45.254228894001, -68.985031336)",24,LEG
New York,Nutrition,Task Forces/Councils,"Task Force on Improving Urban and Rural Consumer Access to Locally Produced, Healthy Foods",Introduced,"(42.827001032, -75.543970427)",23,LEG
Hawaii,Nutrition,Access to Healthy Foods,Aspartame,Dead,"(21.304850435, -157.857749403)",1,LEG
New Jersey,Physical Activity,Public Safety,Local Redevelopment,Dead,"(40.130570048, -74.273691288)",62,LEG
Tennessee,Obesity,Appropriations,Traffic Safety,Dead,"(35.68094058, -85.774490914)",28,LEG
Texas,Nutrition,Nutrition Standards,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",6,LEG
Oregon,Obesity,Appropriations,Rural Airports,Dead,"(44.567449424, -120.155031326)",28,LEG
Texas,Physical Activity,Pedestrians/Walking,Housing Tax Credit Program Qualified Allocation Plan,Enacted,"(31.827240407, -99.426770206)",69,REG
Missouri,Nutrition,Access to Healthy Foods,Sewer Service Lines Failure Repair Fee,Dead,"(38.635790776, -92.566300053)",1,LEG
New York,Physical Activity,Pedestrians/Walking,Objects Or Purposes for Which Certain Bonds Were Issued,Enacted,"(42.827001032, -75.543970427)",69,LEG
California,Physical Activity,Safe Routes to Schools,An Act Relating to Transportation<br>,Dead,"(37.638640123, -120.999999538)",64,LEG
District of Columbia,Nutrition,Appropriations,Supermarket Tax Abatement,Enacted,"(38.890371385, -77.031961127)",2,LEG
New York,Physical Activity,Bicycling,Three Foot Buffer Zone,Dead,"(42.827001032, -75.543970427)",50,LEG
California,Physical Activity,Pedestrians/Walking,Extending Suspension Date of Additional Grant,Enacted,"(37.638640123, -120.999999538)",69,REG
Washington,Nutrition,Incentives,Property Tax Exemption,Enacted,"(47.522278629, -120.47001079)",17,LEG
Wyoming,Nutrition,Agriculture and Farming,Potential to Create More Jobs through Agribusiness,Introduced,"(43.235541343, -108.109830353)",10,LEG
Alaska,Nutrition,Medical Care,Joe Williams Coastal Trail,Enacted,"(64.845079957001, -147.722059036)",16,LEG
Hawaii,Physical Activity,Bicycling,Electric Personal Assistive Mobility Devices,Dead,"(21.304850435, -157.857749403)",50,LEG
Michigan,Obesity,Appropriations,Transportation Infrastructure Options,Enacted,"(44.661319543001, -84.71439027)",28,LEG
Nevada,Nutrition,Appropriations,APPROPRIATIONSâSCHOOL BUILDINGS AND GROUNDSâGARDENS,Enacted,"(39.49324039, -117.071840564)",2,LEG
California,Obesity,Access to Drinking Water,California Fitness Month,Enacted,"(37.638640123, -120.999999538)",33,LEG
