Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
441990,"Finegood, Diane T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200405
344913,"Ruth, Thomas J",CO,Co-Investigator,Co-chercheur,ABBI,"TRIUMF (Vancouver, BC)",British Columbia,Colombie-Britannique,Canada,Canada,200405
344913,"Stoessl, A. Jonathan",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
344913,"Holden, James (Jim) E",CO,Co-Investigator,Co-chercheur,SXAA,University of Wisconsin,Wisconsin,Wisconsin,United States,États-Unis,200405
344913,"Doudet, Doris J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
438974,"Stoessl, A. Jonathan",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
314747,"Branton, Philip E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
747227,"Goodale, Melvyn A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
451248,"Singh, Bhagirath",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
750536,"Vilis, Tutis",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
792384,"McManus, Bruce M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
792384,"Yang, Decheng",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Calne, Donald B",CO,Co-Investigator,Co-chercheur,AATM,University Hospital (U.B.C.),British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Ruth, Thomas J",CO,Co-Investigator,Co-chercheur,ABBI,"TRIUMF (Vancouver, BC)",British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Stoessl, A. Jonathan",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Schulzer, Michael",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Tsui, Joseph K",CO,Co-Investigator,Co-chercheur,ISAS,Vancouver Hospital & Health Sciences Centre,British Columbia,Colombie-Britannique,Canada,Canada,200405
900730,"Lee, Chong S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
31568,"Clarke, David M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
987526,"Lemire, Bernard D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
655962,"Weiner, Joel H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
993660,"Hart, David A",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200405
993660,"Frank, Cyril B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
993660,"Shrive, Nigel G",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200405
993660,"Ronsky, Janet L",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200405
648968,"O'Brodovich, Hugh M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,ADVF,"Stanford Medical Center (Stanford, California)",California,Californie,United States,États-Unis,200405
944378,"Tanswell, A. K",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200405
604981,"Post, Martin",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200405
732889,"Post, Martin",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200405
271354,"McQueen, Matthew J",CO,Co-Investigator,Co-chercheur,INYK,Hamilton Health Sciences (Ontario),Ontario,Ontario,Canada,Canada,200405
271354,"Liu, Peter P",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200405
271354,"Genest, Jacques Jr.",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
271354,"Arnold, J. Malcolm O",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
271354,"Yusuf, Salim",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200405
271354,"Lonn, Eva",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200405
271354,"Pogue, Janice M",CO,Co-Investigator,Co-chercheur,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
271354,"Title, Lawrence M",CO,Co-Investigator,Co-chercheur,AEIC,Queen Elizabeth II Health Sciences Centre (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200405
271354,"Eikelboom, John W",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200405
861368,"Casey, Joseph (Joe) R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
927788,"Reithmeier, Reinhart A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
146183,"Challis, John R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,AANU,University of Western Australia (Nedlands),Unknown/Inconnu,Unknown/Inconnu,Australia,l'Australie,200405
146183,"Hill, David J",CO,Co-Investigator,Co-chercheur,LHSI,London Health Sciences Centre Res. Inc. (Ont.),Ontario,Ontario,Canada,Canada,200405
146183,"Hammond, Geoffrey L",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
117865,"Possmayer, Fred",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
117865,"Richardson, Bryan S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
117865,"Han, Victor Khin M",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
303586,"Quirion, Rémi",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
698629,"Cass, Carol E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAX,Alberta Cancer Board (Calgary),Alberta,Alberta,Canada,Canada,200405
233778,"Silverman, Melvin",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
196849,"Whiteside, Catharine I",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
