Key-ClÃ©,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnÃ©eFinanciÃ¨re
441990,"Finegood, Diane T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200607
314747,"Branton, Philip E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
451248,"Singh, Bhagirath",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
792384,"McManus, Bruce M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
792384,"Yang, Decheng",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
993660,"Hart, David A",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
993660,"Frank, Cyril B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,200607
993660,"Shrive, Nigel G",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
993660,"Ronsky, Janet L",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
303586,"Quirion, RÃ©mi",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-MontrÃ©al-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-MontrÃ©al-HÃ´pital Douglas,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
47847,"Wright, Graham A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
201217,"Quirion, RÃ©mi",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-MontrÃ©al-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-MontrÃ©al-HÃ´pital Douglas,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
865022,"Nemer, Mona",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/UniversitÃ© d'Ottawa,Ontario,Ontario,Canada,Canada,200607
577206,"Gascon-Barre, Marielle",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,INRZ,Fonds de recherche du QuÃ©bec - SantÃ© (FRQS),QuÃ©bec,QuÃ©bec,Canada,Canada,200607
237631,"Mrosovsky, Nicholas",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
676908,"Chow, Anthony W",SUP,Supervisor,Directeur de recherche,CAAE,Vancouver General Hospital,British Columbia,Colombie-Britannique,Canada,Canada,200607
676908,"Church, John",SUP1,Primary Supervisor,Directeur principal,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
676908,"Sheldon, Claire A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
410033,"Chow, Anthony W",SUP,Supervisor,Directeur de recherche,CAAE,Vancouver General Hospital,British Columbia,Colombie-Britannique,Canada,Canada,200607
410033,"Krystal, Gerald",SUP1,Primary Supervisor,Directeur principal,BCAV,"BC Cancer, part of PHSA (Vancouver)",British Columbia,Colombie-Britannique,Canada,Canada,200607
410033,"Rauh, Michael",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
693447,"Klein, Marina B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
775624,"Chow, Anthony W",SUP,Supervisor,Directeur de recherche,CAAE,Vancouver General Hospital,British Columbia,Colombie-Britannique,Canada,Canada,200607
775624,"Robinson, Wendy P",SUP1,Primary Supervisor,Directeur principal,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
775624,"Yong, Paul",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
913754,"Craig, Wendy M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
338189,"Gorey, Kevin M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEOA,University of Windsor (Ontario),Ontario,Ontario,Canada,Canada,200607
532829,"Messing, Karen",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFEB,UniversitÃ© du QuÃ©bec Ã  MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
25463,"Keller, Heather H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CENA,University of Waterloo (Ontario),Ontario,Ontario,Canada,Canada,200607
229421,"MacDonald, Tara",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
302324,"Lebel, Michel",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
262815,"Smith, Graeme N",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
745536,"Nabi, Ivan R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
