name,address1,address2,borough_name,website,borough_code,ward_2018_name,contact_name
Brookside Hall,Brookside Hall, Brookside Close,Harrow,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,Roxbourne,
Gascoigne Youth and Community Centre,124-128 St Anns,Gascoigne Road,Barking and Dagenham,,E09000002,Gascoigne,
St Helier Hall,12 Eastfield Road ,,Enfield,,E09000010,Enfield Highway,
Haggerston Community Centre,8 Lovelace Street,Hackney,Hackney,https://www.haggerstoncc.com/,E09000012,Haggerston,
Uxbridge Community Centre,32 The Greenway,Hillingdon,Hillingdon,,E09000017,Uxbridge South,
Goodliffe Hall,Highland Road,Lambeth,Lambeth,http://www.gipsyhill.org.uk/church-hall/,E09000022,Gipsy Hill,
Crane Youth & Community Centre,Fuller Way,Hillingdon,Hillingdon,,E09000017,Pinkwell,
St Martin's Community Centre,Abbots Park,Lambeth,Lambeth,,E09000022,Tulse Hill,
Rockingham Community Centre,Falmouth Road,Southwark,Southwark,https://communitysouthwark.org/organisations-venues/venues/rockingham-community-centre,E09000028,Chaucer,
Earlstoke Estate Community Room,Manningford Close,Islington,Islington,,E09000019,Clerkenwell,
Blackhorse Community Workshop & CafÃÂÃÂ©,1-2 Sutherland Road Path, London,Waltham Forest,http://www.blackhorseworkshop.co.uk/,E09000031,Higham Hill,
St Lukes TRA Community Room,Bath Court,Bath Street,Islington,,E09000019,Bunhill,
Peterhouse Centre,122 Forest Rise,Waltham Forest,Waltham Forest,,E09000031,Wood Street,
Bourne Estate Tenants Association Hall,Gray's Inn Buildings, Rosebery Avenue,Camden,,E09000007,Holborn and Covent Garden,
Hawthorn Community Hall,Hawthorn Crescent,Wandsworth,Wandsworth,,E09000032,Graveney,
Hartlands Community Centre,Water Church Road, Heston,Hounslow,,E09000018,Heston West,
New Kingshold Community Centre,49 Ainsworth Road,Hackney,Hackney,,E09000012,Victoria,
Darwin Court,Darwin Court Office,1 Crail Row,Southwark,,E09000028,East Walworth,
Ickenham Village Hall,33 Swakeleys Road,Hillingdon,Hillingdon,https://www.ickenhamvillagehall.co.uk/,E09000017,Ickenham,
Lionel Road Community Hall,540 Westhorne Avenue,Greenwich,Greenwich,,E09000011,Eltham West,
Highlands Village Hall,5 Florey Square,Enfield,Enfield,,E09000010,Southgate,
Kingsley Hall Community Centre,1 Powis Road,Tower Hamlets,Tower Hamlets,http://kingsley-hall.co.uk/,E09000030,Bromley North,
Hilldrop Community Centre,Community Lane,Hilldrop Road,Islington,https://www.hilldrop.org.uk/,E09000019,St. George's,Elaine Maffrett
Butley Court Senior Citizens Centre,1 Butley Court, Ford Street,Tower Hamlets,https://www.clarionhg.com/,E09000030,Bow West,
Briar Community Association,Betty Strathern Centre, 41 Myrtle Rd,Havering,,E09000016,Heaton,Steve Butler
Sherry's Wharf,5 Oswalds mead, ,Hackney,,E09000012,King's Park,
Danson Youth Centre,Brampton Road, Bexleyheath,Bexley,http://www.dansonyouth.org.uk/,E09000004,Danson Park,
Camden Chinese Community Centre,9 Tavistock Place,Camden,Camden,http://www.camdenccc.co.uk/,E09000007,King's Cross,
Rainbow Centre,24 Dollis Valley Drive, Barnet,Barnet,http://www.rainbowcentrebarnet.wordpress.com,E09000003,Underhill,
Shanklin Community & Children's Centre,Rookley Close,Sutton,Sutton,,E09000029,Belmont,
Edmundsbury Community Hall,171 Ferndale Road,Lambeth,Lambeth,https://edmundsbury.org.uk/edmundsbury-community-hall/,E09000022,Ferndale,
Woodman Community Centre,Woodman Street, North Woolwich,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Woodman-Community-Centre.aspx,E09000025,Royal Docks,Beckton and Royal Docks Community Neighbourhood Team
Morden Assembly Hall,Tudor Drive,Merton,Merton,https://www.merton.gov.uk/leisure-recreation-and-culture/hall-hire/morden-assembly-hall,E09000024,Lower Morden,
Paul Street Community Centre,48 West Ham Lane, Newham,Newham,,E09000025,West Ham,
Progress Hall,Admiral Seymour Road,Greenwich,Greenwich,not a CC,E09000011,Eltham North,
Middle Park Community Centre and the Joan Currie Hall,150 Middle Park Avenue,Greenwich,Greenwich,,E09000011,Middle Park and Sutcliffe,
The Greenside Community Centre,Lilestone Street,City Of Westminster,Westminster,http://www.westminstercommunityinfo.org/content/greenside-community-centre,E09000033,Church Street,
Denyer House TRA Room,44 Denyer House, Highgate Road,Camden,,E09000007,Highgate,
Woodgrange Community Centre,Bluebell Avenue,Newham,Newham,,E09000025,Manor Park,
Glyndon Community Centre,75 Raglan Road,Greenwich,Greenwich,http://www.glyndon.org.uk/glyndon.htm,E09000011,Glyndon,
Enfield Highway Community Centre,117 Hertford Road,Enfield,Enfield,,E09000010,Enfield Highway,
Hugh Cubitt Community Centre,Hugh Cubitt,48 Collier Street,Islington,https://barnsburyliving.wordpress.com/,E09000019,Barnsbury,
Grange Farm Community Centre,65 Osmond Close,Harrow,Harrow,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,Harrow on the Hill,
Peckwater TA Hall,Peckwater Street,Camden,Camden,,E09000007,Kentish Town,
Frederic Street Community Centre,5 Frederic Street, Waltham Forest,Waltham Forest,https://www.crazy4kids.co.uk/,E09000031,Markhouse,
Bermondsey Village Hall,Kirby Grove,Southwark,Southwark,http://bermondseyhall.org.uk/,E09000028,Grange,
Cypriot Community Centre and Banqueting Suites,Earlham Grove,London Borough Of Haringey,Haringey,http://www.cypriotcentre.co.uk/,E09000014,Woodside,
The Vale Community Centre,1 Pentland Road,Brent,Brent,https://www.brent.gov.uk/your-community/community-directory/the-vale-community-centre/,E09000005,Kilburn,Sharon Baah
Parkside Community Centre,Parkside Hall, 1 Parkside Cross,Bexley,,E09000004,Barnehurst,Gary Redding
Surbiton Library Hall,Ewell Rd, Surbiton,Kingston upon Thames,https://www.kingston.gov.uk/info/200208/libraries/301/branch_surbiton_library/4,E09000021,Berrylands,
Hoe Street Community Centre,1 Hoe Street, London,Waltham Forest,https://wfculture19.co.uk/onehoestreet-venue,E09000031,Hoe Street,
Northwold Community Hall,Upper Clapton Road,Hackney,Hackney,,E09000012,Cazenove,
Whitehall & Tenterden Community Centre,Whitehall Street,London Borough Of Haringey,Haringey,,E09000014,Northumberland Park,
Covent Garden Community Centre,Seven Dials Club,42 Earlham Street,Camden,https://www.sevendialsclub.com/,E09000007,Holborn and Covent Garden,Helen Phillipo
Toland Square Community Clubroom,Toland Square Community Clubroom,Toland Square,Wandsworth,,E09000032,West Putney,
Old Oak Centre,76 Braybrook Street,Hammersmith And Fulham,Hammersmith and Fulham,http://www.oldoakcentre.co.uk,E09000013,College Park and Old Oak,
Heath Park Community Centre,Rusholme Avenue,Barking And Dagenham,Barking and Dagenham,,E09000002,Heath,
Hedgecock Centre,28 Stephen Jewers Gardens,Barking And Dagenham,Barking and Dagenham,www.hedgecockcentre.org.uk,E09000002,Longbridge,
The Fitzrovia Centre,2 Foley Street,City Of Westminster,Westminster,http://fitzroviacentre.org/,E09000033,West End,
Northolt Road Hall,Northolt Road,Harrow,Harrow,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,Harrow on the Hill,
Hanbury Street Community Room,Hanbury Street,Tower Hamlets,Tower Hamlets,http://www.thch.org.uk/join-in/supporting-the-comm/,E09000030,Spitalfields & Banglatown,
Higham Hill Community Hub & CafÃÂÃÂ©,Higham Hill Park, Hecham Close,Waltham Forest,http://highamhillhub.org.uk/,E09000031,Higham Hill,
Tarling Road Community Centre,20 Fallows Close,Barnet,Barnet,,E09000003,East Finchley,
Havelock Centre Southall,17 Trubshaw Road, Southall,Ealing,https://www.a2dominion.co.uk/locations/Havelock-Centre-Southall,E09000009,Norwood Green,
O2 Centre Community Venue,255 Finchley Road,Camden,Camden,http://cindex.camden.gov.uk/kb5/camden/cd/service.page?id=0JU92SEtXhE,E09000007,West Hampstead,
Island House Community Centre,Roserton Street,Tower Hamlets,Tower Hamlets,http://www.island-house.org/,E09000030,Blackwall & Cubitt Town,
Nevern Place,Notting Hill Housing Association,Flat 1a,Kensington and Chelsea,,E09000020,Earl's Court,
Bacton Tower TA Room,Haverstock Road,Camden,Camden,,E09000007,Gospel Oak,
Mildmay Community Centre,Woodville Road,Islington,Islington,http://mildmaycp.wordpress.com,E09000019,Mildmay,
Stamford Hill Estate Community Centre,110 Stamford Hill,Hackney,Hackney,https://www.shgroup.org.uk/media/233110/stamford-hill.pdf,E09000012,Cazenove,
NEQ Community Room,NEQ Community Room,175 Drummond Street,Camden,https://www.originhousing.org.uk/community/community-halls/north-east-quadrant-(neq),E09000007,Regent's Park,
Assembly Halls - West Wickham,Assembly Halls, 18 Gates Green Road,Bromley,,E09000006,Hayes and Coney Hall,Deborah Vickery
