name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Domobaal,Camden,http://www.domobaal.com/#,E09000007,3 John Street,,,10091862142,Holborn and Covent Garden,E05000138,-0.114704893196649,51.52160662923071,530894.9645348527,181982.92348422023,04/11/2021
Eagle Gallery,Islington,http://www.emmahilleagle.com/#,E09000019,159 Farringdon Road,,,5300033028,Clerkenwell,E05000370,-0.109755625846395,51.52416186295283,531230.9644439578,182275.92340599908,04/11/2021
Work,Islington,http://workgallery.co.uk/#,E09000019,308 Essex Road,,,10091003649,Canonbury,E05000369,-0.0913580910097538,51.54283831211358,532452.9641102117,184385.9228319464,04/11/2021
Usurp,Harrow,http://www.usurp.org.uk/exhibitions/#,E09000015,140 Vaughan Road,,,100021292207,West Harrow,E05000305,-0.3493466961511721,51.57904584466059,514472.928960828,187977.311810033,04/11/2021
Catto Gallery,Camden,http://www.cattogallery.co.uk/#,E09000007,100 Heath Street,,,5010317,Hampstead Town,E05000135,-0.1784591038914786,51.55850337991384,526369.9657628811,185973.9223995341,04/11/2021
Freespace Gallery,Camden,http://freespacegallery.org/#,E09000007,2 Bartholomew Road,,,5021000,Cantelowes,E05000131,-0.1399289134061762,51.54640648601583,529074.9650289959,184695.92274840787,04/11/2021
Orange Dot Gallery,Camden,http://www.orangedotgallery.co.uk/#,E09000007,54 Tavistock Place,,,5030299,Bloomsbury,E05000129,-0.1250184763116502,51.52564778635138,530167.964733288,182413.92336844868,04/11/2021
Lawrence Alkin Gallery,Camden,http://www.lawrencealkingallery.com/#,E09000007,42 New Compton Street,,,5066491,Holborn and Covent Garden,E05000138,-0.1276146955741516,51.515428538246375,530016.964771571,181272.9236770144,04/11/2021
University of the Arts London Gallery,Camden,http://www.arts.ac.uk/gallery.htm#,E09000007,272 High Holborn,,,5154466,Holborn and Covent Garden,E05000138,-0.1163625663760424,51.51776637099261,530790.9645623658,181552.9236001026,04/11/2021
Gallery K,Camden,http://www.gallery-k.co.uk/#,E09000007,101-103 Heath Street,,,5082905,Hampstead Town,E05000135,-0.1785914923759944,51.55916188807706,526358.9657658924,186046.9223796577,04/11/2021
Austin Desmond Fine Art,Camden,http://austindesmond.com/#,E09000007,Pied Bull YardÂ ,68â69Â Great Russell Street,,5083316,Holborn and Covent Garden,E05000138,-0.1243487817278805,51.51879360553176,530233.9647133822,181652.92357369483,04/11/2021
Brunei Gallery,Camden,http://www.soas.ac.uk/gallery/#,E09000007,SOAS,Thornhaugh Street,,5086881,Bloomsbury,E05000129,-0.1292334038104869,51.52235178849262,529884.9648089437,182039.92347005077,04/11/2021
The October Gallery,Camden,http://www.octobergallery.co.uk/#,E09000007,24 Old Gloucester Street,,,5087208,Holborn and Covent Garden,E05000138,-0.1217048753408633,51.52069373807282,530411.9646658043,181868.9235150376,04/11/2021
Rebecca Hossack Gallery 2,Camden,http://www.richard-green.com/#,E09000007,"28 Charlotte Street,",,,5087275,Bloomsbury,E05000129,-0.1349657303693765,51.518944887353086,529496.964912489,181650.92357560748,04/11/2021
Rebecca Hossack Gallery 1,Camden,http://www.rebeccahossack.com/#,E09000007,2a Conway Street,,,5087297,Bloomsbury,E05000129,-0.1395237900061974,51.52204781119471,529171.9650016477,181987.923484485,04/11/2021
The Framers Gallery,Camden,http://www.theframersgallery.co.uk/#,E09000007,36 Windmill Street,,,5087378,Bloomsbury,E05000129,-0.1341601699643469,51.51890509971838,529552.9648973413,181647.92357631383,04/11/2021
Beside the Wave,Camden,http://www.beside-the-wave.co.uk/#,E09000007,41 Chalcot Road,,,5087431,Camden Town with Primrose Hill,E05000130,-0.1541712188587891,51.54017462910892,528104.9652930357,183977.9229422809,04/11/2021
Woolff Gallery,Camden,http://www.woolffgallery.co.uk/#,E09000007,89 Charlotte St,,,5087726,Bloomsbury,E05000129,-0.1370655353239512,51.52047104451743,529346.9649537974,181816.92353088548,04/11/2021
Lahd Gallery,Camden,http://www.lahdgallery.com/#,E09000007,92 Heath Street,,,5087751,Hampstead Town,E05000135,-0.1784994270988269,51.55821624511333,526367.9657634617,185941.9224083033,04/11/2021
The Cob Gallery,Camden,http://www.cobgallery.com/#,E09000007,205 Royal College Street,,,5087949,Camden Town with Primrose Hill,E05000130,-0.1380230145233303,51.54116049544474,529221.9649893974,184115.92290637837,04/11/2021
Edge of Arabia,Camden,http://edgeofarabia.com/#,E09000007,5 Southampton Place,,,5088047,Holborn and Covent Garden,E05000138,-0.1216230372430447,51.51812949338447,530424.9646616299,181583.9235919745,04/11/2021
