name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Moth Club,HACKNEY,www.mothclub.co.uk,100023022302.0,E09000012,Homerton,E05009376,Hackney Trades Hall Valette Street,Hackney,,-0.0544200069460836,51.5456389548926,535005.9632945792,184764.9226076908,04/11/2021
Her Majesty's Theatre,CITY OF WESTMINSTER,www.reallyusefultheatres.co.uk/our-theatres/her-majestys,100023349365.0,E09000033,St. James's,E05000644,Haymarket City Of Westminster,,,-0.1320069295137484,51.50812452822598,529732.9647277478,180452.9237789666,04/11/2021
King's College,CITY OF WESTMINSTER,,100022807697.0,E09000033,St. James's,E05000644,Strand City Of Westminster,,,-0.1162273844076495,51.5116131543542,530817.9644314316,180868.92366342025,04/11/2021
Peacock Theatre,CITY OF WESTMINSTER,www.peacocktheatre.com,100023430213.0,E09000033,St. James's,E05000644,Portugal Street City Of Westminster,,,-0.1179910553621367,51.51462705698138,530686.9644679044,181200.92357318965,04/11/2021
Picadilly Theatre,CITY OF WESTMINSTER,www.piccadillytheatre.co.uk,100023472891.0,E09000033,West End,E05000649,16 Denman Street,City Of Westminster,,-0.1353745720757855,51.51105578198978,529490.9647933327,180772.9236922916,04/11/2021
Queen's Theatre,CITY OF WESTMINSTER,www.queenstheatre.co.uk,100023472885.0,E09000033,West End,E05000649,51 Shaftesbury Avenue,City Of Westminster,,-0.1329001603438041,51.51200562098557,529659.9647470247,180882.92366190167,04/11/2021
Rays Jazz At Foyles,CITY OF WESTMINSTER,www.foyles.co.uk/events,100023431365.0,E09000033,West End,E05000649,107 Charing Cross Road,City Of Westminster,,-0.1302257022533759,51.51466983105579,529837.9646980478,181183.92357949185,04/11/2021
St. John's Concert Hall,CITY OF WESTMINSTER,www.sjss.org.uk,100023339546.0,E09000033,St. James's,E05000644,Smith Square City Of Westminster,,,-0.1269380680245037,51.496092351553166,530118.9646214752,179123.92413967923,04/11/2021
Swan,HOUNSLOW,www.swaninnisleworth.co.uk,100023407007.0,E09000018,Isleworth,E05000362,Saracen House Swan Street,Hounslow,,-0.3228127686121199,51.4692819734679,516591.1683021082,175812.92503809946,04/11/2021
The Albany,LEWISHAM,www.thealbany.org.uk,100023280903.0,E09000023,New Cross,E05000449,Albany Centre & Theatre Douglas Way,Lewisham,,-0.026347023270993,51.47746352326028,537156.9627085035,177235.92465235898,04/11/2021
Fire,LAMBETH,www.firelondon.net/,100023383445.0,E09000022,Oval,E05000426,Arch 39-43 Parry Street,Lambeth,,-0.1237889207862791,51.484720185172655,530369.9645537378,177864.92448238883,04/11/2021
