name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Wembley Library,Brent Civic Centre Engineers Way,,,,,,,,,-0.2814509103471971,51.5589132033094,519229.8115887138,185846.76843330555,04/11/2021
Kilburn,Salusbury Road,,,Brent,,202046410.0,E09000005,Queens Park,E05000098,-0.2053763293332811,51.53511482705903,524567.9662526551,183326.92311962732,04/11/2021
Bradmore Green,Bradmore Way,Coulsdon,,Croydon,,200001206439.0,E09000008,Old Coulsdon,E05011474,-0.1239772175451508,51.30756461822491,530860.9645413605,158164.92995614704,04/11/2021
Biggin Hill Memorial Library and Pool,Church Road,Biggin Hill,,Bromley,,10070007971.0,E09000006,Biggin Hill,E05000107,0.0347294516258238,51.31223601174208,541907.9615396087,158978.9297364323,04/11/2021
Coulsdon,Brighton Road,Coulsdon,,Croydon,,100023534265.0,E09000008,Coulsdon Town,E05011466,-0.1386686585240973,51.32000217846126,529801.9648335783,159521.92959059807,04/11/2021
Purley,Banstead Road,Purley,,Croydon,,200001215992.0,E09000008,Purley & Woodcote,E05011476,-0.1186688135808091,51.33914397993314,531140.9644692251,161685.929001303,04/11/2021
Sanderstead,Farm Fields,South Croydon,,Croydon,,200001205396.0,E09000008,Sanderstead,E05011478,-0.0855333875454376,51.34081940061432,533443.96384029,161931.92893322825,04/11/2021
New Addington,Central Parade,Croydon,,Croydon,,100023534498.0,E09000008,New Addington South,E05011471,-0.0163510610347158,51.34092774434316,538261.9625296631,162071.92889801445,04/11/2021
Selsdon,Addington Road,South Croydon,,Croydon,,10014054952.0,E09000008,Selsdon Vale & Forestdale,E05011481,-0.0623478883954002,51.342461480457935,535053.9634036969,162156.92887238384,04/11/2021
Library @ the Phoenix Centre,Mollison Drive,Wallington,,Sutton,,5870113095.0,E09000029,Beddington South,E05000556,-0.1332588469893319,51.35321724607274,530084.9647557805,163224.92858171667,04/11/2021
Wallington Library,Shotfield,Wallington,,Sutton,,5870076858.0,E09000029,Wallington South,E05000570,-0.1507948795061701,51.3578476060317,528850.9650905905,163708.92845009896,04/11/2021
Cheam Library,Church Road,Cheam,,Sutton,,5870018019.0,E09000029,Cheam,E05000560,-0.2166917309211636,51.360101195676606,524256.9663366689,163845.92841352138,04/11/2021
Sutton Central Library,St Nicholas Way,Sutton,,Sutton,,5870113864.0,E09000029,Sutton Central,E05000564,-0.1951546137070101,51.36207338999041,525750.9659322376,164101.92834462988,04/11/2021
Hook and Chessington Library,Hook Road,Chessington,,Kingston upon Thames,,10091803267.0,E09000021,Chessington North and Hook,E05000404,-0.3060341047403558,51.36791922606943,518016.968033959,164567.92821594898,04/11/2021
Library @ Westcroft Centre,Westcroft Road,Carshalton,,Sutton,,5870122731.0,E09000029,Wallington North,E05000569,-0.15811688654644,51.36795395710612,528312.9652386562,164819.92815183848,04/11/2021
Croydon central library,Katharine Street,Croydon,,Croydon,,100022917682.0,E09000008,Fairfield,E05011468,-0.0995104525480366,51.371910542400165,532380.9641287995,165363.9280014406,04/11/2021
Worcester Park Library,Windsor Road,Worcester Park,,Sutton,,5870109125.0,E09000029,Nonsuch,E05000561,-0.2413712460314148,51.37805466953304,522490.9668195736,165800.92788285785,04/11/2021
Shirley,Wickham Road,Croydon,,Croydon,,100022908481.0,E09000008,Shirly South,E05011483,-0.0451319740338749,51.37517898317513,536155.9631051893,165826.92787814775,04/11/2021
West Wickham Library,Glebe Way,West Wickham,,Bromley,,100022897598.0,E09000006,West Wickham,E05000127,-0.0138927950667699,51.37585929263627,538327.9625117598,165960.92783982732,04/11/2021
Library @ The Life Centre,Alcorn Close,Sutton,,Sutton,,5870120544.0,E09000029,Stonecot,E05000563,-0.2018215405565947,51.37890231066054,525240.9660735055,165961.92784000194,04/11/2021
Tolworth Community Library,Tolworth Broadway,Tolworth,,Kingston upon Thames,,128002519.0,E09000021,Alexandra,E05000400,-0.2822544790724609,51.38108014701093,519637.9675951399,166069.92780973046,04/11/2021
Hayes Library,Hayes Street,Bromley,,Bromley,,100022891892.0,E09000006,Hayes and Coney Hall,E05000119,0.018088029995157,51.37739052904857,540548.9619074931,166191.92777719192,04/11/2021
