OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2018,Closed,302,Not As Ordered,334111-Computer Manufacturing,,One Apple Park Wy,Cupertino,CA,34,34000542224
2018,New,999,Other/Miscellaneous,561440-Collection Agencies,,8014 Bayberry Rd,Jacksonville,FL,60,60000535010
2019,Closed,22,Failure To Adjust/Refund,522110-Commercial Banking,,127 Public Sq,Cleveland,OH,16,16000555861
2014,Closed,404,Collection Practices,561440-Collection Agencies,Collection Agencies,800 SW 39th St,Renton,WA,46,46000444184
2017,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,27,27000517333
2018,Closed,999,Other/Miscellaneous,531190-MHU Use Only - MH landlord,,Housing Authority of Snohomish County,Everett,WA,60,60000539540
2021,New,999,Other/Miscellaneous,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,60,60000591422
2017,Closed,17,Imposter scam,993000-Phishing,,This is the ALL major,,  ,194,194000514063
2014,Closed,518,Unregistered or Unlicensed Business,561730-Landscaping Services,,,Lynnwood,WA,55,55000450489
2016,Closed,318,Charge:Service Not Performed/Product not delivered,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,Office of the President,Dallas,TX,40,40000479580
2016,Closed,13,Misrepresentation of product or service,511140-Database & Directory Publishers,Database & Directory Publishers,,,OR,10,10000483858
2019,Closed,318,Charge:Service Not Performed/Product not delivered,811100-Automotive Repair & Maintenance,,2600 NW Randall Wy Ste 107,Silverdale,WA,40,40000542461
2020,Closed,996,COVID-19,713940-Fitness & Recreational Industries,,110 W Price Ave,Spokane,WA,216,216000569756
2017,Closed,301,Failure To Deliver/Perform,441210-RV Dealers,,10606 N Newport Hwy,Spokane,WA,33,33000511033
2014,Closed,222,Advance Fee Fraud,992000-Advance Fee Fraud,Advance Fee Fraud,,,WA,114,114000458040
2017,New,999,Other/Miscellaneous,"221100-Electric Power Generation, Transmission & Distribu",,PO Box 90868,Bellevue,WA,60,60000522707
2019,Closed,301,Failure To Deliver/Perform,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,33,33000557482
2017,Closed,22,Failure To Adjust/Refund,442110-Furniture stores,,6365 Consolidated Wy,San Diego,CA,16,16000510521
2014,Closed,206,Right To Cancel,514191-Internet service providers/info. services (doesn't,,,Buford,GA,30,30000457184
2019,Closed,222,Advance Fee Fraud,531390-Timeshare exchange services,,,Eastsound,WA,114,114000552556
2013,Closed,19,Inadequate Disclosure,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,13,13000432626
2016,Closed,19,Inadequate Disclosure,441100-Automotive Dealers,,,Montesano,WA,13,13000487382
2015,Closed,26,Advertising,441100-Automotive Dealers,Automotive Dealers,13817 NE 20th St,Bellevue,WA,19,19000467932
2013,Closed,316,Billing Issues,524000-Insurance Carriers & Related Activities,,,Glen Burnie,MD,107,107000437307
2020,Closed,301,Failure To Deliver/Perform,"813219-Charities, Grantmaking, Civic & Giving Services",,,Everett,WA,33,33000559769
2015,Closed,61,Phishing,993000-Phishing,Phishing,This is the ALL Major,,  ,111,111000468846
2020,Closed,403,Collection Activity (Fraudulent or mistaken ID),561440-Collection Agencies,,4023 W 1st Ave,Eugene,OR,177,177000581272
2014,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,,,,WA,33,33000446297
2016,New,999,Other/Miscellaneous,561440,Collection Agencies,9200 Oakdale Ave Ste 601,Chatsworth,CA,60,60000496629
2020,New,999,Other/Miscellaneous,531390-Timeshare exchange services,,220 120th Ave NE,Bellevue,WA,60,60000573964
2017,New,999,Other/Miscellaneous,441100-Automotive Dealers,,1516 Auburn Wy N,Auburn,WA,60,60000512828
2019,New,999,Other/Miscellaneous,518210-Web Hosting,,140 New Montgomery St #9 F,San Francisco,CA,60,60000551323
2019,Closed,318,Charge:Service Not Performed/Product not delivered,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,40,40000547944
2015,Closed,320,Unsatisfactory Repair/Service,484210-Moving Companies,,,Sun Valley,CA,42,42000462210
2020,New,999,Other/Miscellaneous,"115210-Breeders, Stables and Livestock Boarding",,,McAllen,TX,60,60000574224
2016,Closed,307,Product Safety,"335000-Electronic Equip., Appliance & Component Mfg'ring ","Electronic Equip., Appliance & Component Mfg'ring ",43 Moonachie Rd,Hackensack,NJ,37,37000482642
2018,Closed,17,Imposter scam,993000-Phishing,,,,  ,194,194000526907
2020,Closed,303,Questionable Quality Product/Service,"235000-Special trade Contractors (includes plumbers, elec",,,Auburn,WA,35,35000566171
2017,New,999,Other/Miscellaneous,"511100-Newspaper, Periodicals, Book & Database Publishers",,"PO Box 70, 1120 John St",Seattle,WA,60,60000514915
2015,Closed,444,Foreclosure Issue,522310-Mortgage Brokers,Mortgage Brokers,PO Box 10826,Greenville,SC,155,155000459821
2017,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,107,107000500391
2018,Closed,301,Failure To Deliver/Perform,513320-Telecommunications/Wireless,,308 S Akard St Rm 1110,Dallas,TX,33,33000525838
2013,Closed,316,Billing Issues,454100-Electronic Shopping & Mail Order Houses,,,Peachtree City,GA,107,107000441767
