OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2014,Closed,7,Warranty,513320-Telecommunications/Wireless,Telecommunications/Wireless,8410 W Bryn Mawr Ave,Chicago,IL,6,6000442646
2021,New,999,Other/Miscellaneous,441100-Automotive Dealers,,15611 Canyon Rd E,Puyallup,WA,60,60000594135
2015,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,Real Estate Loan Servicing,c/o Robert William McDonald,Seattle,WA,155,155000459991
2019,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,308 S Akard St Rm 1110,Dallas,TX,107,107000543370
2017,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,,3217 S Decer Lake Dr,Salt Lake City,UT,155,155000520126
2018,New,999,Other/Miscellaneous,561440-Collection Agencies,,136 S Main St,Spanish Fork,UT,60,60000532057
2021,Closed,22,Failure To Adjust/Refund,561520-Tour Operators,,3826 18th Ave W,Seattle,WA,16,16000589063
2017,New,999,Other/Miscellaneous,531200-Real Estate Agents & Agencies,,8714 113th St,Seattle,WA,60,60000511038
2021,Closed,412,Alleged criminal activity,511140-Database & Directory Publishers,,222 Sutter St 9th Fl,San Francisco,CA,196,196000589879
2017,Open,999,Other/Miscellaneous,484210-Moving Companies,,,Kent,WA,60,60000512892
2017,Closed,104,Non-Fulfillment,513320-Telecommunications/Wireless,,,Woodland Hills,CA,23,23000503532
2014,Closed,22,Failure To Adjust/Refund,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,18710 Meridian E Ste 115-83,Puyallup,WA,16,16000445926
2018,Closed,203,Internet & Mobile device based transaction,518112-Internet Search Engines,,1600 Amphitheatre Pkwy,Mountain View,CA,27,27000532842
2018,Closed,17,Imposter scam,993000-Phishing,,This is the ALL major,,  ,194,194000541883
2021,Closed,61,Phishing,993000-Phishing,,This is the ALL major,,  ,111,111000588516
2020,New,999,Other/Miscellaneous,513320-Telecommunications/Wireless,,6955 S Morelos Pl,Chandler,AZ,60,60000581594
2020,Closed,222,Advance Fee Fraud,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,114,114000568768
2014,Closed,628,Rent raise,531190-MHU Use Only - MH landlord,MHU Use Only - MH landlord,9212 S Silver Lake RD,Medical Lake,WA,143,143000453189
2016,Closed,303,Questionable Quality Product/Service,441100-Automotive Dealers,,1100 Oyster Bay Ave S,Bremerton,WA,35,35000490291
2020,New,999,Other/Miscellaneous,446110-Pharmacies & Drug Stores,,,Tacoma,WA,60,60000579852
2019,New,999,Other/Miscellaneous,524000-Insurance Carriers & Related Activities,,PO Box 5970,Mesa,AZ,60,60000544884
2021,Closed,323,Invoice - misleading or fraudulent,990000-Unclassified Establishments,,12312 Port Grace Blvd,Lavista,NE,182,182000592514
2017,New,999,Other/Miscellaneous,993000-Phishing,,This is the ALL Major,,  ,60,60000520582
2017,Closed,410,Discrimination,611000-Educational Services,,1701 Broadway Ave,Seattle,WA,47,47000502919
2015,Closed,26,Advertising,721100-Travel Accomodations,,,Woodland,WA,19,19000469522
2019,Closed,13,Misrepresentation of product or service,531320-Real Estate Appraisers,,15510 92nd St Kp N ,Gig Harbor,WA,10,10000553814
2019,New,999,Other/Miscellaneous,441100-Automotive Dealers,,3718 S Tacoma Wy,Tacoma,WA,60,60000552024
2019,New,999,Other/Miscellaneous,531311-Residential property managers (includes landlords),,,Spokane Valley,WA,60,60000556227
2021,Open,999,Other/Miscellaneous,621300-Offices of Other Health Professionals,,12040 NE 128th St,Kirkland,WA,60,60000590420
2020,Closed,318,Charge:Service Not Performed/Product not delivered,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,40,40000571305
