Account Holder1,Liable From,Rateable Value,Mandatory relief (%) ,Discretionary relief (%),Small Business Rate Relief (%),Retail Relief (£),Local Discount (£),Empty Property?,Exempt Empty?,Empty From,Address 1,Addr2,Addr3,Addr4,Postcode,VOA Description code,Description,B A Reference
GET AWAY GIRLS,30/11/2000,9200.0,80.0,0.0,0.0,£0.00,,N,N,,67 BAYSWATER GROVE,HAREHILLS,LEEDS,,LS8 5LN,CO,OFFICES AND PREMISES,2010106340733.0
INCHMERY LTD,06/08/2001,7800.0,0.0,0.0,0.0,£0.00,,Y,N,01/04/2003,111/113 BAYSWATER ROAD,HAREHILLS,LEEDS,,LS8 5NT,CS,SHOP AND PREMISES,2010109322071.0
BAYSWATER GROUP LTD,01/04/2005,4450.0,0.0,0.0,100.0,£0.00,,N,N,,94 BAYSWATER ROAD,HAREHILLS,LEEDS,,LS8 5NT,CS,SHOP AND PREMISES,2010109322758.0
LEEDS ANIMATION WORKSHOP,01/04/2000,3350.0,0.0,50.0,100.0,£0.00,,N,N,,45 BAYSWATER ROW,LEEDS,,,LS8 5LF,CO,OFFICES AND PREMISES,2010110339162.0
CLEAR CHANNEL UK LIMITED,29/11/2006,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADSHEL SITE REF 0704 0862 OPP,BECKETT WING,BECKETT STREET,LEEDS,LS9 7LS,CA,ADVERTISING RIGHT AND PREMISES,2010113456390.0
CLEAR CHANNEL UK LIMITED,29/11/2006,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERTISING RIGHT 0704 0863,AT ST JAMES HOSPITAL,BECKETT STREET,LEEDS,LS9 7JZ,CA,ADVERTISING RIGHT AND PREMISES,2010113468446.0
CLEAR CHANNEL UK LIMITED,01/04/2008,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT SITE REF 0704 0904,OPP BECKETT WING,BECKETT STREET,LEEDS,LS9 7TF,CA,ADVERTISING RIGHT AND PREMISES,2010113477477.0
THACKRAY MEDICAL MUSEUM CO LTD,01/04/2000,160000.0,80.0,0.0,0.0,£0.00,,N,N,,THACKRAY MEDICAL MUSEUM,BECKETT STREET,BURMANTOFTS,LEEDS,LS9 7LP,EM1,MUSEUM AND PREMISES,2010114356678.0
LEEDS TEACHING HOSPITALSNHS TRUST,01/04/2000,11750.0,0.0,0.0,0.0,£0.00,,N,N,,POST GRADUATE MEDICAL,EDUCATION CENTRE,BECKETT STREET,BURMANTOFTS LEEDS,LS9 7LP,CO,LECTURE ROOMS AND PREMISES,2010114356679.0
COMPASS CONTRACT SERVICES (UK)LTD,04/03/2009,5800.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,"UNIT 1, CHANCELLOR WING,",ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,BURMANTOFTS LEEDS,LS9 7TF,CS,SHOP AND PREMISES,2010116352915.0
ISS MEDICLEAN LTDT/A ISS FACILITY SERVICES HEALTH,01/09/2013,5100.0,0.0,0.0,0.0,£0.00,,N,N,,WRVS CAFE AT MAIN ENTR OF ST JAMES,BECKETT STREET,BURMANTOFTS,LEEDS,LS9 7TF,CR1,CAFE AND PREMISES,2010116360364.0
CLEAR CHANNEL UK LIMITED,15/08/2008,1200.0,0.0,0.0,0.0,£0.00,,N,N,,ADSHEL SITE REF 0704 1126,O/S ST JAMES HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CA,ADVERTISING RIGHT AND PREMISES,2010116480612.0
CLEAR CHANNEL UK LTD,02/06/2009,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADSHEL ADVERT RIGHT REF 0704 1169,FRONT OF 41 BECKETT STREET,BURMANTOFTS,LEEDS,LS9 7LP,CA,ADVERTISING RIGHT AND PREMISES,2010116490546.0
