ï»¿Title,"All staff (excluding non-academic atypical) by academic contract marker, activity standard occupational classification, atypical marker, nationality, mode of employment and sex and academic year",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Location,UK,,,,,,
Academic years,2014/15 to 2018/19,,,,,,
Data source,HESA,,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-2.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2014/15 non-atypical total,"403,835",,,,,,
2015/16 non-atypical total,"410,515",,,,,,
2016/17 non-atypical total,"419,710",,,,,,
2017/18 non-atypical total,"429,560",,,,,,
2018/19 non-atypical total,"439,955",,,,,,
2014/15 atypical total,"75,560",,,,,,
2015/16 atypical total,"72,020",,,,,,
2016/17 atypical total,"71,960",,,,,,
2017/18 atypical total,"68,845",,,,,,
2018/19 atypical total,"70,410",,,,,,
Last updated,Jan-20,,,,,,
,,,,,,,
,,,,,,,
Academic contract marker,Activity standard occupational classification,Mode of employment,Sex,Atypical marker,Nationality,Academic Year,Number
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Non-European Union,2014/15,5
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Non-European Union,2015/16,10
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Non-European Union,2016/17,5
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Non-European Union,2017/18,10
Academic contract,"Managers, directors and senior officials",Full-time,Female,Non-atypical,Non-European Union,2018/19,10
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Non-European Union,2014/15,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Non-European Union,2015/16,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Non-European Union,2016/17,0
Academic contract,"Managers, directors and senior officials",Part-time,Female,Non-atypical,Non-European Union,2017/18,0
