ï»¿Title,"All staff (excluding atypical) by academic contract marker, mode of employment, hourly paid marker, terms of employment, zero hours contract and sex",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Location,UK,,,,,
Academic years,2018/19,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-4,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-4.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2018/19 total,"439,955",,,,,
Last updated,Jan-20,,,,,
,,,,,,
,,,,,,
Academic contract marker,Mode of employment,Terms of employment,Zero hours contract,Sex,Hourly paid marker,Number
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Salaried,15505
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,385
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Other,5
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Total,15895
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Salaried,10665
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,7995
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Other,85
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Total,18745
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Salaried,26170
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,8380
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Other,90
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Total,34640
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,43500
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,165
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Other,10
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Total,43670
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,15720
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,4095
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Other,10
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Total,19830
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,59220
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,4260
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Other,20
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Total,63500
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Salaried,0
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Hourly paid,5
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Other,5
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Total,10
