ï»¿Title,"All staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, academic contract marker and activity standard occupational classification",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Location,UK,,,,
Academic years,2018/19,,,,
Data source,HESA,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-6,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb256/figure-6.csv,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,
Code page,Unicode UTF-8,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,
2018/19 academic total,"217,065",,,,
2018/19 non-academic total,"222,885",,,,
Last updated,Jan-20,,,,
,,,,,
,,,,,
Category Marker,Category,Country of HE Provider,Academic contract marker,Activity standard occupational classification,Number
Age Group,25 and under,England,Academic contract,"Managers, directors and senior officials",5
Age Group,25 and under,England,Academic contract,Professional occupations,4900
Age Group,25 and under,England,Academic contract,Associate professional and technical occupations,85
Age Group,25 and under,England,Academic contract,Clerical and manual occupations,0
Age Group,25 and under,England,Academic contract,Total academic staff,4990
Age Group,25 and under,England,Non-academic contract,"Managers, directors and senior officials ",45
Age Group,25 and under,England,Non-academic contract,Professional occupations ,1615
Age Group,25 and under,England,Non-academic contract,Associate professional and technical occupations ,3865
Age Group,25 and under,England,Non-academic contract,Administrative and secretarial occupations,6250
Age Group,25 and under,England,Non-academic contract,Skilled trades occupations,395
Age Group,25 and under,England,Non-academic contract,"Caring, leisure and other service occupations",1045
Age Group,25 and under,England,Non-academic contract,Sales and customer service occupations,370
Age Group,25 and under,England,Non-academic contract,"Process, plant and machine operatives",70
Age Group,25 and under,England,Non-academic contract,Elementary occupations,2800
Age Group,25 and under,England,Non-academic contract,Total non-academic staff,16450
Age Group,25 and under,Northern Ireland,Academic contract,"Managers, directors and senior officials",0
Age Group,25 and under,Northern Ireland,Academic contract,Professional occupations,60
Age Group,25 and under,Northern Ireland,Academic contract,Associate professional and technical occupations,15
Age Group,25 and under,Northern Ireland,Academic contract,Clerical and manual occupations,0
Age Group,25 and under,Northern Ireland,Academic contract,Total academic staff,75
Age Group,25 and under,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",0
Age Group,25 and under,Northern Ireland,Non-academic contract,Professional occupations ,10
Age Group,25 and under,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,10
Age Group,25 and under,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,85
Age Group,25 and under,Northern Ireland,Non-academic contract,Skilled trades occupations,10
Age Group,25 and under,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",10
Age Group,25 and under,Northern Ireland,Non-academic contract,Sales and customer service occupations,0
Age Group,25 and under,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Age Group,25 and under,Northern Ireland,Non-academic contract,Elementary occupations,20
Age Group,25 and under,Northern Ireland,Non-academic contract,Total non-academic staff,145
Age Group,25 and under,Scotland,Academic contract,"Managers, directors and senior officials",0
Age Group,25 and under,Scotland,Academic contract,Professional occupations,1425
