Title,Production Company,Director,Actor 1,Actor 2,Actor 3
Dark Passage,Warner Bros. Pictures,Delmer Daves,Humphrey Bogart,Lauren Bacal,Bruce Bennett
Sense8,"Unpronounceable Productions, LLC",The Wachowskis,Jamie Clayton,,
Looking,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
Looking Season 2 ep 210,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Panther,Gramercy Pictures,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,
So I Married an Axe Murderer,TriStar Pictures,Thomas Schlamme,Mike Myers,Nancy Travis,
Ballers Season 3,"Chori Perros Productions, LLC",Julian Farino,Dwayne Johnson,John David Washington,Omar Benson Miller
Chance Season 2,TVM Productions Inc.,Rozann Dawson,Hugh Laurie,Greta Lee,Ethan Suplee
Chance- Season 1 ep102,TVM Productions,Lenny Abrahamson,Hugh Laurie,Gretchen Mol,Ethan Suplee
Interview With The Vampire,Geffen Pictures,Neil Jordan,Brad Pitt,Christian Slater,Tom Cruise
About a Boy,NBC Studios,Mark J. Kunerth,David Walton,Minnie Driver,
"Murder in the First, Season 2",Turner North Center Productions,Steven Bochcho,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Americana,Sutro Films LLC,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Happy Gilmore,Brillstein-Grey Entertainment,Dennis Dugan,Adam Sandler,,
Boys and Girls,Punch 21 Productions,Robert Iscove,"Freddie Prinze, Jr.",Alyson Hannigan,
180,SPI Cinemas,Jayendra,Siddarth,Nithya Menon,Priya Anand
Americana,Sutro Films LLC,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Innerspace,Amblin Entertainment,Joe Dante,Dennis Quaid,Martin Short,Meg Ryan
Bicentennial Man,1492 Pictures,Chris Columbus,Robin Williams,,
"Looking ""Special""","Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Twisted,Paramount Pictures,Philip Kaufman,Ashley Judd,Samuel L. Jackson,
Freebie and the Bean,Warner Bros. Pictures,Richard Rush,Alan Arkin,James Caan,Loretta Swit
Steve Jobs,RDF Productions LLC,Danny Boyle,Michael Fassbender,Kate Winslet,Seth Rogen
Americana,Sutro Films LLC,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Sudden Impact,Warner Bros. Pictures,Clint Eastwood,Clint Eastwood,Sondra Locke,Pat Hingle
Jade,Paramount Pictures,William Friedkin,David Caruso,Linda Fiorentino,Chazz Palminteri
The Game,Polygram Filmed Entertainment,David Fincher,Michael Douglas,Sean Penn,Deborah Kara Unger
Getting Even with Dad,Metro-Goldwyn-Mayer (MGM),Howard Deutch,Macaulay Culkin,Ted Danson,
The Assassination of Richard Nixon,Anhelo Productions,Niels Mueller,Sean Penn,Naomi Watts,
Doctor Dolittle,Twentieth Century Fox Film Cooperation,Betty Thomas,Eddie Murphy,Ossie Davis,
Chance- Season 1 ep102,TVM Productions,Lenny Abrahamson,Hugh Laurie,Gretchen Mol,Ethan Suplee
Sausalito,B.O.B and Partners,Andrew Lau,Maggie Cheung,Leon Lai,
Americana,Sutro Films LLC,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
The Last Black Man in San Francisco,"LBMISF, LLC",Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover
Experiment in Terror,Columbia Pictures Corporation,Blake Edwards,Glenn Ford,Lee Remick,Stefanie Powers
Sudden Fear,Joseph Kaufmann Pictures,David Miller,Joan Crawford,Jack Palance,Gloria Grahame
Americana,Sutro Films LLC,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
The Diary of a Teenage Girl,"Diary the Movie, LLC",Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Assassination of Richard Nixon,Anhelo Productions,Niels Mueller,Sean Penn,Naomi Watts,
When We Rise,Film 49 Productions,Gus Van Sant,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
The Birds,Universal Pictures,Alfred Hitchcock,Tippi Hedren,Suzanne Pleshette,Rod Taylor
The Competition,Columbia Pictures Corporation,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick
When We Rise,Film 49 Productions,Gus Van Sant,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
The Maltese Falcon,Warner Bros. Pictures,John Huston,Humphrey Bogart,Mary Astor,Gladys George
The Game,Polygram Filmed Entertainment,David Fincher,Michael Douglas,Sean Penn,Deborah Kara Unger
Etruscan Smile,"Po Valley Productions, LLC",Oded Binnun/ Michel Brezis,Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep102,TVM Productions,Lenny Abrahamson,Hugh Laurie,Gretchen Mol,Ethan Suplee
Looking Season 2 ep 205,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 210,"Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Venom,"L.O.Z. Productions, Inc.",Ruben Fleischer,Tom Hardy,Michelle Wiliams,Riz Ahmed
Chance - Season 1 Pilot,TVM Productions,Lenny Abrahamson,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep103,TVM Productions,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
Milk,Focus Features,Gus Van Sant,Sean Penn,Emile Hirsch,
Chance Season 2,TVM Productions Inc.,Rozann Dawson,Hugh Laurie,Greta Lee,Ethan Suplee
Terminator - Genisys,T5 Productions LLC,Alan Taylor,Arnold Schwarzenegger,Jason Clarke,
So I Married an Axe Murderer,TriStar Pictures,Thomas Schlamme,Mike Myers,Nancy Travis,
Quitters,"Frederick & Ashbury, LLC.",Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
Chance- Season 1 ep104,TVM Productions,Carl Franklin,Hugh Laurie,Gretchen Mol,Ethan Suplee
Beautiful Boy,Big Indie Pictures,Felix van Groeningen,Steve Carell,Timothee Chalamet,Maura Tierney
Chance- Season 1 ep107,TVM Productions,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Jade,Paramount Pictures,William Friedkin,David Caruso,Linda Fiorentino,Chazz Palminteri
Chance- Season 1 ep106,TVM Productions,Sara Gran,Hugh Laurie,Gretchen Mol,Ethan Suplee
The Master,H.H. Project,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,
It Came From Beneath the Sea,Clover Productions,Robert Gordon,Kenneth Tobey,Faith Domergue,Donald Curtis
San Andreas,"Upside Down Productions, Inc.",Brad Peyton,Dwayne Johnson,,
Chance- Season 1 ep106,TVM Productions,Sara Gran,Hugh Laurie,Gretchen Mol,Ethan Suplee
Blue Jasmine,Perdido Productions,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
San Andreas,"Upside Down Productions, Inc.",Brad Peyton,Dwayne Johnson,,
"Looking ""Special""","Mission Street Productions, LLC",Andrew Haigh,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Milk,Focus Features,Gus Van Sant,Sean Penn,Emile Hirsch,
Sense8 - Season 2,"Unpronounceable Productions, LLC",Wachowski Siblings,Jamie Clayton,Daryl Hannah,Naveen Andrews
Magnum Force,The Malpaso Company,Ted Post,Clint Eastwood,Hal Holbrook,Mitchell Ryan
Maxie,Elsboy Entertainment,Paul Aaron,Glenn Close,Mandy Patinkin,Ruth Gordon
180,SPI Cinemas,Jayendra,Siddarth,Nithya Menon,Priya Anand
Ant-Man,"PYM Particles Productions, LLC",Peyton Reed,Michael Douglas,Paul Rudd,
Sense8,"Unpronounceable Productions, LLC",The Wachowskis,Jamie Clayton,,
The OA Part II,Lunar Mining LLC,Zal Batmanglij,Brit Marling,Emory Cohen,Patrick Gibson
