Title,Release Year,Production Company,Distributor,Director,Writer,Actor 1
Bullitt,1968,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen
Terminator - Genisys,2015,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger
Quitters,2015,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward
Looking Season 2 ep 208,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Gentleman Jim,1942,Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner
Looking Season 2 ep 209,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Fearless,1993,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges
Foul Play,1978,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Hereafter,2010,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon
Chance- Season 1 ep110,2016,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie
Foul Play,1978,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Sphere,1998,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer,Dustin Hoffman
Chance- Season 1 ep102,2016,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham ,Hugh Laurie
Foul Play,1978,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
Just One Night,2000,Panoptic Pictures,First Look International,Alan Jacobs,Alan Jacobs,Timothy Hutton
Looking Season 2 ep 203,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Twisted,2004,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd
American Yearbook,2004,All Planet Studios,,Brian Ging,Brian Ging,Nick Tagas
Summertime,2015,"Creative Monster Productions, Inc.",3 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe
Terminator - Genisys,2015,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger
Fearless,1993,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges
Alcatraz,2012,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones
Ant-Man,2015,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas
The Wedding Planner,2001,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez
The Last of the Gladiators,1988,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
Chance- Season 1 ep109,2016,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie
"Murder in the First, Season 3",2016,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
"Looking ""Special""",2016,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Chance- Season 1 ep103,2016,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie
The Presidio,1988,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
The Caine Mutiny,1954,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart
Final Analysis,1992,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Foul Play,1978,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn
The Competition,1980,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss
Red Widow,2013,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell
Ant-Man and the Wasp,2018,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd
Looking,2014,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner
When We Rise,2017,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce
The Enforcer,1976,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood
Fearless,1993,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges
Quitters,2015,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward
Looking Season 2 ep 208,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Nine Months,1995,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant
The Lineup,1958,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach
Steve Jobs,2015,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender
"Budding Prospects, Pilot",2017,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose
Basic Instinct,1992,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Ant-Man,2015,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas
Copycat,1995,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver
"Looking ""Special""",2016,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
Experiment in Terror,1962,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
Steve Jobs,2015,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender
The Bachelor,1999,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell
Birth of the Dragon,2016,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs
Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
The Wedding Planner,2001,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez
Americana,2015,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner
Ballers Season 3,2017,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson
I Am Michael,2015,Thatâs Hollywood,,Justin Kelly,Justin Kelly,James Franco
Boys and Girls,2000,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr."
Time After Time,1979,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin
Fearless,1993,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges
Tales of the City,2019,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney
The Last Black Man in San Francisco,2019,"LBMISF, LLC",A35,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails
"Looking ""Special""",2016,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff
The OA Part II,2019,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling
Homeward Bound II: Lost in San Francisco,1996,Walt Disney Pictures,Buena Vista Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox
Bitter Melon,2018,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider
Jade,1995,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Boys and Girls,2000,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr."
Quitters,2015,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
Bullitt,1968,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen
Terminator - Genisys,2015,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger
Americana,2015,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner
