Greener Homes Program - Eligible Ground Source Heat Pumps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Note- Direct Expansion systems are not eligible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL- Closed loop,,,,,,,,,,,,,,,,
OL - Open loop,,,,,,,,,,,,,,,,
COP - Coefficient of performance,,,,,,,,,,,,,,,,
,,,CLOSED LOOP (CL),,,,,,OPEN LOOP (OL),,,,,,,
AHRI Certified Reference No.,Brand name,Model number,"CL Cooling capacity
kW", CL Cooling capacity Btu/hour,"CL Heating capacity
kW","CL Heating capacity
Btu/hour",CL COP cooling ,CL COP heating,"OL Cooling capacity
kW","OL Cooling capacity
Btu/hour","OL Heating capacity 
kW","OL Heating capacity
Btu/hour",OL COP cooling,OL COP heating,,
10581108,5 Series,NDP026H1*1,7.27,24800,5.66,19300,5.25,3.9,7.68,26200,6.98,23800,6.59,4.7,,
10581109,5 Series,"NDP038H1*(1,2)",11.2,38200,8.29,28300,5.77,4.1,11.72,40000,10.17,34700,7.15,4.8,,
10581110,5 Series,NDP049H1*1,14.77,50400,11.14,38000,5.57,4,15.77,53800,13.75,46900,7.12,4.5,,
10581111,5 Series,NDP064H1*1,18.32,62500,13.57,46300,5.33,3.8,19.78,67500,17.06,58200,6.77,4.5,,
10581112,5 Series,NDP072H1*1,21.01,71700,16.24,55400,4.87,3.7,22.68,77400,20.69,70600,6.3,4.3,,
8849312,5 Series,"NDV/NDH026H1*(1,4)",7.74,26400,5.71,19500,5.74,4,8.12,27700,7,23900,7.03,4.8,,
202350098,5 Series,"NDV/NDH038J1*(1,2,4)",11.2,38200,8.35,28500,5.77,4.2,11.72,40000,10.26,35000,7.15,4.9,,
8560805,5 Series,"NSV/NSH060H1*(1,4)",18.23,62200,14.04,47900,5.39,4,19.61,66900,17.35,59200,7.12,4.7,,
8560797,5 Series,NSV/NSH060H1*0,18.26,62300,13.51,46100,5.1,3.7,19.52,66600,16.79,57300,6.68,4.4,,
206599760,5 Series,"NSV/NSH060J1*(1,4)*",18.23,62200,14.04,47900,5.39,4,19.61,66900,17.35,59200,7.12,4.7,,
206599757,5 Series,NSV/NSH060J1*0*,18.26,62300,13.51,46100,5.1,3.7,19.52,66600,16.79,57300,6.68,4.4,,
10271778,5 Series Indoor Splits,NDZ026H1,6.86,23400,5.39,18400,5.13,3.7,7.56,25800,6.83,23300,6.74,4.6,,
10271930,5 Series Indoor Splits,NDZ026H1,6.86,23400,5.39,18400,5.13,3.7,7.56,25800,6.83,23300,6.74,4.6,,
204835632,5 Series Indoor Splits,NDZ038J1,10.55,36000,8.18,27900,5.57,4,11.2,38200,10.29,35100,7.09,4.7,,
202326797,5 Series Indoor Splits,NDZ038J1,10.55,36000,8.18,27900,5.57,4,11.2,38200,10.29,35100,7.09,4.7,,
203466717,5 Series Indoor Splits,NDZ049J1,13.57,46300,11.05,37700,5.28,3.9,14.95,51000,13.8,47100,7.09,4.6,,
203471325,5 Series Indoor Splits,NDZ049J1,13.57,46300,11.05,37700,5.28,3.9,14.95,51000,13.8,47100,7.09,4.6,,
204100659,5 Series Indoor Splits,NDZ064J1,16.82,57400,13.25,45200,4.98,3.7,18.52,63200,16.41,56000,6.59,4.4,,
204100658,5 Series Indoor Splits,NDZ064J1,16.82,57400,13.25,45200,4.98,3.7,18.52,63200,16.41,56000,6.59,4.4,,
10384620,5 Series Indoor Splits,NDZ072H1,18.4,62800,15.68,53500,4.69,3.5,20.51,70000,19.78,67500,6.45,4.1,,
10271926,5 Series Indoor Splits,NDZ072H1,18.4,62800,15.68,53500,4.69,3.5,20.51,70000,19.78,67500,6.45,4.1,,
10271959,5 Series Indoor Splits,NSZ022H1,5.48,18700,4.1,14000,5.6,3.8,5.98,20400,5.3,18100,7.77,4.8,,
10271961,5 Series Indoor Splits,NSZ022H1,5.48,18700,4.1,14000,5.6,3.8,5.98,20400,5.3,18100,7.77,4.8,,
10271985,5 Series Indoor Splits,NSZ030H1,7.21,24600,5.8,19800,5.54,3.9,7.88,26900,7.3,24900,7.5,4.8,,
10271981,5 Series Indoor Splits,NSZ030H1,7.21,24600,5.8,19800,5.54,3.9,7.88,26900,7.3,24900,7.5,4.8,,
205129920,5 Series Indoor Splits,NSZ036J1,8.97,30600,6.77,23100,5.98,4,9.73,33200,8.67,29600,8.03,4.9,,
202262237,5 Series Indoor Splits,NSZ036J1,8.97,30600,6.77,23100,5.98,4,9.73,33200,8.67,29600,8.03,4.9,,
205782086,5 Series Indoor Splits,NSZ042J1,11.08,37800,8.03,27400,5.72,3.9,12.1,41300,10.55,36000,7.5,4.8,,
202262238,5 Series Indoor Splits,NSZ042J1,11.08,37800,8.03,27400,5.72,3.9,12.1,41300,10.55,36000,7.5,4.8,,
10272008,5 Series Indoor Splits,NSZ048H1,12.46,42500,9.79,33400,5.48,4,13.75,46900,12.28,41900,7.47,4.7,,
10272006,5 Series Indoor Splits,NSZ048H1,12.46,42500,9.79,33400,5.48,4,13.75,46900,12.28,41900,7.47,4.7,,
206608718,5 Series Indoor Splits,NSZ048J1*,12.46,42500,9.79,33400,5.48,4,13.75,46900,12.28,41900,7.47,4.7,,
206608717,5 Series Indoor Splits,NSZ048J1*,12.46,42500,9.79,33400,5.48,4,13.75,46900,12.28,41900,7.47,4.7,,
10272012,5 Series Indoor Splits,NSZ060H1,16.5,56300,12.9,44000,5.19,3.7,18.08,61700,15.97,54500,6.92,4.3,,
10272014,5 Series Indoor Splits,NSZ060H1,16.5,56300,12.9,44000,5.19,3.7,18.08,61700,15.97,54500,6.92,4.3,,
206608722,5 Series Indoor Splits,NSZ060J1*,16.5,56300,12.9,44000,5.19,3.7,18.08,61700,15.97,54500,6.92,4.3,,
206608721,5 Series Indoor Splits,NSZ060J1*,16.5,56300,12.9,44000,5.19,3.7,18.08,61700,15.97,54500,6.92,4.3,,
10272021,5 Series Indoor Splits,NSZ070H1,17.73,60500,14.86,50700,5.01,3.6,19.46,66400,18.2,62100,6.36,4.1,,
10384616,5 Series Indoor Splits,NSZ070H1,17.73,60500,14.86,50700,5.01,3.6,19.46,66400,18.2,62100,6.36,4.1,,
10272215,5 Series Outdoor Splits,NDS026H1,6.86,23400,5.39,18400,5.13,3.7,7.56,25800,6.83,23300,6.74,4.6,,
10272216,5 Series Outdoor Splits,NDS026H1,6.86,23400,5.39,18400,5.13,3.7,7.56,25800,6.83,23300,6.74,4.6,,
202326829,5 Series Outdoor Splits,NDS038J1,10.55,36000,8.18,27900,5.57,4,11.2,38200,10.29,35100,7.09,4.7,,
204835633,5 Series Outdoor Splits,NDS038J1,10.55,36000,8.18,27900,5.57,4,11.2,38200,10.29,35100,7.09,4.7,,
