Greener Homes Program - Eligible Oil Boilers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Note- These systems are eligible only in specific circumstances in Northern and remote communities.  Check Greener Homes Program ,,,,
eligibility criteria to confirm the installation location would qualify for the incentive,,,,
,,,,
AFUE- annual fuel utilization efficiency,,,,
ENERGY STAR Unique ID,Brand Name,Model Name,Model Number," AFUE (%)
Efficiency"
2222415,Buderus,Buderus,G115WS/3,87
2222409,Buderus,Buderus,G115WS/4,87
2222410,Buderus,Buderus,G115WS/5,87
2222411,Buderus,Buderus,G215/3,87
2222412,Buderus,Buderus,G215/4,87
2222413,Buderus,Buderus,G215/5,87
2222414,Buderus,Buderus,G215/6,87
2313968,Crown Boiler,Freeport II,FWZ100,87
2313969,Crown Boiler,Freeport II,FWZ130,87
2313970,Crown Boiler,Freeport II,FWZ160,87
2374083,Crown Boiler,Tobago 2,TWB065,87
2374084,Crown Boiler,Tobago 2,TWB075,87
2374085,Crown Boiler,Tobago 2,TWB125,87
2366829,Peerless,EC,EC(T)-E-03-075-W,87
2313477,Peerless,WBV,WBV-03-060-W,87
2313476,Peerless,WBV,WBV-04-095-W,87
2364969,Peerless,WBV,WBV-E-03-060-W,87
2362910,Peerless,WBV,WBV-E-03-085-W,87
2364970,Peerless,WBV,WBV-E-04-095-W,87
2362911,Peerless,WBV,WBV-E-04-125-W,87
2313513,Pensotti,Quatech DK2-3,DK2-3,87
2313516,Pensotti,Quatech DK2-4,DK2-4,87
2313512,Pensotti,Quatech DK2-6,DK2-6,87
2313515,Pensotti,Quatech DK2-7,DK2-7,87
2313514,Pensotti,Quatech DK2-8,DK2-8,87
2239363,BIASI,B10,B10/3,87
2239364,BIASI,B10,B10/4,87
2239365,BIASI,B10,B10/5,87
2239366,BIASI,B10,B10/6,87
2239367,BIASI,B10,B10/7,87
2239368,BIASI,B10,B10/8,87
2239369,BIASI,B10,B10/9,87
2246605,BIASI,SG/3,SG/3,87
2246606,BIASI,SG/4,SG/4,87
2246607,BIASI,SG/5,SG/5,87
2246608,BIASI,SG/6,SG/6,87
2246609,BIASI,SG/7,SG/7,87
2313539,Slant/Fin,Eutectic EC-10,EC-15P,87
2313540,Slant/Fin,Eutectic EC-10,EC-16P,87
2313520,Slant/Fin,Eutectic EC-10DV,EC-15DV,87
2313521,Slant/Fin,Eutectic EC-10DV,EC-16DV,87
2313528,Slant/Fin,Intrepid TRDV,TRDV-30-0.85,87
2313529,Slant/Fin,Intrepid TRDV,TRDV-30-0.85P,87
2313530,Slant/Fin,Intrepid TRDV,TRDV-30-0.85PT,87
2313545,Slant/Fin,Q3 Series,Q3-4,87
2313546,Slant/Fin,Q3 Series,Q3-5,87
2313547,Slant/Fin,Q3 Series,Q3-6,87
2313548,Slant/Fin,Q3 Series,Q3-7,87
2314107,Burnham by U.S. Boiler,V8H,V8H3WRD,87
2314111,Burnham by U.S. Boiler,V8H,V8H3WRD-T,87
2314108,Burnham by U.S. Boiler,V8H,V8H4WRD,87
2314112,Burnham by U.S. Boiler,V8H,V8H4WRD-T,87
2314109,Burnham by U.S. Boiler,V8H,V8H5WRD,88
2314113,Burnham by U.S. Boiler,V8H,V8H5WRD-T,88
2314110,Burnham by U.S. Boiler,V8H,V8H6WRD,87
2314114,Burnham by U.S. Boiler,V8H,V8H6WRD-T,87
2313400,Viessmann,Vitorond 100,VR1-105,87
2313401,Viessmann,Vitorond 100,VR1-140,87
2313402,Viessmann,Vitorond 100,VR1-161,87
2313403,Viessmann,Vitorond 100,VR1-196,87
2313404,Viessmann,Vitorond 100,VR1-245,87
2313399,Viessmann,Vitorond 100,VR1-91,87
2312423,Weil-McLain,Ultra Oil,UO-3E,87
2312422,Weil-McLain,Ultra Oil,UO-3RE,87
2312424,Weil-McLain,Ultra Oil,UO-4E,87
2312425,Weil-McLain,Ultra Oil,UO-5E,87
2312426,Weil-McLain,WGO,WGO-2RD,87
2312427,Weil-McLain,WGO,WGO-3RD,87
2312428,Weil-McLain,WGO,WGO-4RD,87
2312429,Weil-McLain,WGO,WGO-5RD,87
2312430,Weil-McLain,WGO,WGO-6RD,87
2312431,Weil-McLain,WGO,WGO-7RD,87
2312436,Weil-McLain,WTGO,WTGO-3RD,87
2312435,Weil-McLain,WTGO,WTGO-4RD,87
2312434,Weil-McLain,WTGO,WTGO-5RD,87
2312433,Weil-McLain,WTGO,WTGO-6RD,87
2312432,Weil-McLain,WTGO,WTGO-7RD,87
