Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,00008292(CRD),-226.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,588947,776.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,07/06/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,591756,867.52,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2011,Training,Innovation Directorate,Personal expenses name witheld,50025,5.95,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2011,Training,International Policy Directorate,B Zhang,I.GREENE,30.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2011,Training,Innovation Directorate,BPP Learning Media Ltd,SIZLM125319,50.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Innovation Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Copyright and IP Enforcement Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Business Support Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Business Support Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Patents Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Patents Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Patents Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Trade Marks Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Trade Marks Directorate,Business Language Services Ltd,10748,53.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/06/2011,Training,International Policy Directorate,Express by Holiday Inn Newport,2011004141,57.0,Not applicable
