Department family,Entity,Date,Expense type, Expense area ,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence Overseas, Business Support Directorate ,Eurostar,TARTH036,-449.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Minor Buiding Works & Maintenance, Business Support Directorate ,Howdens,yjohn362,-67.56,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence Overseas, Patents Directorate ,NCP Birmingham,HHART19,-40.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Business Support Directorate ,Carlson Wagonlit,MHUMP38,-3.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Business Support Directorate ,Carlson Wagonlit,MHUMP37,0.04,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Business Support Directorate ,Carlson Wagonlit,MHUMP36,0.32,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Minor Buiding Works & Maintenance, Business Support Directorate ,Newey & Eyre,ethib 262,4.14,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Business Support Directorate ,Carlson,MHUMP35,4.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Office Supplies, Business Support Directorate ,Asda,yjohn361,6.72,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Office Supplies, Business Support Directorate ,Counterplace,yjohn368,7.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Other Stationery & General Supplies, Business Support Directorate ,Techstore,ANBEC146,7.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Business Support Directorate ,TFL/CC ,MHUMP34,8.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Books  Newspapers & Publications, Trade Marks Directorate ,Bournemouth Uni,SLURV024,8.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Innovation Directorate ,NCP Limited,ERICH09,12.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Minor Buiding Works & Maintenance, Business Support Directorate ,Newey & Eyre,yjohn367,13.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Travel and subsistence UK, Finance Directorate ,National Express,MHUMP39,15.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Other Stationery & General Supplies, Business Support Directorate ,Buy Stationery,ANBEC153,15.91,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2010,Training, Innovation Directorate ,Eurogamer Expo 2010 ,NI20,16.0,Not recorded
