Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Trade Marks Directorate,Amazon,SLURV013,9.74,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Trade Marks Directorate,GOOGLE.COM,SLURV011,9.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Innovation Directorate,Waterstones,JWIL41,14.39,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Trade Marks Directorate,W H SMITH Direct,SLURV016,14.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Trade Marks Directorate,W H SMITH Direct,SLURV012,19.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Trade Marks Directorate,W H SMITH Direct,SLURV015,20.78,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Finance Directorate,Amazon,MHUMP11,35.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,Patents Directorate,Amazon,HHART20,364.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Books Newspapers & Publications,SABIP,MusicAlly Ltd,1914,468.83,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer Capital,Business Support Directorate,www.proav.co.uk,TTHOM0897,938.26,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer Hardware,Business Support Directorate,IBM UK Ltd,7303100420,174506.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Website tool box,TTHOM0894,4.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,websitepulse,ROMOU223,25.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Meeting Zone,ROMOU222,154.14,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Vodafone,ROMOU224,240.87,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Nuance,TTHOM0902,551.73,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Specialist Computer Centres Plc,OP/L118236,1381.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Innovation Directorate,Roxority ,nrega057,2480.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Computer hardware and software,Business Support Directorate,Sitemorse Ltd,SM3303,3519.13,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Corporate Membership,Business Support Directorate,Intellectual Property Institute,MS142,4300.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Corporate Membership,Business Support Directorate,Whitehall & Industry Group,2100160,4641.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Courier service,Innovation Directorate,Amazon.co.uk,ANBEC104,8.14,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Courier service,Innovation Directorate,Amazon.co.uk,ANBEC108,12.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Furniture & Fittings,Business Support Directorate,Healthy Workstations Ltd,18704,1217.78,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Healthcare,Business Support Directorate,Connaught Compliance Services Ltd,OP/I262987,146.88,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,Lewis Day Transport,DHUM,6.11,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,Lewis Day Transport,DHUM,14.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,Post Office Ltd,DHUM,20.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,Lewis Day Transport,DHUM,160.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,Lewis Day Transport,DHUM,177.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,DT Creed,DCREED29/03/10,180.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,C Handke,EXPENSES 26-28.10.09,561.61,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IPAC,SABIP,MusicAlly Ltd,1916,881.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA143977,2006.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA143976,3823.62,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA143975,7606.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Law Reporting,Trade Marks Directorate,Marten Walsh Cherer Ltd,71582,1647.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Maintenance of computers,Business Support Directorate,Gresham Computer Services Ltd,SIN048719,10925.31,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Marketing and Publicity ,Innovation Directorate,Stanco,EBREN est y/e1,123.38,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,RS Compnents,yjohn321,7.19,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Espares .co.uk,yjohn315,10.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Plumb Centre,Maurice 357,16.43,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,BOC,ethib 192,17.09,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Colour Centre,yjohn316,19.02,Not recorded
