Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Eyecare,Business Support Directorate,Personal expenses name witheld,48032,20.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Int Co-operation,International Policy Directorate,Personal expenses name witheld,48037,782.06,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Int Co-operation,International Policy Directorate,Personal expenses name witheld,48038,970.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA147059,1665.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA147060,11393.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Minor Building Works & Maintenance,Business Support Directorate,ZIP Heaters (UK) Ltd,195156,137.59,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Minor Building Works & Maintenance,Business Support Directorate,WG Evans Grounds Maintenance  Ltd,15428,370.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Postage,Business Support Directorate,Royal Mail,9029348408,1076.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Security Guards,Business Support Directorate,Insolvency Service,595/2010,1404.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Security Guards,Business Support Directorate,Insolvency Service,594/2010,2808.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Telephone Rentals and Call Charges,Business Support Directorate,Vodafone Corporate Ltd,55189571,18166.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Training,Business Support Directorate,Certitec Ltd,9286,659.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Training,Business Support Directorate,Certitec Ltd,9286,659.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Travel and subsistence Overseas,Patents Directorate,Personal expenses name witheld,48033,448.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48036,9.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48040,27.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48039,94.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2010,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,48035,103.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Agency Staff,International Policy Directorate,Adecco UK Ltd,25316168,593.57,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Agency Staff,International Policy Directorate,Adecco UK Ltd,25316166,817.07,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Agency Staff,International Policy Directorate,Adecco UK Ltd,25316167,877.83,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Entertainment,SABIP,Personal expenses name witheld,48049,41.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Furniture & Fittings,Business Support Directorate,Healthy Workstations Ltd,18938,6760.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Law Reporting,Trade Marks Directorate,Mendip Media Group Ltd,48451,349.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Law Reporting,Patents Directorate,Mendip Media Group Ltd,48450,389.6,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Law Reporting,Trade Marks Directorate,Mendip Media Group Ltd,48452,443.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208745,-2349.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208741,-13.65,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208740,-13.22,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208742,3.83,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208742,3.83,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208996,19.73,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF208996,19.73,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF209955,239.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF209954,373.54,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF191915,2349.21,Not recorded
