Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (Â£),Payscale Maximum (Â£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Department for Transport,Trinity House,Operations Directorate,TH03,Captain,53952,58435,Captain,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Chief Engineer,49772,54235,Chief Engineer,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Commander - RIV,43174,46504,Commander - RIV,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Engineering Officer - RIV,42276,45605,Engineering Officer - RIV,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Electronic Technical Officer,40183,43513,Electronic Technical Officer,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,First Officer,40183,43513,First Officer,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Engineer,40183,43513,Second Engineer,6.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Officer,34549,38953,Second Officer,12.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Officer - RIV,35718,40119,Second Officer - RIV,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Third Engineer,34549,38953,Third Engineer,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Boatswain,32320,35328,Boatswain,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Catering Manager,30102,31912,Catering Manager,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Engine Room Assistant,29034,31912,Engine Room Assistant,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Carpenter,29034,29864,Carpenter,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Petty Officer Deck,29034,29864,Petty Officer Deck,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Cook,29034,29864,Cook,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Mechanic AB,29532,29532,Mechanic AB,4.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Seaman,24577,28169,Seaman,20.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Second Officer - Auxiliary,34549,38953,Second Officer - Auxiliary,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Seaman - Auxiliary,24577,28169,Seaman - Auxiliary,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Electronic Technical Officer - Auxiliary,40183,43513,Electronic Technical Officer - Auxiliary,2.0,Operational Delivery
Department for Transport,Trinity House,Operations Directorate,TH03,Third Officer - Auxiliary,30981,31920,Third Officer - Auxiliary,2.0,Operational Delivery
Department for Transport,Trinity House,Finance & Support Service,TH04,SM2,59964,72000,Financial Manager,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,SM1,51552,59964,Financial Controller,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,D,26712,33072,Assistant Accountant,1.81,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,B,18744,23208,Finance Administrator,3.6,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,E,33072,44064,Supplies Manager (Swansea),1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,F,44064,51552,Supply Chain Manager,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,B,18744,23208,Receptionist,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,E,33072,44064,Senior Buyer,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,D,26712,33072,Buyer,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,B,18744,23208,Trainee Buyer,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,C,23208,26712,Senior Procurement Administrator,1.0,Finance
Department for Transport,Trinity House,Finance & Support Service,TH04,B,18744,23208,Purchasing Administrator,3.0,Finance
