Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
22/07/1999 00:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 00:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 01:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 01:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 02:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 02:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 03:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 03:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 04:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 04:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 05:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 05:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 06:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 06:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 07:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 07:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 08:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 08:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 09:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 09:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 11:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
22/07/1999 11:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
22/07/1999 12:00,70301,1,60,1,Northbound,1,NorthEast,55,0,,1,0,
22/07/1999 12:00,70301,1,60,2,Southbound,2,SouthWest,44,0,,1,0,
22/07/1999 13:00,70301,1,60,1,Northbound,1,NorthEast,83,0,,1,0,
22/07/1999 13:00,70301,1,60,2,Southbound,2,SouthWest,49,0,,1,0,
22/07/1999 14:00,70301,1,60,1,Northbound,1,NorthEast,87,0,,1,0,
22/07/1999 14:00,70301,1,60,2,Southbound,2,SouthWest,95,0,,1,0,
22/07/1999 15:00,70301,1,60,1,Northbound,1,NorthEast,75,0,,1,0,
22/07/1999 15:00,70301,1,60,2,Southbound,2,SouthWest,79,0,,1,0,
22/07/1999 16:00,70301,1,60,1,Northbound,1,NorthEast,85,0,,1,0,
22/07/1999 16:00,70301,1,60,2,Southbound,2,SouthWest,118,0,,1,0,
22/07/1999 17:00,70301,1,60,1,Northbound,1,NorthEast,83,0,,1,0,
22/07/1999 17:00,70301,1,60,2,Southbound,2,SouthWest,132,0,,1,0,
22/07/1999 18:00,70301,1,60,1,Northbound,1,NorthEast,74,0,,1,0,
22/07/1999 18:00,70301,1,60,2,Southbound,2,SouthWest,85,0,,1,0,
22/07/1999 19:00,70301,1,60,1,Northbound,1,NorthEast,46,0,,1,0,
22/07/1999 19:00,70301,1,60,2,Southbound,2,SouthWest,50,0,,1,0,
22/07/1999 20:00,70301,1,60,1,Northbound,1,NorthEast,34,0,,1,0,
22/07/1999 20:00,70301,1,60,2,Southbound,2,SouthWest,39,0,,1,0,
22/07/1999 21:00,70301,1,60,1,Northbound,1,NorthEast,25,0,,1,0,
22/07/1999 21:00,70301,1,60,2,Southbound,2,SouthWest,22,0,,1,0,
22/07/1999 22:00,70301,1,60,1,Northbound,1,NorthEast,12,0,,1,0,
22/07/1999 22:00,70301,1,60,2,Southbound,2,SouthWest,21,0,,1,0,
22/07/1999 23:00,70301,1,60,1,Northbound,1,NorthEast,11,0,,1,0,
22/07/1999 23:00,70301,1,60,2,Southbound,2,SouthWest,11,0,,1,0,
23/07/1999 00:00,70301,1,60,1,Northbound,1,NorthEast,6,0,,1,0,
23/07/1999 00:00,70301,1,60,2,Southbound,2,SouthWest,5,0,,1,0,
23/07/1999 01:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
