Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
07/08/2007 00:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 00:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 01:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 01:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 02:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 02:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 03:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 03:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 04:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 04:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 05:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 05:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 06:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 06:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 07:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 07:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 08:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 08:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 09:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 09:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 10:00,70301,1,60,1,Northbound,1,NorthEast,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 10:00,70301,1,60,2,Southbound,2,SouthWest,-1,2048,Bad data,1,0,,,,,,,,,,,,,
07/08/2007 11:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,,,,,,,,,,,,,
07/08/2007 11:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,,,,,,,,,,,,,
07/08/2007 12:00,70301,1,60,1,Northbound,1,NorthEast,113,0,,1,0,,,,,,,,,,,,,
07/08/2007 12:00,70301,1,60,2,Southbound,2,SouthWest,40,0,,1,0,,,,,,,,,,,,,
07/08/2007 13:00,70301,1,60,1,Northbound,1,NorthEast,124,0,,1,0,,,,,,,,,,,,,
07/08/2007 13:00,70301,1,60,2,Southbound,2,SouthWest,74,0,,1,0,,,,,,,,,,,,,
07/08/2007 14:00,70301,1,60,1,Northbound,1,NorthEast,96,0,,1,0,,,,,,,,,,,,,
07/08/2007 14:00,70301,1,60,2,Southbound,2,SouthWest,112,0,,1,0,,,,,,,,,,,,,
07/08/2007 15:00,70301,1,60,1,Northbound,1,NorthEast,79,0,,1,0,,,,,,,,,,,,,
07/08/2007 15:00,70301,1,60,2,Southbound,2,SouthWest,110,0,,1,0,,,,,,,,,,,,,
07/08/2007 16:00,70301,1,60,1,Northbound,1,NorthEast,110,0,,1,0,,,,,,,,,,,,,
07/08/2007 16:00,70301,1,60,2,Southbound,2,SouthWest,135,0,,1,0,,,,,,,,,,,,,
07/08/2007 17:00,70301,1,60,1,Northbound,1,NorthEast,98,0,,1,0,,,,,,,,,,,,,
07/08/2007 17:00,70301,1,60,2,Southbound,2,SouthWest,157,0,,1,0,,,,,,,,,,,,,
07/08/2007 18:00,70301,1,60,1,Northbound,1,NorthEast,77,0,,1,0,,,,,,,,,,,,,
07/08/2007 18:00,70301,1,60,2,Southbound,2,SouthWest,131,0,,1,0,,,,,,,,,,,,,
07/08/2007 19:00,70301,1,60,1,Northbound,1,NorthEast,53,0,,1,0,,,,,,,,,,,,,
07/08/2007 19:00,70301,1,60,2,Southbound,2,SouthWest,53,0,,1,0,,,,,,,,,,,,,
07/08/2007 20:00,70301,1,60,1,Northbound,1,NorthEast,37,0,,1,0,,,,,,,,,,,,,
07/08/2007 20:00,70301,1,60,2,Southbound,2,SouthWest,45,0,,1,0,,,,,,,,,,,,,
07/08/2007 21:00,70301,1,60,1,Northbound,1,NorthEast,38,0,,1,0,,,,,,,,,,,,,
07/08/2007 21:00,70301,1,60,2,Southbound,2,SouthWest,33,0,,1,0,,,,,,,,,,,,,
07/08/2007 22:00,70301,1,60,1,Northbound,1,NorthEast,12,0,,1,0,,,,,,,,,,,,,
07/08/2007 22:00,70301,1,60,2,Southbound,2,SouthWest,19,0,,1,0,,,,,,,,,,,,,
07/08/2007 23:00,70301,1,60,1,Northbound,1,NorthEast,12,0,,1,0,,,,,,,,,,,,,
07/08/2007 23:00,70301,1,60,2,Southbound,2,SouthWest,4,0,,1,0,,,,,,,,,,,,,
08/08/2007 00:00,70301,1,60,1,Northbound,1,NorthEast,6,0,,1,0,,,,,,,,,,,,,
08/08/2007 00:00,70301,1,60,2,Southbound,2,SouthWest,4,0,,1,0,,,,,,,,,,,,,
08/08/2007 01:00,70301,1,60,1,Northbound,1,NorthEast,2,0,,1,0,,,,,,,,,,,,,
08/08/2007 01:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,,,,,,,,,,,,,
08/08/2007 02:00,70301,1,60,1,Northbound,1,NorthEast,1,0,,1,0,,,,,,,,,,,,,
08/08/2007 02:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,,,,,,,,,,,,,
08/08/2007 03:00,70301,1,60,1,Northbound,1,NorthEast,4,0,,1,0,,,,,,,,,,,,,
