Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
06/08/1997 00:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 00:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 01:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 01:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 02:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 02:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 03:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 03:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 04:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 04:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 05:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 05:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 06:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 06:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 07:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 07:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 08:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 08:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 09:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 09:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 10:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 10:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 11:00,120101,1,60,1,East Bound,2,South,-1,0,,6,0,
06/08/1997 11:00,120101,1,60,2,West Bound,2,South,-1,0,,6,0,
06/08/1997 12:00,120101,1,60,1,East Bound,2,South,178,0,,6,0,
06/08/1997 12:00,120101,1,60,2,West Bound,2,South,229,0,,6,0,
06/08/1997 13:00,120101,1,60,1,East Bound,2,South,215,0,,6,0,
06/08/1997 13:00,120101,1,60,2,West Bound,2,South,213,0,,6,0,
06/08/1997 14:00,120101,1,60,1,East Bound,2,South,223,0,,6,0,
06/08/1997 14:00,120101,1,60,2,West Bound,2,South,218,0,,6,0,
06/08/1997 15:00,120101,1,60,1,East Bound,2,South,214,0,,6,0,
06/08/1997 15:00,120101,1,60,2,West Bound,2,South,216,0,,6,0,
06/08/1997 16:00,120101,1,60,1,East Bound,2,South,252,0,,6,0,
06/08/1997 16:00,120101,1,60,2,West Bound,2,South,254,0,,6,0,
06/08/1997 17:00,120101,1,60,1,East Bound,2,South,302,0,,6,0,
06/08/1997 17:00,120101,1,60,2,West Bound,2,South,227,0,,6,0,
06/08/1997 18:00,120101,1,60,1,East Bound,2,South,215,0,,6,0,
06/08/1997 18:00,120101,1,60,2,West Bound,2,South,191,0,,6,0,
06/08/1997 19:00,120101,1,60,1,East Bound,2,South,184,0,,6,0,
06/08/1997 19:00,120101,1,60,2,West Bound,2,South,136,0,,6,0,
06/08/1997 20:00,120101,1,60,1,East Bound,2,South,145,0,,6,0,
