ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1212,"Tools, and implements",11980.92
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1219,Other machinery and parts,726110.7
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1223,Image/Video Communications Equip,14715.8
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1231,"Off.furn.&furnish.,incl. parts",24718.65
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1241,"Plumbing equipment & fittings,incl parts",21625.47
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1242,"Elec.lighting,distr.&contr.equip.& parts",7137.53
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1243,Meas.contr.lab.med.&opt.instr.& parts,479106.07
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1245,Safety & sanitat.equipment and parts,466.6
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1249,Other equipment and parts,63780.39
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1261,Road motor vehicles,30744.55
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1263,Road motor vehicles parts,914.0
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1264,Other vehicles,144177.09
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1267,"Misc. vehic. parts, incl tires & tubes",18150.51
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1283,Computer Equip DCE desktop/pers/portable,9454.21
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,3463.95
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1212,"Tools, and implements",1265.78
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1223,Image/Video Communications Equip,5793.2
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1231,"Off.furn.&furnish.,incl. parts",514.48
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1241,"Plumbing equipment & fittings,incl parts",6.19
