Ã¯Â»Â¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃÂ©ro-de-MinistÃÂ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,13023.03
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,740.03
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,529.7
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,8623.39
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,172.71
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,46926.87
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,723.14
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,600.86
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,11.49
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",3773.0
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",3300.0
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,229.1
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,675.82
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,10.89
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,202.13
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,1.94
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,1930.77
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,15.6
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,1775.45
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,122.71
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,84.39
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,1566.5
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,15.08
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1225,Telecommunication equipment parts,120.87
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1226,Computer equip.-large/med.mainframe-mini,43000.0
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,114.12
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,74820.82
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,1.35
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,49.16
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,1.51
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,617003.23
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,15.13
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,2.5
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,0.24
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,6474.6
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,7516.2
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,338961.07
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,1371.62
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,4659.53
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,41.11
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,905.53
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,14.89
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,75881.12
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,89.44
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,62.21
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,1.42
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",7300.07
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",30699.69
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",55975.44
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",917.35
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",20989.96
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",6805.33
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",238659.45
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",1379.69
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",28.09
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,2891.41
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,6996.13
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,101.38
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,2948.56
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,29.43
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,39101.34
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,133.83
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,150.19
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,2.13
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,34680.0
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,57587.61
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,263.06
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,18.18
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,12.5
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,952.38
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,2.24
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,6568.06
2006/2007,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,17.91
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1211,Special industry machinery,20252.75
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",42.78
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",1299.65
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",9689.11
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",41061.67
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",123214.96
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",91351.81
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",5051.56
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",71682.1
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",115.2
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1212,"Tools, and implements",1297.45
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,18270.94
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,105594.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,57460.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,408813.6
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,309691.65
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,622095.79
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1219,Other machinery and parts,8480.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,388474.46
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1221,Voice communications equipment,5833.95
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",736882.7
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",2024.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",13868.05
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1222,"Data(message/text, & computer)comm.equip",443499.72
