Minister,Date of Hospitality,Name of Organisation,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
"Secretary of State for Business, Energy and Industrial Strategy, The Rt Hon Greg Clark MP ",08-May,The University of Warwick,Dinner,No
"Secretary of State for Business, Energy and Industrial Strategy, The Rt Hon Greg Clark MP ",15-May,The Royal Academy of Engineering,Breakfast,No
"Secretary of State for Business, Energy and Industrial Strategy, The Rt Hon Greg Clark MP ",14-Jun,Confederation of British Industry,Dinner,No
"Secretary of State for Business, Energy and Industrial Strategy, The Rt Hon Greg Clark MP ",20-Jun,Lord Mayor (City of London),Breakfast,No
"Minister of State for Universities, Science, Research and Innovation, Jo Johnson MP",22 to 23 June 2017,PRS for Music,4 tickets and accommodation at the Glastonbury festival,Yes
"Minister of State for Climate Change and Industry, Nick Hurd MP (01 to 11 June 2017)",Nil return,,,
"Minister of State for Climate Change and Industry, Claire Perry MP (from 12 to 30 June 2017)",Nil return,,,
"Parliamentary Under Secretary of State, Lord Prior of Brampton",11-Apr,Vertex,Dinner,No
"Parliamentary Under Secretary of State, Minister for Industry and Energy, Jesse Norman MP (from 01 April to 13 June 2017)",Nil return,,,
"Parliamentary Under Secretary of State, Minister for Energy and Industry, Richard Harrington MP (from 14 June to 30 June 2017)",Nil return,,,
"Parliamentary Under Secretary of State, Minister for Small Business, Consumers and Corporate Responsibility, Margot James MP",26-Apr,Policy North,Dinner,No
