Minister,Start Date of Trip,End Date of Trip,Destination,Purpose of Trip,Mode of Transport,"Cost of private jet or RAF plane hire, if relevant (£)",Number of officials who accompanied minister if non-scheduled travel was used,"Accompanied by spouse, family member(s) or friend at public expense?","Total cost (for minister only) including all visas, accommodation, travel, meals etc (£)"
Greg Clark,23/07/2018,24/07/2018,"France, Paris",To discuss EU Exit,Scheduled flight,Nil return,Nil return,No,786
Greg Clark,24/07/2018,25/07/2018,"Portugal, Lisbon",To discuss EU Exit,Scheduled flight,Nil return,Nil return,No,212
Greg Clark,25/07/2018,26/07/2018,"Italy, Rome",To discuss EU Exit,Scheduled flight,Nil return,Nil return,No,231
Greg Clark,13/08/2018,14/08/2018,"Austria, Vienna",To discuss EU Exit,Scheduled flight,Nil return,Nil return,No,58
Greg Clark,14/08/2018,15/08/2018,"Finland, Helsinki",To discuss EU Exit,Scheduled flight,Nil return,Nil return,No,362
Claire Perry,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Sam Gyimah,25/07/2018,28/07/2018,"Delhi and Chennai, India",To discuss international science and innovation,Scheduled flight,Nil return,Nil return,No,4764
Sam Gyimah,17/09/2018,21/09/2018,"Boston, Houston, Washington DC, USA",To discuss international science and innovation,Scheduled flight,Nil return,Nil return,No,6173
Sam Gyimah,03/09/2018,03/09/2018,"Brussels, Belgium",To engage with Members of the European Parliament,Scheduled flight,Nil return,Nil return,No,218
Sam Gyimah,28/09/2018,28/09/2018,"Brussels, Belgium",To attend EU Competitiveness Council meeting,Scheduled flight,Nil return,Nil return,No,288
Richard Harrington,05/08/2018,09/08/2018,"China, Beijing, Shanghai, Shenzhen",To build bilateral business relations,Scheduled flight,Nil return,Nil return,No,5129
Andrew Griffiths,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Kelly Tolhurst,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Lord Henley,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
