Minister,Date,Name of organisation or individual,Purpose of meeting
Greg Clark,09/01/2018,Iberdrola,To discuss energy issues
Greg Clark,10/01/2018,PSA,To discuss automotive issues
Greg Clark,12/01/2018,GKN,To discuss GKN (by telephone)
Greg Clark,15/01/2018,"Federation of Master Builders, Construction Products Association, Federation of Small, Engineering Contractors Association, BuildUK, Civil Engineering Contractors Association, British Constructional Steelwork Association, Building Engineering Services Association, Specialist Engineering Contractors (SEC) Group",To discuss Carillion
Greg Clark,16/01/2018,Airbus UK,To discuss EU exit and export trade
Greg Clark,16/01/2018,"Trades Unions Congress, Unite the Union",To discuss Carillion
Greg Clark,17/01/2018,"Aldermore Bank, Barclays Bank, HSBC Bank, Lloyds Bank, Royal Bank of Scotland, Santander UK, Shawbrook Bank",To discuss Carillion
Greg Clark,17/01/2018,"Federation for Small Business, EEF  The Manufacturers Organisation, Institute of British Chambers of Commerce, Confederation of British Industry",To discuss Industrial Strategy
Greg Clark,17/01/2018,"Federation of Master Builders, Construction Products Association, Federation of Small Businesses, BuildUK, Civil Engineering Contractors Association, British Constructional Steelwork Association, Building Engineering Services Association, SEC Group, EEF  The Manufacturers Organisation, Confederation of British Industry, Director, British Chambers of Commerce, Institute of Directors",To discuss Carillion
Greg Clark,17/01/2018,"Trades Union Congress, Unite the Union",To discuss Carillion (by telephone)
Greg Clark,18/01/2018,"Federation of Small Businesses, BuildUK, Specialist Engineering Contractors (SEC) Group, Trades Union Congress, Local Government Association, British Business Bank, Construction Industry Training Board, UK Finance",To discuss Carillion 
Greg Clark,22/01/2018,"BuildUK, Specialist Engineering Contractors (SEC) Group, Trades Union Congress, Local Government Association, British Business Bank, UK Finance, PricewaterhouseCoopers",To discuss Carillion 
Greg Clark,25/01/2018,"Merck & Co, Illumina, Novartis Pharmaceuticals, Johnson & Johnson, Novo Nordisk, Pfizer, Shire Pharmaceuticals, Qiagen, Takeda Pharmaceutical Company Ltd, Roche",To discuss life sciences
Greg Clark,25/01/2018,Hitachi,To discuss business affairs & Industrial Strategy
Greg Clark,25/01/2018,Novartis,To discuss business affairs & Industrial Strategy
Greg Clark,26/01/2018,Nissan,To discuss business affairs & Industrial Strategy
Greg Clark,26/01/2018,Siemens AG,To discuss business affairs & Industrial Strategy
Greg Clark,30/01/2018,Hutchison Whampoa Ltd,To discuss Infrastructure Investment
Greg Clark,30/01/2018,Will Hutton,To discuss business affairs 
Greg Clark,30/01/2018,"Honda Motors Europe, Honda UK",To discuss automotive issues
Greg Clark,31/01/2018,"Confederation of British Industry, British Chambers of Commerce, EEF, the Manufacturers Organisation, British Chambers of Commerce",To discuss industrial strategy
Greg Clark,31/01/2018,"Trade Union Congress, UK Finance, Construction Industry Training Board, Construction Industry Training Board, Local Government Association, British Business Bank, BuildUK, Commercial & Procurement, Highways England, Network Rail, West Midlands Combined Authority, Federation of Small Business",To discuss Carillion
Greg Clark,31/01/2018,UK Finance,To discuss Industrial Strategy
Greg Clark,01/02/2018,Crop Protection Association,To discuss Industrial Strategy and International Trade
