Site,Location,BRCYear,BRCMonthName,BRCWeek,DayOfWeek,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Unnamed: 14,Unnamed: 15,Unnamed: 16
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,0.0,23.0,0.0,23.0,23.0,0.0,23.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,1.0,13.0,0.0,13.0,13.0,0.0,13.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,4.0,18.0,0.0,18.0,18.0,0.0,18.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,5.0,48.0,0.0,48.0,48.0,0.0,48.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,6.0,99.0,0.0,99.0,99.0,0.0,99.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,7.0,316.0,0.0,316.0,316.0,0.0,316.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,8.0,1252.0,0.0,1252.0,1252.0,0.0,1252.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,9.0,1616.0,0.0,1616.0,1616.0,0.0,1616.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,10.0,2346.0,0.0,2346.0,2346.0,0.0,2346.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,11.0,2644.0,0.0,2644.0,2644.0,0.0,2644.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,12.0,2474.0,0.0,2474.0,2474.0,0.0,2474.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,13.0,1857.0,0.0,1857.0,1857.0,0.0,1857.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,14.0,1268.0,0.0,1268.0,1268.0,0.0,1268.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,15.0,1330.0,0.0,1330.0,1330.0,0.0,1330.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,16.0,1262.0,0.0,1262.0,1262.0,0.0,1262.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,17.0,1254.0,0.0,1254.0,1254.0,0.0,1254.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,18.0,724.0,0.0,724.0,724.0,0.0,724.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,19.0,328.0,0.0,328.0,328.0,0.0,328.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,20.0,151.0,0.0,151.0,151.0,0.0,151.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,21.0,84.0,0.0,84.0,84.0,0.0,84.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,22.0,123.0,0.0,123.0,123.0,0.0,123.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Tuesday,01-Nov-16,23.0,138.0,0.0,138.0,138.0,0.0,138.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,0.0,26.0,0.0,26.0,26.0,0.0,26.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,1.0,24.0,0.0,24.0,24.0,0.0,24.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,2.0,150.0,0.0,150.0,150.0,0.0,150.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,3.0,127.0,0.0,127.0,127.0,0.0,127.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,4.0,138.0,0.0,138.0,138.0,0.0,138.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,5.0,109.0,0.0,109.0,109.0,0.0,109.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,6.0,35.0,0.0,35.0,35.0,0.0,35.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,7.0,173.0,0.0,173.0,173.0,0.0,173.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,8.0,697.0,0.0,697.0,697.0,0.0,697.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,9.0,534.0,0.0,534.0,534.0,0.0,534.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,10.0,783.0,0.0,783.0,783.0,0.0,783.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,11.0,1393.0,0.0,1393.0,1393.0,0.0,1393.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,12.0,2394.0,0.0,2394.0,2394.0,0.0,2394.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,13.0,2757.0,0.0,2757.0,2757.0,0.0,2757.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,14.0,2187.0,0.0,2187.0,2187.0,0.0,2187.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,15.0,1718.0,0.0,1718.0,1718.0,0.0,1718.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,16.0,1201.0,0.0,1201.0,1201.0,0.0,1201.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,17.0,1188.0,0.0,1188.0,1188.0,0.0,1188.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,18.0,739.0,0.0,739.0,739.0,0.0,739.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,19.0,507.0,0.0,507.0,507.0,0.0,507.0,,,
Leeds,Albion Street North,2016.0,November,44.0,Wednesday,02-Nov-16,20.0,243.0,0.0,243.0,243.0,0.0,243.0,,,
