Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,00:00,36,0,36,36,0,36,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,01:00,67,0,67,67,0,67,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,02:00,41,0,41,41,0,41,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,03:00,24,0,24,24,0,24,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,04:00,42,0,42,42,0,42,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,05:00,55,0,55,55,0,55,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,06:00,58,0,58,58,0,58,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,07:00,99,0,99,99,0,99,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,08:00,233,0,233,233,0,233,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,09:00,692,0,692,692,0,692,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,10:00,1200,0,1200,1200,0,1200,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,11:00,1832,0,1832,1832,0,1832,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,12:00,2200,0,2200,2200,0,2200,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,13:00,2653,0,2653,2653,0,2653,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,14:00,2684,0,2684,2684,0,2684,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,15:00,2691,0,2691,2691,0,2691,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,16:00,2418,0,2418,2418,0,2418,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,17:00,2076,0,2076,2076,0,2076,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,18:00,1997,0,1997,1997,0,1997,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,19:00,984,0,984,984,0,984,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,20:00,690,0,690,690,0,690,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,21:00,496,0,496,496,0,496,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,22:00,190,0,190,190,0,190,No Group
Leeds Originals,Albion Street South,2019,June,22,Saturday,01-Jun-19,23:00,139,0,139,139,0,139,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,00:00,116,0,116,116,0,116,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,01:00,56,0,56,56,0,56,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,02:00,60,0,60,60,0,60,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,03:00,73,0,73,73,0,73,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,04:00,45,0,45,45,0,45,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,05:00,42,0,42,42,0,42,No Group
Leeds Originals,Albion Street South,2019,June,22,Sunday,02-Jun-19,06:00,60,0,60,60,0,60,No Group
