CAMIS,DBA,STREET,ZIPCODE,CUISINE DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,INSPECTION TYPE
50013473,RED LOBSTER,BARTOW AVENUE,10475.0,Seafood,C,20.0,B,Cycle Inspection / Re-inspection
50033747,DIG INN,EAST   23 STREET,10010.0,American,C,12.0,,Cycle Inspection / Initial Inspection
40904478,LOVELY DAY,ELIZABETH STREET,10012.0,Thai,C,9.0,A,Cycle Inspection / Re-inspection
50056970,BUTLER,SOUTH    5 STREET,11249.0,American,G,12.0,A,Cycle Inspection / Initial Inspection
50042713,ONEONEFOUR BAR & LOUNGE (MARMAR PARK AVE),EAST   32 STREET,10016.0,American,G,3.0,A,Cycle Inspection / Re-inspection
50000338,ZORALIE RESTAURANT,WEST   51 STREET,10019.0,Latin American,G,12.0,A,Cycle Inspection / Re-inspection
50090436,MAYANOKI,EAST    6 STREET,10009.0,American,C,7.0,A,Pre-permit (Operational) / Initial Inspection
50105426,EUGENE MILLER,AMSTERDAM AVENUE,10025.0,,,,,
50001976,TROPICAL ISLE CARRIBEAN RESTAURANT,LIBERTY AVENUE,11419.0,Caribbean,C,34.0,,Cycle Inspection / Initial Inspection
41166704,MAESTRO CATERERS,BRONXDALE AVENUE,10462.0,American,C,12.0,A,Cycle Inspection / Re-inspection
41337465,CAFE SELECT,LAFAYETTE STREET,10012.0,Eastern European,C,13.0,A,Cycle Inspection / Re-inspection
50000307,JOHNNY'S FRIED CHICKEN,SHAKESPEARE AVENUE,10452.0,Chicken,C,10.0,,Cycle Inspection / Reopening Inspection
41322554,RMR CAFE (BOWLING ALLEY),STRICKLAND AVENUE,11234.0,American,C,9.0,A,Cycle Inspection / Initial Inspection
50007853,DUNKIN,MYRTLE AVENUE,11205.0,Donuts,C,11.0,A,Cycle Inspection / Initial Inspection
50063280,ENZO'S OF ARTHUR AVE,ARTHUR AVE,10458.0,Italian,C,55.0,,Cycle Inspection / Re-inspection
41117795,HAVANA CENTRAL,WEST   46 STREET,10036.0,Latin American,G,41.0,,Cycle Inspection / Initial Inspection
50078166,VIBES II,MERRICK BLVD,11434.0,American,G,13.0,A,Cycle Inspection / Re-inspection
50052462,LUIGI PIZZERIA & RESTAURANT,35TH AVE,11361.0,Pizza,C,12.0,A,Cycle Inspection / Re-inspection
50060093,T-SWIRL CREPE,30 AVENUE,11103.0,Chinese,G,18.0,,Cycle Inspection / Initial Inspection
50006786,CAVALERI PIZZA & PASTA,162ND ST,11358.0,Italian,C,21.0,,Cycle Inspection / Initial Inspection
40545130,SPEEDY'S DELI,BROADWAY,10001.0,American,C,13.0,A,Cycle Inspection / Initial Inspection
41519403,BROOKLYN WINERY,NORTH    8 STREET,11211.0,American,G,44.0,,Cycle Inspection / Initial Inspection
41456175,SOPHIES'S BISTRO (DAIRY),CONEY ISLAND AVENUE,11230.0,Jewish/Kosher,G,13.0,A,Cycle Inspection / Initial Inspection
41642243,TANGRA MASALA,GRAND AVENUE,11373.0,Asian/Asian Fusion,G,6.0,A,Cycle Inspection / Initial Inspection
50084969,GOLDEN BAY KITCHEN,BAY PARKWAY,11204.0,Chinese,G,19.0,,Pre-permit (Operational) / Initial Inspection
50008129,COCO FRESH TEA & JUICE,BROADWAY,11373.0,Coffee/Tea,G,9.0,A,Cycle Inspection / Initial Inspection
40537290,NORA'S PARK BENCH CAFE,QUENTIN ROAD,11234.0,American,C,10.0,A,Cycle Inspection / Initial Inspection
50080585,BLUESTONE LANE,MADISON AVENUE,10017.0,Coffee/Tea,G,4.0,A,Cycle Inspection / Re-inspection
50051016,LOVE MAMA,2 AVENUE,10003.0,Asian/Asian Fusion,G,10.0,P,Cycle Inspection / Reopening Inspection
50061111,PIZZA STOP,FREDERICK DOUGLASS BOULEVARD,,Pizza,C,25.0,,Cycle Inspection / Initial Inspection
50084130,GOTAN,WEST   20 STREET,10011.0,American,G,12.0,A,Pre-permit (Operational) / Initial Inspection
50000310,LA CALENITA BAKERY,83RD ST,11373.0,Latin American,C,12.0,A,Cycle Inspection / Re-inspection
50036660,KIKOO SUSHI,1 AVENUE,10003.0,Japanese,C,17.0,,Cycle Inspection / Initial Inspection
41708809,HL SPRING GARDEN,5 AVENUE,11209.0,Chinese,G,13.0,A,Cycle Inspection / Initial Inspection
50093967,CREMINI'S,COURT STREET,11231.0,Italian,G,22.0,,Pre-permit (Non-operational) / Initial Inspection
50050561,MEXICO EL SALVADOR INC,MYRTLE AVE,11418.0,Sandwiches,G,12.0,A,Cycle Inspection / Initial Inspection
50051274,LUDLOW COFFEE SUPPLY,LUDLOW STREET,10002.0,Coffee/Tea,G,41.0,,Cycle Inspection / Initial Inspection
50047012,GREAT NORTHERN FOOD HALL,EAST   42 STREET,10017.0,Coffee/Tea,G,28.0,,Cycle Inspection / Initial Inspection
40869272,FINESTRA,YORK AVENUE,10021.0,Italian,C,7.0,A,Cycle Inspection / Initial Inspection
41626713,PERA SOHO,THOMPSON STREET,10012.0,Turkish,G,55.0,,Cycle Inspection / Initial Inspection
50076337,ANEMOS,34TH AVE,11101.0,Greek,C,25.0,B,Cycle Inspection / Re-inspection
50011229,PELOTON LOUNGE,WEST   23 STREET,10011.0,Coffee/Tea,G,21.0,,Cycle Inspection / Initial Inspection
41624508,NABLUS SWEETS,5 AVENUE,11220.0,Middle Eastern,A,,,Administrative Miscellaneous / Initial Inspection
41028321,D'ANGELO'S PIZZA,EAST GUN HILL ROAD,10469.0,Pizza,C,10.0,A,Cycle Inspection / Re-inspection
40876297,JERRY'S 637 DINER,BAY STREET,10304.0,American,G,18.0,,Cycle Inspection / Initial Inspection
41328070,VILLABATE-ALBA PASTICCERIA,18 AVENUE,11204.0,Bakery Products/Desserts,C,55.0,,Cycle Inspection / Initial Inspection
41298037,RAMEN SETAGAYA,ST MARKS PLACE,10003.0,Japanese,C,13.0,A,Cycle Inspection / Re-inspection
41681923,MIST HARLEM,WEST  116 STREET,10026.0,American,C,25.0,B,Cycle Inspection / Re-inspection
41636935,DOUBLE DELIGHT CHINESE RESTAURANT,17 AVENUE,11214.0,Chinese,C,17.0,,Cycle Inspection / Initial Inspection
40875290,SEAFOOD CITY,CITY ISLAND AVENUE,10464.0,Seafood,G,19.0,B,Cycle Inspection / Re-inspection
50034635,CHOCOLATERIA,7 AVENUE,11215.0,Coffee/Tea,G,9.0,A,Cycle Inspection / Re-inspection
50036672,BAREBURGER,WEST   57 STREET,10019.0,American,C,9.0,A,Cycle Inspection / Initial Inspection
50052221,MEI LAI WAH COFFEE SHOP,BAYARD ST,10013.0,Chinese,C,42.0,C,Pre-permit (Operational) / Re-inspection
50012743,JAY'S QUICK BITES,FLATBUSH AVENUE,11234.0,Indian,G,28.0,,Cycle Inspection / Initial Inspection
50041341,ASIAN FUSION,ADAM CLAYTON POWELL JR BOULEVARD,,Asian/Asian Fusion,G,38.0,,Cycle Inspection / Initial Inspection
41240596,PANERA BREAD,MARSH AVENUE,10314.0,Sandwiches,C,12.0,A,Cycle Inspection / Initial Inspection
50050793,SUBWAY,WEST   35 STREET,10001.0,Sandwiches,G,13.0,A,Cycle Inspection / Initial Inspection
40622601,A-1 PIZZA SHOP,GRAND STREET,10002.0,Pizza,C,24.0,,Cycle Inspection / Initial Inspection
50000338,ZORALIE RESTAURANT,WEST   51 STREET,10019.0,Latin American,C,20.0,,Cycle Inspection / Initial Inspection
41408069,AUREOLE,WEST   42 STREET,10036.0,New American,C,65.0,,Cycle Inspection / Initial Inspection
41334807,2 BROS PIZZA,ST MARKS PLACE,10003.0,Pizza,C,12.0,A,Cycle Inspection / Initial Inspection
41284685,HALE & HEARTY SOUP,BROADWAY,10018.0,Soups/Salads/Sandwiches,G,36.0,,Cycle Inspection / Initial Inspection
41474966,COMPLETE BODY & SPA,WEST   19 STREET,10011.0,American,C,7.0,A,Cycle Inspection / Initial Inspection
41641642,TASTY HAND-PULLED NOODLES,DOYERS STREET,10013.0,Chinese,G,27.0,B,Cycle Inspection / Re-inspection
50001829,HANGAR 11 BAR & GRILL,METROPOLITAN AVENUE,11415.0,American,C,63.0,,Cycle Inspection / Initial Inspection
50085636,ZONA TRIBECA MEZCALERIA,GREENWICH STREET,10013.0,Mexican,G,32.0,,Pre-permit (Operational) / Initial Inspection
40931929,FRANKIE & JOHNNIE'S STEAKHOUSE,WEST   37 STREET,10018.0,Steakhouse,C,13.0,A,Cycle Inspection / Initial Inspection
41392209,LA RIOJA RESTAURANT,BROADWAY,11106.0,Spanish,C,27.0,,Cycle Inspection / Initial Inspection
41579144,SALT AND PEPPER RESTAURANT & CAFE,WEST   33 STREET,10001.0,Soups,G,38.0,C,Cycle Inspection / Re-inspection
40623604,GOOD ENOUGH TO EAT (A.G. BISTRO),COLUMBUS AVENUE,10024.0,American,C,21.0,B,Cycle Inspection / Re-inspection
41343720,LA MINITA RESTAURANT,10 AVENUE,10034.0,Latin American,C,26.0,B,Cycle Inspection / Re-inspection
41653059,MAMA'S RESTAURANT JAMAICAN AND AMERICAN FOOD,2 AVENUE,10035.0,Caribbean,G,13.0,A,Cycle Inspection / Re-inspection
41684505,EL MITOTE,COLUMBUS AVENUE,10023.0,Mexican,C,18.0,,Cycle Inspection / Initial Inspection
41630558,TRI TIP GRILL,EAST   42 STREET,10017.0,American,C,61.0,,Cycle Inspection / Re-inspection
50013145,CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER,WEST   34 STREET,10001.0,Coffee/Tea,C,26.0,,Cycle Inspection / Initial Inspection
41638918,ANGELO'S PIZZERIA,WEST   57 STREET,10019.0,Pizza,G,38.0,,Cycle Inspection / Initial Inspection
50056862,LANZHOU RAMEN 107,EAST BROADWAY,10002.0,Chinese,G,3.0,A,Pre-permit (Operational) / Re-inspection
50061022,INDIAN TABLE,COURT STREET,11201.0,Indian,C,17.0,,Pre-permit (Operational) / Reopening Inspection
41722751,SAKURA 7,GRAND AVENUE,11378.0,Japanese,G,7.0,A,Cycle Inspection / Initial Inspection
50003531,NEW SPRING GARDEN,WALLACE AVENUE,10462.0,Chinese,C,22.0,,Cycle Inspection / Initial Inspection
40678235,BOURBON STREET,BELL BOULEVARD,11361.0,American,C,13.0,A,Cycle Inspection / Re-inspection
40391060,LUKE'S BAR & GRILL,THIRD AVENUE,10075.0,American,G,39.0,,Cycle Inspection / Initial Inspection
40591492,LOVELL'S GUIDING LIGHT,HILLSIDE AVENUE,11435.0,American,C,24.0,,Cycle Inspection / Initial Inspection
41046492,CAFE EXCHANGE,BROADWAY,10006.0,American,C,43.0,,Cycle Inspection / Initial Inspection
50000593,HK BOXERS NYC,9 AVENUE,10019.0,American,C,47.0,,Cycle Inspection / Initial Inspection
50035537,ZONI CANTINA AND COCINA,WEST   33 STREET,10001.0,Latin American,C,14.0,B,Cycle Inspection / Re-inspection
40937349,JAKE'S SALOON,10 AVENUE,10019.0,American,C,11.0,A,Cycle Inspection / Re-inspection
50017261,CAFE DE NOVO,GREENWICH STREET,10006.0,American,C,13.0,A,Cycle Inspection / Re-inspection
50051372,CARNEGIE CUP CAFE,PARK AVE,10128.0,Coffee/Tea,C,17.0,,Cycle Inspection / Initial Inspection
50053047,THE FOOTLIGHT,SENECA AVENUE,11385.0,American,C,13.0,A,Cycle Inspection / Initial Inspection
41643852,VSPOT,5 AVENUE,11217.0,Vegetarian,G,11.0,A,Cycle Inspection / Re-inspection
50062714,NEW PIZZA PLACE,HOLLIS AVE,11412.0,Pizza,G,24.0,,Cycle Inspection / Initial Inspection
50081605,STARBUCKS COFFEE #823,LEXINGTON AVENUE,10075.0,Coffee/Tea,G,13.0,A,Pre-permit (Operational) / Initial Inspection
50033902,GREEK EATS,1 AVENUE,10065.0,Greek,C,28.0,,Cycle Inspection / Initial Inspection
50055882,GARDENIA TERRACE,10 AVENUE,10019.0,Mediterranean,C,13.0,A,Cycle Inspection / Initial Inspection
41232741,TIO PIO WEST,WEST   36 STREET,10018.0,Latin American,C,20.0,,Cycle Inspection / Initial Inspection
41641278,OLD COUNTRY BAGEL,CROSS BAY BLVD,11414.0,Bagels/Pretzels,G,7.0,A,Cycle Inspection / Initial Inspection
41678381,MOTI MAHAL DELUX,1 AVENUE,10065.0,Indian,C,16.0,,Cycle Inspection / Initial Inspection
40379894,AQUEDUCT NORTH,KATONAH AVENUE,10470.0,Irish,C,18.0,,Cycle Inspection / Initial Inspection
40402007,GRAND AVENUE PIZZA,30 AVENUE,11103.0,Pizza,C,12.0,A,Cycle Inspection / Re-inspection
50053680,THE DRIFT,MEEKER AVENUE,11222.0,American,C,25.0,,Cycle Inspection / Initial Inspection
50050281,cafe paulette,SOUTH ELLIOTT PLACE,11217.0,French,C,12.0,A,Cycle Inspection / Re-inspection
50035574,BREAD & BUTTER,5 AVENUE,10016.0,American,C,24.0,,Cycle Inspection / Initial Inspection
40378190,NARITA JAPANESE RESTAURANT,70 ROAD,11375.0,Japanese,C,30.0,,Cycle Inspection / Initial Inspection
50062941,DU'S DONUTS AND COFFEE,NORTH   12 STREET,11249.0,Donuts,C,12.0,A,Cycle Inspection / Initial Inspection
40995563,LEGEND COOKHOUSE,ROCKAWAY BOULEVARD,11420.0,Caribbean,G,38.0,,Cycle Inspection / Re-inspection
50044248,678 DELI,VAN WYCK EXPY,11418.0,Sandwiches,C,25.0,,Cycle Inspection / Initial Inspection
41050171,CUBA,THOMPSON STREET,10012.0,Latin American,G,26.0,,Cycle Inspection / Initial Inspection
41374276,MELANY RESTAURANT,FLATBUSH AVENUE,11226.0,Latin American,C,39.0,,Cycle Inspection / Initial Inspection
41618266,KISSENA CAFE,KISSENA BOULEVARD,11355.0,Chinese,C,28.0,,Cycle Inspection / Initial Inspection
41406303,DOUBLE WINDSOR,PROSPECT PARK WEST,11215.0,American,C,12.0,,Cycle Inspection / Initial Inspection
50051905,LOUD BABY,FLATBUSH AVENUE,11225.0,Coffee/Tea,A,,,Administrative Miscellaneous / Initial Inspection
40668700,TRACK KITCHEN,ROCKAWAY BOULEVARD,11420.0,American,C,20.0,B,Cycle Inspection / Re-inspection
50103472,THE STATION,61ST ST,11377.0,Irish,G,13.0,A,Pre-permit (Operational) / Initial Inspection
50044479,SPICE & GRILL,MYRTLE AVENUE,11205.0,Indian,G,14.0,,Cycle Inspection / Initial Inspection
41310341,95 SOUTH,FRANKLIN AVENUE,11238.0,American,C,12.0,A,Cycle Inspection / Re-inspection
50051353,SUPER SKYWAY RESTAURANT & KEBAB HOUSE,BATH AVENUE,11214.0,Pakistani,C,20.0,B,Pre-permit (Operational) / Re-inspection
50044807,MAMA PUEBLA,EAST TREMONT AVENUE,10465.0,Mexican,C,14.0,B,Cycle Inspection / Re-inspection
50040450,BIEROCRACY,JACKSON AVE,11101.0,American,C,30.0,,Cycle Inspection / Initial Inspection
50041847,BURGER KING,CONEY ISLAND AVENUE,11223.0,Hamburgers,G,11.0,A,Cycle Inspection / Re-inspection
50074590,NEW TEXAS FRIED CHICKEN,CYPRESS AVENUE,11385.0,Chicken,C,11.0,A,Pre-permit (Operational) / Initial Inspection
41654384,SABOR BORINQUENO # 2,EAST  122 STREET,10035.0,Spanish,G,9.0,A,Cycle Inspection / Initial Inspection
41367337,SUBWAY,BRUCKNER BOULEVARD,10473.0,Sandwiches,G,3.0,A,Cycle Inspection / Re-inspection
41634303,LA ESTRELLA TROPICAL,BURKE AVENUE,10467.0,Spanish,C,65.0,,Cycle Inspection / Initial Inspection
50055438,"AUNTIE ANNE'S PRETZELS, CINNABON",JUNCTION BLVD,11374.0,Bakery Products/Desserts,G,20.0,,Cycle Inspection / Initial Inspection
50000884,PIC UP STIX,LEXINGTON AVENUE,10128.0,Chinese,G,7.0,,Cycle Inspection / Initial Inspection
40576286,ANNA MARIA PIZZA PASTA,BEDFORD AVENUE,11211.0,Pizza,C,16.0,,Cycle Inspection / Initial Inspection
40662196,LUCIEN RESTAURAUNT,1 AVENUE,10009.0,French,C,28.0,,Cycle Inspection / Initial Inspection
50091093,FULTON HOT DOG KING,FULTON STREET,11201.0,American,G,10.0,A,Pre-permit (Operational) / Re-inspection
50073971,PHO CHE,NORTHERN BLVD,11358.0,Southeast Asian,G,19.0,,Pre-permit (Operational) / Compliance Inspection
41628435,KFC,PITKIN AVENUE,11212.0,Chicken,A,,,Administrative Miscellaneous / Initial Inspection
40929169,HOTEL PENNSYLVANIA,7 AVENUE,10001.0,American,C,20.0,,Cycle Inspection / Initial Inspection
50044007,SHALON RESTAURANT,JEROME AVENUE,10468.0,Latin American,C,66.0,,Cycle Inspection / Initial Inspection
40856729,"CRIF DOGS , PLEASE DON'T TELL",ST MARKS PLACE,10009.0,American,C,38.0,,Cycle Inspection / Initial Inspection
41020311,SHARAN DELI,WEST   39 STREET,10018.0,Sandwiches,C,7.0,,Cycle Inspection / Initial Inspection
50083750,WEGO KTV,UNION ST,11354.0,Chinese,C,26.0,,Cycle Inspection / Initial Inspection
41289876,EL MONTANERO BAKERY AND RESTAURANT,MYRTLE AVENUE,11385.0,Latin American,C,109.0,,Cycle Inspection / Initial Inspection
41532740,EXQUISITE RESTAURANT,GLENWOOD ROAD,11210.0,Caribbean,C,29.0,,Cycle Inspection / Initial Inspection
50085696,SO PHO 88,BEDFORD AVENUE,11249.0,Asian/Asian Fusion,C,79.0,,Cycle Inspection / Initial Inspection
50086788,CURRY & KEBAB,BAINBRIDGE AVENUE,10467.0,Bangladeshi,G,18.0,,Cycle Inspection / Initial Inspection
50018394,HADI RESTAURANT,CONEY ISLAND AVENUE,11218.0,Middle Eastern,G,39.0,,Cycle Inspection / Initial Inspection
50070470,MCDONALDS # 6160,WEST  125 STREET,10027.0,Hamburgers,C,23.0,,Pre-permit (Operational) / Initial Inspection
41634560,PARTNERS COFFEE ROASTERS,NORTH    6 STREET,11249.0,Coffee/Tea,C,6.0,A,Cycle Inspection / Re-inspection
50075118,CON SABOR A MEXICO,WEST  181 STREET,10033.0,Mexican,C,50.0,C,Cycle Inspection / Re-inspection
50011515,SZE'S GARDEN,CYPRESS AVENUE,11385.0,Chinese,C,13.0,A,Cycle Inspection / Re-inspection
50059999,MANGU GRILL RESTAURANT,COLLEGE POINT BLVD,11356.0,Latin American,C,15.0,,Cycle Inspection / Initial Inspection
50058308,FEI MA,AVENUE A,10009.0,Chinese,C,9.0,A,Cycle Inspection / Initial Inspection
50072517,DELICIAS CALENAS ASTORIA,31 STREET,11105.0,Spanish,G,11.0,A,Cycle Inspection / Initial Inspection
41596469,AVENITA DINER,PARSONS BOULEVARD,11432.0,American,C,17.0,,Cycle Inspection / Initial Inspection
41014673,PARISCIEN BAKERY,NORTHERN BOULEVARD,11368.0,Bakery Products/Desserts,C,11.0,A,Cycle Inspection / Re-inspection
41562680,DUNKIN,LIBERTY AVENUE,11433.0,Donuts,C,12.0,A,Cycle Inspection / Initial Inspection
50009725,QUEENS LIBRARY EMPLOYEE CAFETERIA & CAFE CENTRAL,MERRICK BLVD,11432.0,American,C,13.0,,Cycle Inspection / Initial Inspection
50013837,CARVEL,METROPOLITAN AVE,11375.0,Frozen Desserts,C,12.0,A,Cycle Inspection / Re-inspection
50092955,SWEETCATCH POKE,MADISON AVENUE,10016.0,Hawaiian,G,0.0,,Pre-permit (Operational) / Initial Inspection
40911185,PAESANO'S PIZZA,BRADLEY AVENUE,10314.0,Pizza,G,10.0,A,Cycle Inspection / Re-inspection
40356018,RIVIERA CATERERS,STILLWELL AVENUE,11224.0,American,C,10.0,A,Cycle Inspection / Initial Inspection
50065819,KBBQ,PARK AVENUE,10169.0,Korean,G,11.0,A,Pre-permit (Operational) / Initial Inspection
40371988,NORTH SHORE DINER,NORTHERN BLVD,11358.0,American,C,34.0,,Cycle Inspection / Initial Inspection
50046503,HALFTIME GRILL,FLATBUSH AVENUE,11234.0,Jewish/Kosher,C,41.0,,Cycle Inspection / Initial Inspection
40635976,LATIN BAKERY,MAIN STREET,11355.0,Latin American,C,12.0,A,Cycle Inspection / Initial Inspection
50079429,718 BISTRO,NEPTUNE AVENUE,11235.0,Middle Eastern,C,22.0,,Pre-permit (Operational) / Compliance Inspection
41714279,NUM PANG SANDWICH SHOP,BROADWAY,10010.0,Sandwiches,G,12.0,,Cycle Inspection / Initial Inspection
41575449,MIDNIGHT EXPRESS DINER,2 AVENUE,10128.0,American,C,13.0,A,Cycle Inspection / Re-inspection
41716092,DOMINO'S,BROADWAY,10031.0,Pizza,C,33.0,,Cycle Inspection / Initial Inspection
41627996,LA COLOMBE,LAFAYETTE STREET,10003.0,Coffee/Tea,G,28.0,,Cycle Inspection / Initial Inspection
41138123,"ABC COCINA , ABCV",EAST   19 STREET,10003.0,French,G,12.0,,Cycle Inspection / Initial Inspection
50071707,KITH RETAIL,LAFAYETTE STREET,10012.0,"Juice, Smoothies, Fruit Salads",C,35.0,,Pre-permit (Operational) / Initial Inspection
41583686,OLD BAKU,DITMAS AVENUE,11218.0,Eastern European,G,11.0,A,Cycle Inspection / Initial Inspection
41202349,LASSEN & HENNIGS,MONTAGUE STREET,11201.0,American,G,12.0,A,Cycle Inspection / Initial Inspection
40660413,BRAZIL GRILL,8 AVENUE,10036.0,Brazilian,C,18.0,B,Cycle Inspection / Re-inspection
41395384,"CITI FIELD WORLD'S FAIR MARKET, STAND 104",126 TH ST & ROOSEVELT AVENUE,,American,C,6.0,A,Cycle Inspection / Initial Inspection
41491816,DRAGON YUAN,MORRIS AVENUE,10451.0,Chinese,G,4.0,A,Cycle Inspection / Initial Inspection
41678691,GOLF & BODY NYC,6 AVENUE,10001.0,American,G,11.0,A,Cycle Inspection / Initial Inspection
40987128,AMBROSIA,WEST   45 STREET,10036.0,Korean,G,26.0,,Cycle Inspection / Initial Inspection
50084530,BOYS DONT CRY,ORCHARD STREET,10002.0,Chinese,G,2.0,A,Pre-permit (Operational) / Re-inspection
50072204,CARIBBEAN SOCIAL,FLATBUSH AVENUE,11226.0,Caribbean,C,20.0,,Pre-permit (Operational) / Initial Inspection
50070454,Sushi Q,CROSBY AVENUE,10461.0,Japanese,G,25.0,,Cycle Inspection / Initial Inspection
41699086,GALLOW GREEN,WEST   27 STREET,,French,G,41.0,,Cycle Inspection / Initial Inspection
50086567,GFG BAKERY CAFE,BROADWAY,10004.0,Greek,C,24.0,,Pre-permit (Operational) / Initial Inspection
41705779,BAKERY ST MARC,FLATBUSH AVENUE,11226.0,Bakery Products/Desserts,C,11.0,,Cycle Inspection / Initial Inspection
41678085,AU BON PAIN,BROADWAY,11373.0,Soups/Salads/Sandwiches,G,8.0,A,Cycle Inspection / Re-inspection
50060066,CASCADE JERK,SUTPHIN BLVD,11434.0,Caribbean,G,10.0,A,Cycle Inspection / Re-inspection
50062623,LUIGI'S PIZZA,BRIGHTON BEACH AVENUE,11235.0,Pizza,C,31.0,,Cycle Inspection / Initial Inspection
50008129,COCO FRESH TEA & JUICE,BROADWAY,11373.0,Coffee/Tea,C,9.0,A,Cycle Inspection / Initial Inspection
41406341,NATURE'S GRILL,3 AVENUE,11209.0,American,G,11.0,A,Cycle Inspection / Re-inspection
50088052,PATRIZIA OF MASPETH,GRAND AVE,11378.0,Pizza,C,13.0,A,Pre-permit (Operational) / Initial Inspection
50072274,TIC-TAC-TOE BAKERY & MORE,3 AVENUE,11209.0,Middle Eastern,C,16.0,,Cycle Inspection / Initial Inspection
50061303,MIGHTY BOWL,2 AVENUE,10017.0,Asian/Asian Fusion,G,13.0,A,Cycle Inspection / Re-inspection
50058807,DUNKIN,GATEWAY DRIVE,11239.0,Donuts,C,25.0,,Cycle Inspection / Initial Inspection
50005340,ASIAN GOURMET,MAIN STREET,11355.0,Asian/Asian Fusion,C,21.0,,Cycle Inspection / Initial Inspection
50044610,"GARDEN MARKET 36, 37",PENN PLAZA,10121.0,Hotdogs/Pretzels,G,2.0,A,Cycle Inspection / Initial Inspection
50071617,BELLA PIZZA & GRILL,165TH ST,11432.0,Pizza,G,9.0,A,Cycle Inspection / Re-inspection
41563445,GMT TAVERN,BLEECKER STREET,10012.0,American,G,40.0,C,Cycle Inspection / Re-inspection
41529148,THE ORIGINAL VINCENT'S ESTABLISH 1904,MOTT STREET,10013.0,Italian,G,14.0,,Cycle Inspection / Initial Inspection
50045852,SONY CLUB,MADISON AVENUE,10010.0,American,G,4.0,A,Cycle Inspection / Initial Inspection
50104273,LA QUINTA MANHATTAN MIDTOWN,WEST   38 STREET,10018.0,,,,,
50016071,GHOROA RESTAURANT,HILLSIDE AVENUE,11432.0,Bangladeshi,G,74.0,C,Cycle Inspection / Re-inspection
41261148,EL VALLE RESTAURANT,MELROSE AVENUE,10455.0,Latin American,G,12.0,A,Cycle Inspection / Initial Inspection
50044577,BURGER KING,EAST  174 STREET,10460.0,Hamburgers,C,6.0,,Cycle Inspection / Initial Inspection
