CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
41456541,BUDDY'S KOSHER DELI,7186312110,Jewish/Kosher,9.0,Cycle Inspection / Initial Inspection,4076380001.0,QN42
50081793,WISEFISH,6462164408,Seafood,7.0,Cycle Inspection / Initial Inspection,1002177504.0,MN24
40890186,J.E. BAKERY,7189949789,Bakery Products/Desserts,13.0,Cycle Inspection / Initial Inspection,2043470001.0,BX07
50034319,TAYLOR MADE JAMAICAN EATERY,6462708424,Caribbean,28.0,Cycle Inspection / Initial Inspection,3019530002.0,BK75
40992205,JERUSALEM II PIZZA,7183388156,Jewish/Kosher,13.0,Cycle Inspection / Re-inspection,3067150003.0,BK43
50071645,SILVER FACTORY,3477253017,Korean,41.0,Pre-permit (Operational) / Initial Inspection,3024600011.0,BK73
50088180,HAZAR TURKISH KEBAB,7182384040,Turkish,11.0,Pre-permit (Operational) / Initial Inspection,3059090047.0,BK31
41721168,PRIMAVERA CAFE,7182958801,American,34.0,Cycle Inspection / Initial Inspection,2032750095.0,BX06
50043980,MADANIM,7185410361,Jewish/Kosher,13.0,Cycle Inspection / Re-inspection,3019000056.0,BK75
41426289,GEORGINA RESTAURANT,7183286257,Latin American,18.0,Cycle Inspection / Initial Inspection,2027240001.0,BX27
50063902,THEATER RESTAURANT BOULEVARD,7186512797,American,9.0,Cycle Inspection / Initial Inspection,4014300006.0,QN28
41720066,MAGGIE REILLY'S,6464763209,Irish,9.0,Cycle Inspection / Re-inspection,1007530005.0,MN13
50077824,HARLEM ALE HOUSE,3476410850,American,15.0,Pre-permit (Non-operational) / Initial Inspection,1019120029.0,MN03
41297769,BROTHERS FISH MARKET,2127811899,Seafood,115.0,Cycle Inspection / Re-inspection,1021370011.0,MN36
50089460,Las Lap,6468127612,Caribbean,7.0,Pre-permit (Operational) / Re-inspection,1004080004.0,MN27
50011738,GRANDMA'S DIM SUM,7188883326,Chinese,12.0,Cycle Inspection / Re-inspection,4050667502.0,QN22
