CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50087027,EMMA'S TORCH CAFE (Inside Library),Brooklyn,10,GRAND ARMY PLZ,11238.0,7178083694,American,F,03A,Pre-permit (Operational) / Initial Inspection,BK99
50047882,DUNKIN,Queens,8710,NORTHERN BLVD,11372.0,7184585260,Donuts,D,06D,Cycle Inspection / Initial Inspection,QN28
50047637,HANKI,Brooklyn,226,7 AVENUE,11215.0,9177978206,Korean,P,10F,Cycle Inspection / Initial Inspection,BK37
41431239,QUE SABROSURA RESTAURANT,Bronx,48,EAST  183 STREET,10453.0,7183652200,Spanish,F,04L,Cycle Inspection / Initial Inspection,BX40
50056512,INCA'S GRILL PERUVIAN KITCHEN,Staten Island,126,LINCOLN AVENUE,10306.0,7184480488,Peruvian,O,10B,Pre-permit (Operational) / Reopening Inspection,SI45
40585966,GUY & GALLARD,Manhattan,120,EAST   34 STREET,10016.0,2126843898,American,F,08A,Cycle Inspection / Initial Inspection,MN20
41128211,HARD ROCK CAFE,Manhattan,1501,BROADWAY,10036.0,2123433355,American,D,10F,Cycle Inspection / Initial Inspection,MN17
50094225,FANCY BUFFET HAITIAN RESTAURANT,Brooklyn,1053,FLATBUSH AVENUE,11226.0,3474258874,Creole,F,04N,Pre-permit (Operational) / Initial Inspection,BK95
40401445,IHOP,Brooklyn,2101,RALPH AVENUE,11234.0,7182512262,Pancakes/Waffles,U,06D,Cycle Inspection / Initial Inspection,BK45
50077827,PARADISE JUICE GARDEN,Bronx,1413,EDWARD L GRANT HIGHWAY,10452.0,3476069580,"Juice, Smoothies, Fruit Salads",F,10J,Pre-permit (Operational) / Re-inspection,BX26
50067636,BUTTERCUP BAKE SHOP,Manhattan,200,BROADWAY,10038.0,6466109258,Bakery Products/Desserts,F,20D,Administrative Miscellaneous / Re-inspection,MN25
