Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1967,Iroquois Gas Corp.,Chautauqua,HANOVER,MEDINA,4,0,GX
1970,"McCormick, Neil",Steuben,GREENWOOD,PENNY & FULMER VALLEY,0,0,OB
1994,"J M Resources, Inc.",Chautauqua,VILLENOVA,MEDINA,1,0,GK
1995,"Traxler, Joyce",Genesee,LE ROY,MEDINA,1,0,
1989,"Empire Exploration, Inc.",Chautauqua,VILLENOVA,MEDINA,32,0,GK
1979,National Fuel Gas Supply Corp.,Erie,WEST SENECA,MEDINA,4,0,
1997,"Masoodi Mini Ventures, Inc.",Erie,CONCORD,MEDINA,1,0,GK
1990,"Engx, Inc.",Chautauqua,BUSTI,MEDINA,1,0,GK
1992,"Harris, William",Genesee,PAVILION,MEDINA,1,0,
1993,CEI 1990-1 Joint Venture,Chautauqua,CHAUTAUQUA,MEDINA,1,0,GK
1991,"Ardent Resources, Inc.",Ontario,GENEVA,MEDINA-QUEENSTON,2,1,GX
1972,Iroquois Gas Corp.,Steuben,WEST UNION,ORISKANY,0,1,
1996,"Sampson Creek Acres, Inc.",Seneca,SENECA FALLS,QUEENSTON,1,0,
1982,"Clarence Research Park, Inc.",Erie,CLARENCE,MEDINA,1,0,GS
1978,"Tamarack Petroleum Co., Inc",Wyoming,,MEDINA,0,2,
1986,Oilmark & Co.,Chautauqua,RIPLEY,MEDINA,0,3,GX
1987,Perry Central Schools,Wyoming,PERRY,MEDINA,1,0,
1970,"McCray, Maurice A. Est.",Cattaraugus,CARROLLTON,BRADFORD,0,0,"OA,OC"
1990,CNG Transmission Corp.,Livingston,LEICESTER,MEDINA,3,3,GX
1991,"Clark, Ernest",Allegany,BOLIVAR,RICHBURG,0,0,OB
1989,Empire Energies,Chautauqua,MINA,MEDINA,1,1,
1997,Seneca Resources Corporation,Cattaraugus,PERRYSBURG,MEDINA,1,0,GK
1991,Frewsburg Central School District,Chautauqua,CARROLL,MEDINA,1,0,
1976,Columbia Gas Transmission Corp.,Steuben,WEST UNION,ORISKANY,1,0,
1988,Dragon Eye Oil Co.,Allegany,WILLING,RICHBURG,0,0,OB
1992,TGX Corp.,Chautauqua,CHARLOTTE,MEDINA,15,0,GH
1995,"Hogan Energy, Inc.",Allegany,CLARKSVILLE,CLARKSVILLE,0,0,OC
1975,"Shaner, Ray C.",Allegany,GENESEE,RICHBURG,0,0,OB
1995,"Bucher, William C",Cattaraugus,ALLEGANY,BRADFORD,9,0,OC
1988,"Doran & Associates, Inc.",Chautauqua,CARROLL,GLADE,0,0,OB
1998,"Kabel, Ruth, G.",Erie,ORCHARD PARK,MEDINA,0,1,
1987,"Chautauqua Natural Gas Co., Inc",Chautauqua,VILLENOVA,MEDINA,4,0,GK
1989,"Spurr, Ruth E.",Chautauqua,HANOVER,MEDINA,0,1,
1996,"Oil, Gas & Land Services, Inc.",Chautauqua,ELLERY,BASS ISLAND,0,0,
1982,"Lenape Resources Corp., The",Livingston,YORK,MEDINA,15,0,GV
1986,"Park-Ohio Energy,  Inc.",Steuben,TUSCARORA,ORISKANY,0,1,
1982,"Trahan Petroleum, Inc.",Chautauqua,HARMONY,MEDINA,19,1,GH
1996,"Ardent Resources, Inc.",Yates,POTTER,QUEENSTON,0,1,
1992,"Empire Exploration, Inc.",Chautauqua,BUSTI,MEDINA,13,0,GK
1987,"Park-Ohio Energy,  Inc.",Chautauqua,ELLERY,BASS ISLAND,1,2,"GH,OA"
1988,"P & S Drilling, Inc.",Erie,ELMA,MEDINA,0,1,GK
1998,"Baker, James J. & Jacqueline J",Chautauqua,CHAUTAUQUA,MEDINA,2,0,
1985,"Doran & Associates, Inc.",Chautauqua,CARROLL,MEDINA,1,0,GH
1987,Shanley Montara Petroleum Co.,Wyoming,JAVA,MEDINA,13,1,GH
1992,"Engx, Inc.",Chautauqua,GERRY,MEDINA,6,0,GK
1997,"Hickey, Kevin F. & Mary",Erie,NEWSTEAD,MEDINA,1,0,
1982,Joyce Management Corp.,Allegany,WIRT,RICHBURG,0,0,OB
1985,Witco Corp.,Cattaraugus,OLEAN,BRADFORD,0,0,OC
1997,Seneca Resources Corporation,Cattaraugus,DAYTON,ONONDAGA,4,0,GK
1985,U S Energy Development Corp.,Chautauqua,ARKWRIGHT,MEDINA,1,0,GK
1986,Walker Exploration & Production Corp.,Chautauqua,HARMONY,MEDINA,1,0,GK
1972,"Leon, Earl W",Allegany,ALFRED,DEVONIAN SHALE,1,0,
1995,"Frey Well Drilling, Inc.",Erie,MARILLA,MEDINA,0,2,
1993,Norris Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1992,Altimus & Associates,Chautauqua,POMFRET,ONONDAGA,1,0,
1999,Klein Oil & Logging,Steuben,GREENWOOD,FULMER VALLEY,0,0,OD
1986,"Teepee Petroleum,  Inc.",Chautauqua,WESTFIELD,MEDINA,1,0,"GH,GX"
1998,A. J. Lease Account,Cattaraugus,YORKSHIRE,MEDINA,3,0,GX
1996,"Subsea Oil & Gas, Inc.",Erie,BRANT,MEDINA,11,1,GK
1982,Arkema Inc.,Erie,TONAWANDA,MEDINA,5,0,
1996,Cabot Oil & Gas Corp.,Chautauqua,SHERMAN,MEDINA,6,0,GH
1994,"NY-Penn Exploration, Inc",Chautauqua,PORTLAND,MEDINA,1,0,GK
1969,Helmhold Oil,Allegany,,FULMER VALLEY,0,0,OB
1976,D & D Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1994,Cabot Oil & Gas Corp.,Chautauqua,HARMONY,MEDINA,6,0,GH
