Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1981,Oilmark & Co.,Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1977,Flanigan Brothers,Steuben,CAMPBELL,ORISKANY,0,0,0,GX
1971,Iroquois Gas Corp.,Cattaraugus,PERSIA,MEDINA,0,0,0,GX
1987,"Green, Laura",Chautauqua,PORTLAND,MEDINA,0,0,0,GK
1990,TGX Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1973,"Haught, Ralph",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,0,OB
1976,Goldenrod Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,0,
1996,R & C Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,0,OA
1999,National Fuel Gas Supply Corp.,Chautauqua,SHERIDAN,MEDINA,0,0,0,
1988,"Desert Gas Exploration, Inc.",Chautauqua,STOCKTON,MEDINA,0,0,0,GK
1983,National Fuel Gas Supply Corp.,Erie,BRANT,MEDINA,0,0,0,
1981,Dunning & Barnes Oil Co.,Allegany,GENESEE,RICHBURG,0,0,438,OB
1989,"Gabel, Elizabeth A.",Chemung,VAN ETTEN,ORISKANY,0,0,0,
1985,Dragon Eye Oil Co.,Allegany,ALMA,RICHBURG,5,0,945,OB
1988,White & Jackson,Allegany,WILLING,FULMER VALLEY,0,0,0,
1982,"Energy Oil, Inc.",Erie,ELMA,MEDINA,0,0,0,GK
1985,Ketchurian & Co.,Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1991,"Envirogas, Inc.",Cattaraugus,ELLICOTTVILLE,MEDINA,0,0,0,GK
1995,"GFS Energy, Inc.",Chautauqua,NORTH HARMONY,BASS ISLAND,0,0,0,GH
1988,"Engx, Inc.",Chautauqua,HARMONY,MEDINA,0,0,0,
1983,"Ebenezer Oil Co., Inc.",Allegany,BOLIVAR,RICHBURG,47,0,5212,
1988,Fault Line Oil Corporation,Erie,SARDINIA,MEDINA,0,0,0,"GK,GX"
1971,Evinczik & Johnson,Chautauqua,BUSTI,GLADE,0,0,1032,OB
1999,"McDonald, Gerald L.",Allegany,WILLING,FULMER VALLEY,0,0,0,
1984,CNG Transmission Corp.,Erie,CONCORD,MEDINA,0,0,0,
1986,"Envirogas, Inc.",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,
1994,"Snyder, Larry",Cattaraugus,DAYTON,MEDINA,0,0,0,
1985,"Crooks, John C",Allegany,GENESEE,RICHBURG,0,0,74,OB
1998,"Doolittle, Ruth",Livingston,YORK,MEDINA,0,0,0,
1986,"Goater, Kenneth A",Niagara,LEWISTON,MEDINA,0,0,0,
1981,"Joyce, Genevieve",Allegany,ANDOVER,FULMER VALLEY,0,0,145,GX
1996,"Demambro, Gene Brian",Chautauqua,PORTLAND,MEDINA,0,0,0,
1988,"Cline, Willard M",Cattaraugus,CARROLLTON,BRADFORD,0,0,0,
1991,Mother of Divine Grace Church,Erie,CHEEKTOWAGA,MEDINA,0,0,0,
1989,"Bounty Holdings, Incorporated",Chautauqua,KIANTONE,MEDINA,0,0,0,GK
