PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered_Patients
1,Dr. IRWIN & PARTNERS                ,HARLAND MEDICAL PRACTICE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,"6,806"
3,Dr. MCCUTCHEON & PARTNERS           ,GREENWAY PRACTICE,2ND FLOOR THE ARCHES CENTRE,WESTMINSTER AVENUE NORTH,BT4 1NS,Belfast,"7,153"
6,Dr. SHARKEY & PARTNERS              ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF BELFAST,BT8 8HR,Belfast,"11,309"
10,Dr. WILSON & PARTNER                ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,"2,480"
13,Dr. COOGAN                          ,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,"3,254"
14,Dr. COULTER & PARTNERS              ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,"8,247"
15,Dr. MCGARRITY & PARTNERS            ,54 HOLYWOOD ROAD,BELFAST,,BT4 1NT,Belfast,"5,667"
16,Dr. ROSS & PARTNERS                 ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,"6,031"
17,Dr. SCOTT & PARTNERS                ,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,"5,537"
18,Dr. KELLY & PARTNERS                ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,"6,949"
19,Dr. MITCHELL & PARTNERS             ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,"4,078"
20,Dr. LUA & PARTNERS                  ,LEWIS SQUARE PRACTICE,THE ARCHES CENTRE,WESTMINSTER AVENUE NORTH,BT4 1NS,Belfast,"4,140"
24,Dr. MCCLOSKEY & PARTNERS            ,THE MOUNT GROUP PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,"4,331"
28,Dr. GALLAGHER & PARTNERS            ,THE VICTORIA PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,"WESTMINSTER AVENUE, BELFAST",BT4 1NS,Belfast,"3,386"
29,Dr. SAVAGE & PARTNERS               ,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN ROAD,BELFAST,BT5 7LH,Belfast,"4,960"
30,Dr. THOMPSON & PARTNERS             ,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,"2,804"
31,Dr. COOKE & PARTNERS                ,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,"7,404"
32,Dr. KELLY & PARTNERS                ,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,"3,978"
33,Dr. RODGERS & PARTNERS              ,222 WOODSTOCK ROAD,BELFAST,,BT6 9DL,Belfast,"4,798"
37,Dr. MONCRIEFF & PARTNERS            ,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,"6,543"
38,Dr. ABERNETHY                       ,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,"1,983"
52,Dr. SAVAGE & PARTNER                ,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,"2,789"
53,Dr. COLGAN                          ,463 FALLS ROAD,BELFAST,,BT12 6DD,Belfast,"3,098"
55,Dr. O'KANE                          ,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,"1,197"
57,Dr. CAMPBELL & PARTNER              ,"THE MAUREEN SHEEHAN CENTRE, BUILDING 2",106 ALBERT STREET,BELFAST,BT12 4HL,Belfast,"5,200"
58,Dr. FARNAN & PARTNERS               ,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,"5,801"
60,Dr. BURNS & PARTNERS                ,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,"3,323"
61,Dr. CROSSIN & PARTNERS              ,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,"9,496"
62,Dr. GARDINER & PARTNER              ,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,"1,318"
63,Dr. O'DONNELL & PARTNER             ,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,"3,071"
64,Dr. DONAGHY & PARTNERS              ,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,"4,265"
66,Dr. DURKAN & PARTNERS               ,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,"7,124"
68,Dr. CARDWELL & PARTNERS             ,136-138 SHANKILL ROAD,BELFAST,,BT13 2BD,Belfast,"2,567"
69,Dr. TAN & PARTNER                   ,FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,"3,028"
70,Dr. CHAMBERS & PARTNERS             ,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,"5,574"
71,Dr. LEAVY & PARTNERS                ,463 SPRINGFIELD ROAD,BELFAST,,BT12 7DP,Belfast,"6,474"
72,Dr. AGAHI & PARTNERS                ,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,"1,908"
73,Dr. CLULOW & PARTNER                ,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,"2,177"
74,Dr. BEATTIE & PARTNER               ,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,"2,722"
75,Dr. MCCLOSKEY & PARTNERS            ,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,"9,977"
79,Dr. O'NEILL & PARTNERS              ,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,"9,163"
80,Dr. CONWAY & PARTNERS               ,460 OLDPARK ROAD,BELFAST,,BT14 6QG,Belfast,"4,817"
81,Dr. MCHUGH & PARTNERS               ,46 SPRINGFIELD ROAD,BELFAST,,BT12 7AH,Belfast,"7,356"
83,Dr. PATTON & PARTNERS               ,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,"5,802"
84,Dr. SALTERS & PARTNERS              ,186 FALLS ROAD,BELFAST,,BT12 6AG,Belfast,"3,685"
85,Dr. MACSORLEY & PARTNER             ,515 ANTRIM ROAD,BELFAST,,BT15 3BS,Belfast,"5,119"
86,Dr. LOUGHREY & PARTNERS             ,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,"11,019"
92,Dr. MCFERRAN & PARTNERS             ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,"5,112"
93,Dr. CLARKE & PARTNERS               ,61 CLIFTONVILLE ROAD,BELFAST,,BT14 6JN,Belfast,"5,625"
94,Dr. CUMMINGS & PARTNER              ,115 FALLS ROAD,BELFAST,,BT12 6AA,Belfast,"7,234"
96,Dr. MAGENIS & PARTNERS              ,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,"5,280"
98,Dr. GILMORE & PARTNERS              ,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,"3,918"
101,Dr. KELLY & PARTNERS                ,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast,"4,417"
103,Dr. MAGUIRE & PARTNERS              ,15/17 CLIFTON STREET,BELFAST,,BT13 1AD,Belfast,"8,987"
104,Dr. WRIGHT & PARTNERS               ,17 BALLYGOMARTIN ROAD,BELFAST,,BT13 3BW,Belfast,"7,984"
105,Dr. DOGGART & PARTNERS              ,CHURCH VIEW MEDICAL PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,"5,046"
111,Dr. MCKENNA                         ,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast,"2,880"
113,Dr. DUGAN                           ,173 ANDERSONSTOWN ROAD,BELFAST,,BT11 9EA,Belfast,"4,438"
114,Dr. BONNAR & PARTNERS               ,33 STEWARTSTOWN ROAD,BELFAST,,BT11 9FZ,Belfast,"7,099"
116,Dr. DORAN & PARTNERS                ,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast,"4,442"
132,Dr. MCGLADE & PARTNERS              ,DUNLUCE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,"6,255"
136,Dr. HAIGNEY & PARTNERS              ,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast,"7,439"
140,Dr. CONNOLLY & PARTNERS             ,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,"9,056"
143,Dr. SHERWOOD & PARTNERS             ,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,"5,544"
145,Dr. KILLINER & PARTNERS             ,15A DONEGALL ROAD,BELFAST,,BT12 5JJ,Belfast,"8,466"
146,Dr. HUGHES                          ,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast,"4,138"
147,Dr. CHEYNE & PARTNERS               ,281 ORMEAU ROAD,BELFAST,,BT7 3GG,Belfast,"7,584"
148,Dr. TONER & PARTNERS                ,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast,"9,068"
151,Dr. MCAULEY & PARTNERS              ,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast,"13,246"
153,Dr. O'HARE & PARTNERS               ,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast,"9,645"
154,Dr. MCCAULEY & PARTNERS             ,142 - 144 UNIVERSITY STREET,BELFAST,,BT7 1HH,Belfast,"5,154"
156,Dr. COLTON & PARTNERS               ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,"9,493"
157,Dr. FAIR & PARTNERS                 ,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast,"10,816"
159,Dr. BELL & PARTNERS                 ,485 ORMEAU ROAD,BELFAST,,BT7 3GR,Belfast,"5,898"
164,Dr. MURDOCK & PARTNER               ,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast,"3,633"
165,Dr. KEANE & PARTNERS                ,6 NORTH PARADE,BELFAST,,BT7 2GG,Belfast,"8,738"
166,Dr. CULLEN & PARTNER                ,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast,"3,259"
191,Dr. FERGUSON & PARTNERS             ,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern,"9,779"
